system:index,month,n_images,.geo
0,2024-01,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2024-02,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2024-03,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2024-04,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2024-05,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2024-06,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2024-07,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2024-08,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2024-09,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2024-10,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2024-11,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2024-12,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2025-01,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2025-02,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2025-03,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2025-04,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2025-05,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2025-06,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2025-07,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2025-08,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2025-09,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2025-10,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2025-11,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2025-12,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2026-01,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2026-02,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2026-03,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2026-04,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2026-05,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2026-06,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2026-07,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2026-08,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
