system:index,chirps_precip_mm,date,doy,month,year,.geo
20081201,3.8982534955977166,2008-12-01 00:00:00,336,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081202,0.0,2008-12-02 00:00:00,337,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081203,0.0,2008-12-03 00:00:00,338,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081204,0.5435476172886969,2008-12-04 00:00:00,339,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081205,1.9464655577127925,2008-12-05 00:00:00,340,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081206,0.0,2008-12-06 00:00:00,341,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081207,1.5098984729659,2008-12-07 00:00:00,342,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081208,0.0,2008-12-08 00:00:00,343,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081209,0.0,2008-12-09 00:00:00,344,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081210,0.0132104054868897,2008-12-10 00:00:00,345,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081211,2.9370230378877893,2008-12-11 00:00:00,346,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081212,0.0,2008-12-12 00:00:00,347,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081213,0.0,2008-12-13 00:00:00,348,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081214,0.0,2008-12-14 00:00:00,349,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081215,0.0,2008-12-15 00:00:00,350,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081216,0.0,2008-12-16 00:00:00,351,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081217,0.0,2008-12-17 00:00:00,352,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081218,0.0,2008-12-18 00:00:00,353,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081219,0.0,2008-12-19 00:00:00,354,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081220,0.0,2008-12-20 00:00:00,355,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081221,0.0,2008-12-21 00:00:00,356,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081222,0.0,2008-12-22 00:00:00,357,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081223,0.0,2008-12-23 00:00:00,358,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081224,0.0,2008-12-24 00:00:00,359,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081225,0.0,2008-12-25 00:00:00,360,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081226,0.0,2008-12-26 00:00:00,361,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081227,0.0,2008-12-27 00:00:00,362,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081228,0.0,2008-12-28 00:00:00,363,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081229,0.0,2008-12-29 00:00:00,364,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081230,0.0,2008-12-30 00:00:00,365,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20081231,0.5846930277324587,2008-12-31 00:00:00,366,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090101,0.0,2009-01-01 00:00:00,1,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090102,0.0,2009-01-02 00:00:00,2,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090103,0.0,2009-01-03 00:00:00,3,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090104,0.0,2009-01-04 00:00:00,4,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090105,0.0,2009-01-05 00:00:00,5,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090106,0.0,2009-01-06 00:00:00,6,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
