year,month,station,tmax_c,tmin_c,humidity_pct,precip_mm,wind_max_kmh,solar_max_wm2,uv_max,month_date
2014,1,Barraneche,19.7,4.8,94.0,0.75,20.1,1230.0,9.6,2014-01-01 00:00:00
2014,1,Finca Santa Victoria,23.2,5.1,98.0,29.64,14.3,1334.0,16.0,2014-01-01 00:00:00
2014,1,Panajachel,27.3,11.7,86.0,0.2,12.1,1139.0,9.3,2014-01-01 00:00:00
2014,2,Barraneche,20.9,5.7,94.0,0.25,17.4,1273.0,10.3,2014-02-01 00:00:00
2014,2,Finca Santa Victoria,25.7,8.7,97.0,3.5300000000000002,10.7,1225.0,13.6,2014-02-01 00:00:00
2014,2,Panajachel,26.9,12.4,89.0,0.0,9.8,1262.0,13.2,2014-02-01 00:00:00
2014,3,Barraneche,24.3,6.8,97.0,12.689999999999998,17.4,1364.0,12.2,2014-03-01 00:00:00
2014,3,Panajachel,28.6,13.1,93.0,10.0,14.8,1069.0,10.3,2014-03-01 00:00:00
2014,3,Santa Lucia Utatlan,23.9,7.8,99.0,9.0,9.8,1434.0,13.7,2014-03-01 00:00:00
2014,4,Barraneche,22.3,7.6,97.0,137.63,21.9,1297.0,11.5,2014-04-01 00:00:00
2014,4,Finca Santa Victoria,23.2,8.9,97.0,66.21000000000001,15.6,1318.0,14.3,2014-04-01 00:00:00
2014,4,Los Saminez,22.8,12.2,95.0,0.0,5.8,1097.0,11.6,2014-04-01 00:00:00
2014,4,Santa Lucia Utatlan,24.1,8.2,99.0,53.800000000000004,11.6,1243.0,12.7,2014-04-01 00:00:00
2014,5,Barraneche,20.7,10.2,99.0,158.3700000000001,19.2,1533.0,14.9,2014-05-01 00:00:00
2014,5,Finca Santa Victoria,21.6,9.8,98.0,251.59000000000006,11.6,1394.0,16.0,2014-05-01 00:00:00
2014,5,Los Saminez,21.8,10.7,97.0,0.4,15.2,1301.0,15.1,2014-05-01 00:00:00
2014,5,Panajachel,27.4,16.3,94.0,2.0,10.7,1304.0,14.0,2014-05-01 00:00:00
2014,5,Santa Lucia Utatlan,21.6,9.7,100.0,190.7999999999998,6.7,1382.0,14.5,2014-05-01 00:00:00
2014,6,Barraneche,20.6,9.4,99.0,536.0499999999996,10.7,1415.0,13.8,2014-06-01 00:00:00
2014,6,Finca Santa Victoria,22.7,10.7,98.0,381.8599999999998,8.5,1415.0,16.0,2014-06-01 00:00:00
2014,6,Santa Lucia Utatlan,20.2,11.1,100.0,154.00000000000003,4.5,1320.0,14.6,2014-06-01 00:00:00
2014,7,Barraneche,22.1,7.9,96.0,56.349999999999994,19.2,1390.0,13.2,2014-07-01 00:00:00
