month_date,tmax_c,tmin_c,humidity_pct,precip_mm,wind_max_kmh,solar_max_wm2,uv_max,n_stations,n_tmax_c,n_tmin_c,n_humidity_pct,n_precip_mm,n_wind_max_kmh,n_solar_max_wm2,n_uv_max
2014-01-01 00:00:00,23.400000000000002,7.199999999999999,92.66666666666667,10.196666666666667,15.5,1234.3333333333333,11.633333333333335,3,3,3,3,3,3,3,3
2014-02-01 00:00:00,24.5,8.933333333333332,93.33333333333333,1.26,12.633333333333333,1253.3333333333333,12.366666666666667,3,3,3,3,3,3,3,3
2014-03-01 00:00:00,25.599999999999998,9.233333333333333,96.33333333333333,10.563333333333333,14.0,1289.0,12.066666666666668,3,3,3,3,3,3,3,3
2014-04-01 00:00:00,23.1,9.225,97.0,64.41,13.725,1238.75,12.525,4,4,4,4,4,4,4,4
2014-05-01 00:00:00,22.619999999999997,11.34,97.6,120.63199999999999,12.68,1382.8,14.9,5,5,5,5,5,5,5,5
2014-06-01 00:00:00,21.166666666666668,10.4,99.0,357.3033333333331,7.8999999999999995,1383.3333333333333,14.799999999999999,3,3,3,3,3,3,3,3
2014-07-01 00:00:00,22.833333333333332,8.533333333333333,97.0,54.066666666666684,12.966666666666667,1431.3333333333333,14.266666666666666,3,3,3,3,3,3,3,3
2014-08-01 00:00:00,29.95,10.275,97.0,75.4275,8.625,1396.75,13.925,4,4,4,4,4,4,4,4
2014-09-01 00:00:00,23.6,10.85,98.25,242.77749999999992,9.625,1443.0,14.875,4,4,4,4,4,4,4,4
2014-10-01 00:00:00,22.633333333333336,8.4,99.0,151.43333333333342,10.733333333333334,1426.6666666666667,14.566666666666668,3,3,3,3,3,3,3,3
2014-12-01 00:00:00,22.03333333333333,6.066666666666666,96.66666666666667,1.45,13.833333333333334,1110.6666666666667,9.366666666666667,3,3,3,3,3,3,3,3
2015-01-01 00:00:00,22.36,4.76,93.8,1.36,31.479999999999997,1137.25,11.425,5,5,5,5,5,5,4,4
2015-02-01 00:00:00,23.233333333333334,6.683333333333334,97.5,8.825,53.1,1221.4,11.84,6,6,6,6,6,6,5,5
2015-03-01 00:00:00,24.96666666666667,6.966666666666666,97.5,39.466666666666676,59.81666666666666,1325.0,13.680000000000001,6,6,6,6,6,6,5,5
2015-04-01 00:00:00,25.78333333333333,9.299999999999999,97.66666666666667,31.32833333333333,42.36666666666667,1362.6,13.919999999999998,6,6,6,6,6,6,5,5
2015-05-01 00:00:00,24.833333333333332,9.700000000000001,96.83333333333333,64.70166666666668,34.86666666666667,1285.6,13.24,6,6,6,6,6,6,5,5
2015-06-01 00:00:00,30.016666666666666,11.116666666666667,98.33333333333333,165.81999999999996,35.4,1327.2,13.959999999999999,6,6,6,6,6,6,5,5
2015-07-01 00:00:00,27.333333333333332,11.333333333333334,96.83333333333333,69.71166666666666,33.25,1292.6,12.74,6,6,6,6,6,6,5,5
2015-08-01 00:00:00,24.349999999999998,10.766666666666666,96.83333333333333,71.43333333333335,39.43333333333333,1351.4,13.76,6,6,6,6,6,6,5,5
2015-09-01 00:00:00,23.75,10.916666666666666,98.66666666666667,415.77499999999947,29.25,1395.0,13.76,6,6,6,6,6,6,5,5
2015-10-01 00:00:00,23.599999999999998,10.666666666666666,98.33333333333333,187.37499999999997,33.53333333333333,1326.2,12.74,6,6,6,6,6,6,5,5
2015-11-01 00:00:00,23.316666666666666,7.7,97.16666666666667,31.33833333333334,40.766666666666666,1278.0,11.74,6,6,6,6,6,6,5,5
2015-12-01 00:00:00,23.833333333333332,8.733333333333333,97.66666666666667,21.084999999999997,51.51666666666667,1134.4,10.5,6,6,6,6,6,6,5,5
2016-01-01 00:00:00,22.96666666666667,7.3500000000000005,96.16666666666667,1.9766666666666666,43.73333333333333,1101.8,10.36,6,6,6,6,6,6,5,5
2016-02-01 00:00:00,24.55,5.983333333333333,95.0,4.2700000000000005,54.71666666666667,1224.6,12.74,6,6,6,6,6,6,5,5
2016-03-01 00:00:00,24.650000000000002,9.033333333333333,95.66666666666667,10.908333333333331,42.666666666666664,1192.2,13.459999999999999,6,6,6,6,6,6,5,5
2016-04-01 00:00:00,25.78333333333333,9.483333333333333,97.33333333333333,71.44833333333334,42.63333333333333,1260.6,13.280000000000001,6,6,6,6,6,6,5,5
2016-05-01 00:00:00,24.900000000000002,11.283333333333333,97.66666666666667,130.81666666666666,34.06666666666666,1267.8,13.540000000000001,6,6,6,6,6,6,5,5
2016-06-01 00:00:00,24.46666666666667,10.700000000000001,97.66666666666667,155.05333333333326,33.266666666666666,1370.0,13.9,6,6,6,6,6,6,5,5
2016-07-01 00:00:00,23.3,10.58,94.6,15.420000000000002,35.739999999999995,1317.5,12.075,5,5,5,5,5,5,4,4
2016-08-01 00:00:00,25.5,12.433333333333332,97.16666666666667,180.05999999999995,44.550000000000004,1333.75,12.2,6,6,6,6,6,6,4,4
2016-09-01 00:00:00,25.233333333333334,11.549999999999999,96.66666666666667,147.74833333333336,35.93333333333333,1422.5,13.125,6,6,6,6,6,6,4,4
2016-10-01 00:00:00,24.933333333333334,10.950000000000001,96.16666666666667,38.38833333333334,40.516666666666666,1345.0,12.78,6,6,6,6,6,6,5,5
2016-11-01 00:00:00,24.599999999999998,8.616666666666667,95.66666666666667,10.203333333333331,55.51666666666667,1222.2,11.84,6,6,6,6,6,6,5,5
2016-12-01 00:00:00,24.46666666666667,10.183333333333334,94.5,6.974999999999999,64.61666666666666,1109.2,9.66,6,6,6,6,6,6,5,5
2017-01-01 00:00:00,24.28333333333333,6.95,95.66666666666667,3.216666666666667,69.46666666666665,1135.8,9.76,6,6,6,6,6,6,5,5
2017-02-01 00:00:00,24.116666666666664,8.166666666666666,94.16666666666667,2.0883333333333334,52.050000000000004,1187.6,10.86,6,6,6,6,6,6,5,5
2017-03-01 00:00:00,25.016666666666666,9.416666666666666,95.16666666666667,10.954999999999998,63.01666666666667,1310.0,12.4,6,6,6,6,6,6,5,5
2017-04-01 00:00:00,26.333333333333332,10.266666666666667,96.83333333333333,38.28166666666666,52.03333333333333,1229.4,11.940000000000001,6,6,6,6,6,6,5,5
2017-05-01 00:00:00,25.349999999999998,12.5,97.5,201.35499999999993,41.583333333333336,1353.0,13.180000000000001,6,6,6,6,6,6,5,5
2017-06-01 00:00:00,24.28333333333333,13.0,98.0,268.0299999999998,31.650000000000002,1414.0,13.7,6,6,6,6,6,6,5,5
2017-07-01 00:00:00,27.7,12.933333333333332,96.66666666666667,97.53333333333336,42.9,1371.6666666666667,13.066666666666668,3,3,3,3,3,3,3,3
2017-08-01 00:00:00,25.849999999999998,10.85,97.16666666666667,134.93333333333334,35.11666666666667,1394.2,13.48,6,6,6,6,6,6,5,5
2017-09-01 00:00:00,25.45,12.483333333333334,98.16666666666667,322.2516666666664,33.800000000000004,1378.2,13.66,6,6,6,6,6,6,5,5
2017-10-01 00:00:00,25.333333333333332,11.416666666666666,98.16666666666667,143.4616666666667,43.98333333333333,1327.8,12.8,6,6,6,6,6,6,5,5
2017-11-01 00:00:00,25.866666666666664,9.233333333333333,95.66666666666667,6.136666666666666,45.6,1201.2,10.36,6,6,6,6,6,6,5,5
2017-12-01 00:00:00,25.3,8.766666666666667,94.16666666666667,5.199999999999999,52.85,1052.6,8.9,6,6,6,6,6,6,5,5
2018-01-01 00:00:00,24.099999999999998,6.783333333333332,94.0,0.3333333333333333,65.18333333333334,1127.8,10.139999999999999,6,6,6,6,6,6,5,5
2018-02-01 00:00:00,25.2,8.15,93.16666666666667,1.9333333333333333,56.86666666666667,1204.2,11.24,6,6,6,6,6,6,5,5
2018-03-01 00:00:00,26.75,8.5,95.66666666666667,7.266666666666666,49.61666666666667,1301.4,13.1,6,6,6,6,6,6,5,5
2018-04-01 00:00:00,26.52,11.66,96.6,30.079999999999995,47.64,1324.0,12.639999999999999,5,5,5,5,5,5,5,5
2018-05-01 00:00:00,25.76,13.540000000000001,96.8,195.39999999999998,35.739999999999995,1308.2,11.36,5,5,5,5,5,5,5,5
2018-06-01 00:00:00,25.920000000000005,13.84,97.0,199.55999999999995,34.12,1336.0,11.22,5,5,5,5,5,5,5,5
2018-07-01 00:00:00,27.383333333333336,12.691666666666668,94.75,23.266666666666666,46.416666666666664,1295.2,12.02,6,6,6,6,6,6,5,5
2018-08-01 00:00:00,26.21666666666667,12.450000000000001,95.66666666666667,73.80000000000001,41.583333333333336,1315.6,11.36,6,6,6,6,6,6,5,5
2018-09-01 00:00:00,25.599999999999998,13.183333333333332,96.5,142.73333333333332,39.43333333333334,1337.8,11.5,6,6,6,6,6,6,5,5
2018-10-01 00:00:00,25.53333333333333,11.033333333333333,97.16666666666667,120.73333333333339,37.550000000000004,1278.2,10.559999999999999,6,6,6,6,6,6,5,5
2018-11-01 00:00:00,25.599999999999998,11.083333333333334,94.5,4.633333333333334,53.63333333333333,1158.2,8.8,6,6,6,6,6,6,5,5
2018-12-01 00:00:00,25.45,8.816666666666666,95.5,6.2683333333333335,52.01666666666667,1083.2,7.359999999999999,6,6,6,6,6,6,5,5
2019-01-01 00:00:00,26.05,8.966666666666667,93.66666666666667,1.6000000000000003,53.93333333333334,1115.2,8.2,6,6,6,6,6,6,5,5
2019-02-01 00:00:00,25.133333333333336,8.366666666666667,95.16666666666667,0.7666666666666667,55.51666666666667,1195.6,10.8,6,6,6,6,6,6,5,5
2019-03-01 00:00:00,26.816666666666666,8.833333333333334,93.5,1.0,61.15,1270.6,11.8,6,6,6,6,6,6,5,5
2019-04-01 00:00:00,27.03333333333333,9.233333333333333,96.33333333333333,45.366666666666674,44.0,1318.8,11.440000000000001,6,6,6,6,6,6,5,5
2019-05-01 00:00:00,27.75,12.6,96.83333333333333,165.83333333333331,39.416666666666664,1347.0,11.24,6,6,6,6,6,6,5,5
2019-06-01 00:00:00,24.966666666666665,11.761111111111111,95.77777777777777,136.5562222222222,45.51111111111111,1365.75,12.45,9,9,9,9,9,9,8,8
2019-07-01 00:00:00,24.950000000000003,11.161111111111111,94.44444444444444,96.24444444444445,40.577777777777776,1355.111111111111,11.633333333333333,9,9,9,9,9,9,9,9
2019-08-01 00:00:00,24.76111111111111,11.144444444444444,95.11111111111111,119.83333333333336,36.46666666666667,1357.2222222222222,12.066666666666666,9,9,9,9,9,9,9,9
2019-09-01 00:00:00,24.227777777777778,11.222222222222221,95.22222222222223,224.0222222222221,34.87777777777777,1369.7777777777778,11.966666666666667,9,9,9,9,9,9,9,9
2019-10-01 00:00:00,23.86111111111111,11.427777777777777,95.11111111111111,348.302222222222,42.03333333333333,1347.6666666666667,11.0,9,9,9,9,9,9,9,9
2019-11-01 00:00:00,24.25,9.761111111111111,93.55555555555556,14.133333333333333,46.666666666666664,1204.4444444444443,9.166666666666666,9,9,9,9,9,9,9,9
2019-12-01 00:00:00,23.61111111111111,8.966666666666667,91.66666666666667,1.088888888888889,74.57777777777778,1094.5555555555557,8.81111111111111,9,9,9,9,9,9,9,9
2020-01-01 00:00:00,23.805555555555557,8.455555555555556,93.55555555555556,7.688888888888889,54.37777777777777,1116.2222222222222,8.933333333333334,9,9,9,9,9,9,9,9
2020-02-01 00:00:00,25.444444444444443,8.166666666666666,93.0,5.488888888888889,53.81111111111111,1166.3333333333333,10.3,9,9,9,9,9,9,9,9
2020-03-01 00:00:00,25.91111111111111,9.288888888888888,91.66666666666667,4.066666666666666,53.63333333333333,1230.111111111111,11.233333333333333,9,9,9,9,9,9,9,9
2020-04-01 00:00:00,27.188888888888886,10.511111111111111,93.11111111111111,22.93333333333333,41.65555555555555,1172.3333333333333,10.844444444444443,9,9,9,9,9,9,9,9
2020-05-01 00:00:00,25.91111111111111,12.377777777777778,94.11111111111111,166.31111111111107,35.75555555555556,1348.888888888889,12.322222222222223,9,9,9,9,9,9,9,9
2020-06-01 00:00:00,24.833333333333332,11.977777777777778,94.88888888888889,200.57777777777775,40.41111111111111,1367.7777777777778,12.8,9,9,9,9,9,9,9,9
2020-07-01 00:00:00,24.966666666666665,11.722222222222221,92.66666666666667,135.17777777777778,44.52222222222222,1343.111111111111,12.377777777777778,9,9,9,9,9,9,9,9
2020-08-01 00:00:00,24.98888888888889,11.31111111111111,92.75,195.15555555555548,41.666666666666664,1427.3333333333333,13.355555555555556,9,9,9,8,9,9,9,9
2020-09-01 00:00:00,24.133333333333333,11.18888888888889,92.66666666666667,178.87777777777774,34.87777777777777,1357.388888888889,12.744444444444445,9,9,9,9,9,9,9,9
2020-10-01 00:00:00,24.366666666666667,11.466666666666667,94.66666666666667,141.52222222222224,38.62222222222223,1311.6666666666667,12.133333333333333,9,9,9,9,9,9,9,9
2020-11-01 00:00:00,23.6,9.977777777777778,92.88888888888889,32.71111111111112,57.400000000000006,1245.7777777777778,10.322222222222223,9,9,9,9,9,9,9,9
2020-12-01 00:00:00,24.01111111111111,7.477777777777778,91.44444444444444,6.222222222222221,54.17777777777778,1148.5555555555557,8.933333333333334,9,9,9,9,9,9,9,9
2021-01-01 00:00:00,23.688888888888886,8.211111111111112,91.22222222222223,8.8,57.57777777777778,1140.111111111111,9.38888888888889,9,9,9,9,9,9,9,9
2021-02-01 00:00:00,24.299999999999997,7.355555555555556,89.66666666666667,0.5111111111111111,53.111111111111114,1254.7777777777778,11.544444444444444,9,9,9,9,9,9,9,9
2021-03-01 00:00:00,25.644444444444446,7.844444444444444,91.22222222222223,16.288888888888884,47.93333333333333,1357.7222222222222,12.31111111111111,9,9,9,9,9,9,9,9
2021-04-01 00:00:00,25.433333333333334,10.666666666666666,91.44444444444444,70.3777777777778,57.75555555555555,1347.4444444444443,12.88888888888889,9,9,9,9,9,9,9,9
2021-05-01 00:00:00,24.9,11.5,93.11111111111111,195.87777777777777,40.233333333333334,1362.388888888889,12.433333333333334,9,9,9,9,9,9,9,9
2021-06-01 00:00:00,23.5,11.181818181818182,94.18181818181819,249.63636363636354,36.86363636363637,1357.111111111111,12.422222222222222,11,11,11,11,11,11,9,9
2021-07-01 00:00:00,24.654545454545453,10.345454545454546,93.0909090909091,85.6909090909091,43.02727272727273,1367.7777777777778,12.144444444444444,11,11,11,11,11,11,9,9
2021-08-01 00:00:00,24.254545454545454,10.918181818181818,95.4090909090909,203.42727272727268,39.199999999999996,1394.7777777777778,12.588888888888889,11,11,11,11,11,11,9,9
2021-09-01 00:00:00,24.4,11.063636363636364,94.27272727272727,202.0545454545454,35.85454545454545,1359.125,12.1,11,11,11,11,11,11,10,10
