scenario,year,quantile,level_m,level_change_vs_anchor_m,bound_status,certain_wet_pixels,certain_wet_area_km2,certain_exposed_pixels,certain_exposed_area_km2,uncertain_pixels,uncertain_area_km2,water_area_lower_bound_km2,water_area_upper_bound_km2,area_loss_lower_bound_km2,area_loss_upper_bound_km2,known_threshold_anchor_conflict_area_km2,coastal_unknown_area_km2,interior_bracket_uncertain_area_km2,class0_unclassified_area_km2
ssp245,2030,p05,1551.225733575015,-1.5442664249849258,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277715,111.086,4838,1.9352,22505,9.002,111.086,120.08800000000001,1.9352,10.937200000000004,0.1648,5.7132,0.0,3.124
ssp245,2030,p50,1552.3486100310727,-0.42138996892731484,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277730,111.092,4823,1.9292,22505,9.002,111.092,120.09400000000001,1.9292,10.931200000000004,0.1648,5.7132,0.0,3.124
ssp245,2030,p95,1554.0239062558508,1.2539062558507794,NOT_VALID_LEVEL_ABOVE_2026_ANCHOR,282553,113.0212,0,0.0,22505,9.002,,,,,0.1648,5.7132,0.0,3.124
ssp245,2050,p05,1544.4745564340274,-8.295443565972619,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277610,111.044,4943,1.9772,22505,9.002,111.044,120.046,1.9772,10.979200000000006,0.1648,5.7132,0.0,3.124
ssp245,2050,p50,1550.3365020596582,-2.4334979403417947,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277698,111.0792,4855,1.942,22505,9.002,111.0792,120.08120000000001,1.942,10.944000000000003,0.1648,5.7132,0.0,3.124
ssp245,2050,p95,1551.839102663566,-0.9308973364338726,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277721,111.0884,4832,1.9328,22505,9.002,111.0884,120.0904,1.9328,10.93480000000001,0.1648,5.7132,0.0,3.124
ssp245,2090,p05,1525.5466782680155,-27.22332173198447,VALID_FOR_DECLINE_FROM_CURRENT_MASK,276594,110.6376,5665,2.266,22799,9.1196,110.6376,119.7572,2.266,11.385599999999997,0.1648,5.7132,0.1176,3.2416
ssp245,2090,p50,1542.6391564663215,-10.130843533678444,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277587,111.0348,4966,1.9864,22505,9.002,111.0348,120.0368,1.9864,10.988399999999999,0.1648,5.7132,0.0,3.124
ssp245,2090,p95,1552.5232655348132,-0.24673446518681885,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277733,111.0932,4820,1.928,22505,9.002,111.0932,120.0952,1.928,10.930000000000007,0.1648,5.7132,0.0,3.124
ssp585,2030,p05,1550.764842172001,-2.005157827999028,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277705,111.082,4848,1.9392,22505,9.002,111.082,120.084,1.9392,10.94120000000001,0.1648,5.7132,0.0,3.124
ssp585,2030,p50,1552.2932345667139,-0.4767654332861184,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277728,111.0912,4825,1.93,22505,9.002,111.0912,120.0932,1.93,10.932000000000002,0.1648,5.7132,0.0,3.124
ssp585,2030,p95,1553.5025736984253,0.7325736984253126,NOT_VALID_LEVEL_ABOVE_2026_ANCHOR,282553,113.0212,0,0.0,22505,9.002,,,,,0.1648,5.7132,0.0,3.124
ssp585,2050,p05,1540.105100681882,-12.664899318117932,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277555,111.022,4998,1.9992,22505,9.002,111.022,120.024,1.9992,11.001199999999997,0.1648,5.7132,0.0,3.124
ssp585,2050,p50,1548.1447400878528,-4.625259912147158,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277665,111.066,4888,1.9552,22505,9.002,111.066,120.068,1.9552,10.9572,0.1648,5.7132,0.0,3.124
ssp585,2050,p95,1552.8101514045268,0.040151404526795886,NOT_VALID_LEVEL_ABOVE_2026_ANCHOR,282553,113.0212,0,0.0,22505,9.002,,,,,0.1648,5.7132,0.0,3.124
ssp585,2090,p05,1511.9267681902936,-40.84323180970637,VALID_FOR_DECLINE_FROM_CURRENT_MASK,270469,108.1876,11722,4.6888,22867,9.1468,108.1876,117.3344,4.6888,13.8356,0.1648,5.7132,0.1448,3.2688
ssp585,2090,p50,1530.1243554409712,-22.645644559028824,VALID_FOR_DECLINE_FROM_CURRENT_MASK,277508,111.0032,5045,2.018,22505,9.002,111.0032,120.0052,2.018,11.019999999999996,0.1648,5.7132,0.0,3.124
ssp585,2090,p95,1554.5059061772022,1.735906177202196,NOT_VALID_LEVEL_ABOVE_2026_ANCHOR,282553,113.0212,0,0.0,22505,9.002,,,,,0.1648,5.7132,0.0,3.124
