evaluation,model,n,MAE_m,weighted_MAE_m,RMSE_m,weighted_RMSE_m,bias_m,weighted_bias_m,R2,NSE,Pearson_r
delta_calibration,PhysicalBalance_Calibrated,96,0.17529730951624842,0.1476758218929835,0.2236127589852095,0.18627612087157516,0.005022339462161022,0.008881077724068594,0.05230030179442158,0.05230030179442158,0.23221360192563945
delta_calibration,PhysicalBalance_Raw,96,0.18024064163569342,0.15325867307506688,0.22650362151195588,0.19041563722555707,0.03713330898520443,0.04106275186148464,0.027638213988125715,0.027638213988125715,0.23319588479040929
delta_calibration,ZeroChange_Persistence,96,0.17843749999999878,0.15070315852041713,0.22979383876277876,0.1926677643592057,0.006562499999998768,0.011061245161096944,-0.0008162368826780675,-0.0008162368826780675,
delta_test,PhysicalBalance_Calibrated,93,0.12766323692264292,0.12362579831113411,0.16344080670775418,0.15790258229996618,-0.005151337776268254,-0.0021191624416459355,-0.007024632212575765,-0.007024632212575765,0.19653691513634117
delta_test,PhysicalBalance_Raw,93,0.12695532152146002,0.12319032850469029,0.16376015863465226,0.15896834128722254,0.03473286656137449,0.03806112818037673,-0.010963788541477726,-0.010963788541477726,0.2241225533495432
delta_test,ZeroChange_Persistence,93,0.12956989247312511,0.12599147758011178,0.16332236083398513,0.15892402728686963,0.012150537634409776,0.015876135062840652,-0.005565575635428255,-0.005565575635428255,
level_recursive_calibration,PhysicalBalance_Calibrated,96,0.28120585357219124,0.28120585357219124,0.3418796534655705,0.3418796534655705,0.2614479004211532,0.2614479004211532,-0.23690485573045672,-0.23690485573045672,0.7150312191760841
level_recursive_calibration,Frozen_Last_Level,96,0.28322916666664827,0.28322916666664827,0.3445966845458458,0.3445966845458458,0.15572916666663636,0.15572916666663636,-0.2566431656114363,-0.2566431656114363,
level_recursive_test,PhysicalBalance_Calibrated,93,0.16080068521595695,0.16080068521595695,0.20167917264461743,0.20167917264461743,-0.08860520359283533,-0.08860520359283533,0.7962552613300076,0.7962552613300076,0.9166727852692577
level_recursive_test,Frozen_Last_Level,93,0.4956989247312478,0.4956989247312478,0.6194378304612406,0.6194378304612406,0.42903225806460754,0.42903225806460754,-0.9220281805258976,-0.9220281805258976,4.4869707274181397e-13
