evaluation,date_obs,level_obs_m,level_balance_m,level_frozen_m
calibration,2021-06-03 00:39:00,1554.4,1554.5520405047646,1554.53
calibration,2021-06-12 22:38:00,1554.27,1554.62669021078,1554.53
calibration,2021-06-22 20:36:00,1554.3,1554.707532881834,1554.53
calibration,2021-07-02 18:34:00,1554.72,1554.7843225118224,1554.53
calibration,2021-07-12 16:33:00,1554.6,1554.791717505084,1554.53
calibration,2021-07-22 14:32:00,1554.79,1554.7457978757416,1554.53
calibration,2021-08-01 12:30:00,1554.65,1554.7035683449576,1554.53
calibration,2021-08-11 10:29:00,1554.67,1554.7580454938484,1554.53
calibration,2021-08-21 08:27:00,1554.63,1554.7771617021044,1554.53
calibration,2021-08-31 06:26:00,1554.28,1554.8513463457468,1554.53
calibration,2021-09-10 04:24:00,1554.99,1554.947938492718,1554.53
calibration,2021-09-20 02:23:00,1554.75,1555.0078127131687,1554.53
calibration,2021-09-30 00:21:00,1554.92,1555.0223523080285,1554.53
calibration,2021-10-09 22:20:00,1554.85,1554.970913871365,1554.53
calibration,2021-10-19 20:18:00,1554.71,1554.9418147153294,1554.53
calibration,2021-10-29 18:17:00,1554.91,1554.9533937746978,1554.53
calibration,2021-11-08 16:15:00,1554.97,1554.9302221398125,1554.53
calibration,2021-11-18 14:14:00,1555.07,1554.870840477145,1554.53
calibration,2021-11-28 12:13:00,1554.72,1554.8177070744105,1554.53
calibration,2021-12-08 10:11:00,1554.47,1554.7417246656182,1554.53
calibration,2021-12-18 08:10:00,1554.45,1554.6837305326203,1554.53
calibration,2021-12-28 06:08:00,1554.39,1554.6491989978158,1554.53
calibration,2022-01-07 04:07:00,1554.05,1554.5993769363836,1554.53
calibration,2022-01-17 02:05:00,1554.43,1554.561712657804,1554.53
calibration,2022-01-27 00:04:00,1554.52,1554.5061330254948,1554.53
calibration,2022-02-05 22:02:00,1554.47,1554.4615227845102,1554.53
calibration,2022-02-15 20:01:00,1554.53,1554.4122268673434,1554.53
calibration,2022-02-25 17:59:00,1554.32,1554.3614404682241,1554.53
calibration,2022-03-07 15:58:00,1554.51,1554.3162176879373,1554.53
calibration,2022-03-17 13:56:00,1554.43,1554.2807222506888,1554.53
calibration,2022-03-27 11:55:00,1554.19,1554.2475427300942,1554.53
calibration,2022-04-06 09:53:00,1554.33,1554.1995328857042,1554.53
calibration,2022-04-16 07:52:00,1553.81,1554.1463269782448,1554.53
calibration,2022-04-26 05:50:00,1554.0,1554.1310090816316,1554.53
calibration,2022-05-06 03:49:00,1554.01,1554.158920383114,1554.53
calibration,2022-05-16 01:47:00,1554.13,1554.1204637616543,1554.53
calibration,2022-05-25 23:46:00,1553.94,1554.2222885586127,1554.53
calibration,2022-06-04 21:44:00,1554.26,1554.3022090774407,1554.53
calibration,2022-06-14 19:43:00,1554.21,1554.4407085857686,1554.53
calibration,2022-06-24 17:42:00,1554.32,1554.6076219360534,1554.53
calibration,2022-07-04 15:40:00,1554.49,1554.5958635310903,1554.53
calibration,2022-07-14 13:39:00,1554.5,1554.5867181479105,1554.53
calibration,2022-07-24 11:37:00,1554.31,1554.5775362111065,1554.53
calibration,2022-08-03 09:36:00,1553.77,1554.564006638245,1554.53
calibration,2022-08-13 07:34:00,1554.31,1554.5740074713146,1554.53
calibration,2022-08-23 05:33:00,1554.29,1554.6211208739203,1554.53
calibration,2022-09-02 03:31:00,1554.41,1554.7094558975543,1554.53
calibration,2022-09-12 01:30:00,1554.52,1554.8337898778375,1554.53
calibration,2022-09-21 23:28:00,1554.43,1555.0010065460713,1554.53
calibration,2022-10-01 21:27:00,1554.82,1555.1170634524422,1554.53
calibration,2022-10-11 19:25:00,1554.79,1555.1627474566467,1554.53
calibration,2022-10-21 17:24:00,1555.06,1555.221002126508,1554.53
calibration,2022-10-31 15:22:00,1554.83,1555.162271379968,1554.53
calibration,2022-11-10 13:21:00,1554.84,1555.1825508074683,1554.53
calibration,2022-11-20 11:19:00,1554.46,1555.1241536313821,1554.53
calibration,2022-11-30 09:18:00,1554.61,1555.1493471696206,1554.53
calibration,2022-12-10 07:17:00,1554.36,1555.0849749081262,1554.53
calibration,2022-12-20 05:15:00,1554.29,1555.028134874519,1554.53
calibration,2022-12-30 03:14:00,1554.56,1554.9654869031322,1554.53
calibration,2023-01-09 01:12:00,1554.65,1554.9095099429157,1554.53
calibration,2023-01-18 23:11:00,1554.56,1554.855851434173,1554.53
calibration,2023-01-28 21:09:00,1554.7,1554.8011589931198,1554.53
calibration,2023-02-07 19:08:00,1554.47,1554.747292359091,1554.53
calibration,2023-02-17 17:06:00,1554.25,1554.7016762692754,1554.53
calibration,2023-02-27 15:05:00,1554.36,1554.6547724084646,1554.53
calibration,2023-03-09 13:03:00,1554.13,1554.6219190488296,1554.53
calibration,2023-03-19 11:02:00,1554.26,1554.6469412144997,1554.53
calibration,2023-03-29 09:00:00,1553.94,1554.5870406733127,1554.53
calibration,2023-04-08 06:59:00,1553.79,1554.4978483236303,1554.53
calibration,2023-04-18 04:57:00,1553.82,1554.433899479943,1554.53
calibration,2023-04-28 02:56:00,1553.88,1554.4346103285852,1554.53
calibration,2023-05-08 00:54:00,1554.21,1554.3857124448793,1554.53
calibration,2023-05-17 22:53:00,1554.07,1554.4067885414931,1554.53
calibration,2023-05-27 20:51:00,1554.23,1554.3670044931914,1554.53
calibration,2023-06-06 18:50:00,1554.13,1554.3884560095062,1554.53
calibration,2023-06-16 16:48:00,1554.08,1554.3509044994655,1554.53
calibration,2023-06-26 14:47:00,1554.22,1554.3861352864235,1554.53
calibration,2023-07-06 12:46:00,1554.23,1554.4360475143155,1554.53
calibration,2023-07-16 10:44:00,1554.27,1554.4308409518862,1554.53
calibration,2023-07-26 08:43:00,1554.19,1554.4187613654751,1554.53
calibration,2023-08-05 06:41:00,1554.3,1554.468968007629,1554.53
calibration,2023-08-15 04:40:00,1554.27,1554.4174323975922,1554.53
calibration,2023-08-25 02:38:00,1554.17,1554.3987617046057,1554.53
calibration,2023-09-04 00:37:00,1554.05,1554.4214713254703,1554.53
calibration,2023-09-13 22:35:00,1553.58,1554.4441404800598,1554.53
calibration,2023-09-23 20:34:00,1554.19,1554.4084428872939,1554.53
calibration,2023-10-03 18:32:00,1554.13,1554.531435531959,1554.53
calibration,2023-10-13 16:31:00,1554.43,1554.6707121288232,1554.53
calibration,2023-11-02 12:28:00,1554.4,1554.7432879042667,1554.53
calibration,2023-11-12 10:26:00,1554.04,1554.7251961074155,1554.53
calibration,2023-11-22 08:25:00,1554.37,1554.6749398408585,1554.53
calibration,2023-12-02 06:23:00,1554.48,1554.6221575368072,1554.53
calibration,2023-12-12 04:22:00,1554.32,1554.5564419653667,1554.53
calibration,2023-12-22 02:21:00,1554.13,1554.4914330553436,1554.53
calibration,2024-01-01 00:19:00,1554.11,1554.4357736951135,1554.53
calibration,2024-01-10 22:18:00,1553.9,1554.3821445883682,1554.53
test,2024-01-20 20:16:00,1554.22,1553.8474188002906,1553.9
test,2024-01-30 18:15:00,1554.2,1553.7996903187443,1553.9
test,2024-02-09 16:13:00,1554.11,1553.7518232915954,1553.9
test,2024-02-19 14:12:00,1554.16,1553.706693693832,1553.9
test,2024-02-29 12:10:00,1554.0,1553.650902539427,1553.9
test,2024-03-10 10:09:00,1553.76,1553.6095310727842,1553.9
test,2024-03-20 08:07:00,1553.68,1553.5636703431537,1553.9
test,2024-03-30 06:06:00,1553.6,1553.5162336128192,1553.9
test,2024-04-09 04:04:00,1553.48,1553.4763773762231,1553.9
test,2024-04-19 02:03:00,1553.51,1553.4116195256643,1553.9
test,2024-04-29 00:01:00,1553.57,1553.3865288508293,1553.9
test,2024-05-08 22:00:00,1553.53,1553.325897328005,1553.9
test,2024-05-18 19:58:00,1553.87,1553.303652688595,1553.9
test,2024-05-28 17:57:00,1553.72,1553.2451268305526,1553.9
test,2024-06-07 15:55:00,1553.6,1553.2446719357908,1553.9
test,2024-06-17 13:54:00,1553.5,1553.525134869847,1553.9
test,2024-06-27 11:53:00,1553.81,1553.7676357012,1553.9
test,2024-07-07 09:51:00,1553.72,1553.8494236115298,1553.9
test,2024-07-17 07:50:00,1553.67,1553.8506847100023,1553.9
test,2024-07-27 05:48:00,1553.72,1553.8341584970672,1553.9
test,2024-08-06 03:47:00,1554.05,1553.839849261021,1553.9
test,2024-08-16 01:45:00,1553.9,1553.8259414752367,1553.9
test,2024-08-25 23:44:00,1554.0,1553.7934078714538,1553.9
test,2024-09-04 21:42:00,1553.93,1553.843511202326,1553.9
test,2024-10-04 15:38:00,1554.24,1554.041372787577,1553.9
test,2024-10-14 13:36:00,1554.21,1554.049082332541,1553.9
test,2024-10-24 11:35:00,1553.87,1554.1236460312646,1553.9
test,2024-11-03 09:33:00,1553.76,1554.1020277796724,1553.9
test,2024-11-13 07:32:00,1553.77,1554.0765693600101,1553.9
test,2024-11-23 05:30:00,1554.07,1554.1234556497727,1553.9
test,2024-12-03 03:29:00,1554.13,1554.056016620618,1553.9
test,2024-12-13 01:27:00,1554.23,1553.990245362493,1553.9
test,2024-12-22 23:26:00,1553.87,1553.9299711512717,1553.9
