number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.016112504969975593,2026-09-14 00:35:07.321769,2026-09-14 00:35:07.934973,0 days 00:00:00.613204,0.9544210006808902,0.9551971843332603,0.23565671334405203,0.009502848960165807,2,0.5090460190965153,300,0.05848275259084751,1.2842198210822169,0.829664835688624,,COMPLETE
1,0.016097953211242313,2026-09-14 00:35:08.061789,2026-09-14 00:35:08.656813,0 days 00:00:00.595024,0.572836098815661,0.807913010824778,0.14065744093741872,0.010980865921238293,4,2.749705753886065,250,0.03632472661422138,16.181098863906385,0.8120599124079336,,COMPLETE
2,0.01590601126150171,2026-09-14 00:35:08.783166,2026-09-14 00:35:09.684841,0 days 00:00:00.901675,0.8305554498831074,0.10208328572835901,0.5263878373642933,0.11845504596055585,2,0.9864220714706513,1150,0.5038574606874099,23.849371953004404,0.7815174121335454,,COMPLETE
3,0.016745187853849947,2026-09-14 00:35:09.793702,2026-09-14 00:35:10.429448,0 days 00:00:00.635746,0.5674083623711318,0.637893139188833,0.057521362021865065,0.036900815196245364,4,3.312714609801657,300,0.048072929427641846,0.08966005507948735,0.6686955076178621,,COMPLETE
4,0.01603479910724671,2026-09-14 00:35:10.528955,2026-09-14 00:35:11.281848,0 days 00:00:00.752893,0.7168092348078515,0.17711271579444537,0.532549051222969,0.0981561222983451,2,0.5659870442282229,1050,0.00134130268617054,0.33696948289839673,0.7103210827168419,"{""colsample_bytree"": 0.7168092348078515, ""gamma"": 0.17711271579444537, ""huber_slope"": 0.532549051222969, ""learning_rate"": 0.0981561222983451, ""max_depth"": 2, ""min_child_weight"": 0.5659870442282229, ""n_estimators"": 1050, ""reg_alpha"": 0.00134130268617054, ""reg_lambda"": 0.33696948289839673, ""subsample"": 0.7103210827168419}",COMPLETE
5,0.01605560583186695,2026-09-14 00:35:11.403209,2026-09-14 00:35:12.273856,0 days 00:00:00.870647,0.8618575441184155,0.2392535092028479,0.141931534331371,0.010404144609836572,2,0.6847752464902218,1150,0.02440881894173005,10.119227831369967,0.9918557748685977,"{""colsample_bytree"": 0.8618575441184155, ""gamma"": 0.2392535092028479, ""huber_slope"": 0.141931534331371, ""learning_rate"": 0.010404144609836572, ""max_depth"": 2, ""min_child_weight"": 0.6847752464902218, ""n_estimators"": 1150, ""reg_alpha"": 0.02440881894173005, ""reg_lambda"": 10.119227831369967, ""subsample"": 0.9918557748685977}",COMPLETE
6,0.015989973474872275,2026-09-14 00:35:12.388695,2026-09-14 00:35:13.056831,0 days 00:00:00.668136,0.6819030979329905,0.4409881771540334,1.2407428345730702,0.08499271903842402,3,1.717425788047845,700,6.458131762344213e-05,7.626358067453101,0.9251670410037138,"{""colsample_bytree"": 0.6819030979329905, ""gamma"": 0.4409881771540334, ""huber_slope"": 1.2407428345730702, ""learning_rate"": 0.08499271903842402, ""max_depth"": 3, ""min_child_weight"": 1.717425788047845, ""n_estimators"": 700, ""reg_alpha"": 6.458131762344213e-05, ""reg_lambda"": 7.626358067453101, ""subsample"": 0.9251670410037138}",COMPLETE
7,0.01590746066607748,2026-09-14 00:35:13.157879,2026-09-14 00:35:13.880787,0 days 00:00:00.722908,0.6652067346146993,0.4704272331138555,1.3669218692444702,0.11054420840620753,5,7.294052962482503,650,2.820110422170007,4.688558353146471,0.7372745279692438,"{""colsample_bytree"": 0.6652067346146993, ""gamma"": 0.4704272331138555, ""huber_slope"": 1.3669218692444702, ""learning_rate"": 0.11054420840620753, ""max_depth"": 5, ""min_child_weight"": 7.294052962482503, ""n_estimators"": 650, ""reg_alpha"": 2.820110422170007, ""reg_lambda"": 4.688558353146471, ""subsample"": 0.7372745279692438}",COMPLETE
8,0.015905316864422914,2026-09-14 00:35:14.001338,2026-09-14 00:35:14.717420,0 days 00:00:00.716082,0.8936194869521026,0.032117188061225516,0.43664369853945756,0.03466851813720076,5,15.550117771820588,900,1.2323982047962179,13.225058711638512,0.8750885735105387,"{""colsample_bytree"": 0.8936194869521026, ""gamma"": 0.032117188061225516, ""huber_slope"": 0.43664369853945756, ""learning_rate"": 0.03466851813720076, ""max_depth"": 5, ""min_child_weight"": 15.550117771820588, ""n_estimators"": 900, ""reg_alpha"": 1.2323982047962179, ""reg_lambda"": 13.225058711638512, ""subsample"": 0.8750885735105387}",COMPLETE
9,0.015952501379301102,2026-09-14 00:35:14.843685,2026-09-14 00:35:15.651719,0 days 00:00:00.808034,0.8978877650140559,0.20689885055485915,0.6905146700349812,0.01130587513084406,5,6.83657881618532,1050,0.0020801656910935658,24.785218799599527,0.915761463016524,"{""colsample_bytree"": 0.8978877650140559, ""gamma"": 0.20689885055485915, ""huber_slope"": 0.6905146700349812, ""learning_rate"": 0.01130587513084406, ""max_depth"": 5, ""min_child_weight"": 6.83657881618532, ""n_estimators"": 1050, ""reg_alpha"": 0.0020801656910935658, ""reg_lambda"": 24.785218799599527, ""subsample"": 0.915761463016524}",COMPLETE
