number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tweedie_variance_power,system_attrs_tpe:relative_params:0,state
0,0.014328508964550664,2026-09-14 00:34:58.789927,2026-09-14 00:34:59.418230,0 days 00:00:00.628303,0.5455100111322025,0.617895438599268,0.10142466439449052,5,1.5460223827001776,450,4.601143898042138e-06,0.01848960112154453,0.8128724329688415,1.2578300843393746,,COMPLETE
1,0.01588628354860626,2026-09-14 00:34:59.538484,2026-09-14 00:35:00.299043,0 days 00:00:00.760559,0.7373716670817108,0.8072170255037433,0.05284693493367987,3,2.819186111273918,1100,0.48609787572400703,0.020062299937795663,0.689714681360941,1.1155412235700697,,COMPLETE
2,0.015833474017530175,2026-09-14 00:35:00.398271,2026-09-14 00:35:01.150208,0 days 00:00:00.751937,0.5832262572815491,0.05160088072906477,0.04112246472266534,4,3.0298839545178584,1000,1.825364913566292,2.5644501011511265,0.917362908537096,1.1599207883518092,,COMPLETE
3,0.014983136013098855,2026-09-14 00:35:01.247382,2026-09-14 00:35:01.919853,0 days 00:00:00.672471,0.9571983673179174,0.2502965736716142,0.013154288162420131,3,2.7737091366021356,550,1.0924980168901382e-07,0.001193837237355527,0.906165751076569,1.4811512976329608,,COMPLETE
4,0.014863204375148896,2026-09-14 00:35:02.040770,2026-09-14 00:35:02.688809,0 days 00:00:00.648039,0.4584821756639362,0.4576665878085281,0.04356025338986935,5,1.0613589093016562,550,2.1764313212785935e-05,6.024725241974485,0.7702461580955485,1.5768648140630337,"{""colsample_bytree"": 0.4584821756639362, ""gamma"": 0.4576665878085281, ""learning_rate"": 0.04356025338986935, ""max_depth"": 5, ""min_child_weight"": 1.0613589093016562, ""n_estimators"": 550, ""reg_alpha"": 2.1764313212785935e-05, ""reg_lambda"": 6.024725241974485, ""subsample"": 0.7702461580955485, ""tweedie_variance_power"": 1.5768648140630337}",COMPLETE
5,0.01587972159875713,2026-09-14 00:35:02.803273,2026-09-14 00:35:03.495903,0 days 00:00:00.692630,0.8303437647636924,0.8495370587322757,0.02115763536224564,3,0.7060307773534505,550,1.978859844854807e-06,11.093578953343133,0.8373311635033159,1.133609796080276,"{""colsample_bytree"": 0.8303437647636924, ""gamma"": 0.8495370587322757, ""learning_rate"": 0.02115763536224564, ""max_depth"": 3, ""min_child_weight"": 0.7060307773534505, ""n_estimators"": 550, ""reg_alpha"": 1.978859844854807e-06, ""reg_lambda"": 11.093578953343133, ""subsample"": 0.8373311635033159, ""tweedie_variance_power"": 1.133609796080276}",PRUNED
6,0.014475892315538535,2026-09-14 00:35:03.598066,2026-09-14 00:35:04.215058,0 days 00:00:00.616992,0.7945853652435269,0.641627611781544,0.09535813201369145,5,3.15090105945031,250,2.4176984070285585e-07,0.024424362282509514,0.9761370451903222,1.4802513969477382,"{""colsample_bytree"": 0.7945853652435269, ""gamma"": 0.641627611781544, ""learning_rate"": 0.09535813201369145, ""max_depth"": 5, ""min_child_weight"": 3.15090105945031, ""n_estimators"": 250, ""reg_alpha"": 2.4176984070285585e-07, ""reg_lambda"": 0.024424362282509514, ""subsample"": 0.9761370451903222, ""tweedie_variance_power"": 1.4802513969477382}",COMPLETE
7,0.014213128060294655,2026-09-14 00:35:04.330515,2026-09-14 00:35:05.163628,0 days 00:00:00.833113,0.6833264172446364,0.5751377025530138,0.09678188648295324,5,0.5185159254561068,1000,0.004498124985049381,0.0012308045422437558,0.7905757095308399,1.3591532788032947,"{""colsample_bytree"": 0.6833264172446364, ""gamma"": 0.5751377025530138, ""learning_rate"": 0.09678188648295324, ""max_depth"": 5, ""min_child_weight"": 0.5185159254561068, ""n_estimators"": 1000, ""reg_alpha"": 0.004498124985049381, ""reg_lambda"": 0.0012308045422437558, ""subsample"": 0.7905757095308399, ""tweedie_variance_power"": 1.3591532788032947}",COMPLETE
8,0.015616500582806172,2026-09-14 00:35:05.288358,2026-09-14 00:35:06.274834,0 days 00:00:00.986476,0.8696801535990358,0.5356417271355722,0.032038333665966146,5,1.684652336297086,1050,1.3217665127063145,0.003546073433109293,0.8240143304558626,1.8285381468861472,"{""colsample_bytree"": 0.8696801535990358, ""gamma"": 0.5356417271355722, ""learning_rate"": 0.032038333665966146, ""max_depth"": 5, ""min_child_weight"": 1.684652336297086, ""n_estimators"": 1050, ""reg_alpha"": 1.3217665127063145, ""reg_lambda"": 0.003546073433109293, ""subsample"": 0.8240143304558626, ""tweedie_variance_power"": 1.8285381468861472}",PRUNED
9,0.014933228981670954,2026-09-14 00:35:06.396941,2026-09-14 00:35:07.175665,0 days 00:00:00.778724,0.8597444787036569,0.615784551645505,0.11191609833847835,3,0.6012141829335435,800,0.0006266479541760592,0.07636037296603973,0.8021925687509706,1.4369258972387189,"{""colsample_bytree"": 0.8597444787036569, ""gamma"": 0.615784551645505, ""learning_rate"": 0.11191609833847835, ""max_depth"": 3, ""min_child_weight"": 0.6012141829335435, ""n_estimators"": 800, ""reg_alpha"": 0.0006266479541760592, ""reg_lambda"": 0.07636037296603973, ""subsample"": 0.8021925687509706, ""tweedie_variance_power"": 1.4369258972387189}",PRUNED
