number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.4182635745151835,2026-09-14 00:33:40.183151,2026-09-14 00:33:40.857663,0 days 00:00:00.674512,0.6952242861178652,0.1343923302107738,0.8014184340677866,0.04138647819782881,5,1.791963821308468,450,0.030075775717358894,0.026426471526215963,0.7914979949091221,,COMPLETE
1,0.4377440350940344,2026-09-14 00:33:40.963682,2026-09-14 00:33:41.913615,0 days 00:00:00.949933,0.8990415749570257,0.10597218487438964,1.2528013723465135,0.0251524859144627,2,2.715530251937043,1200,2.7064207758284972e-05,0.4219035717468744,0.8781258457254908,,COMPLETE
2,0.5680466584224301,2026-09-14 00:33:42.031787,2026-09-14 00:33:42.953504,0 days 00:00:00.921717,0.8367103829869106,0.6312603682047468,0.18085850909576565,0.012563798405826675,5,14.096869963803385,1150,0.0002643255096045019,0.11785191116017271,0.8715613871800076,,COMPLETE
3,0.6248634995748957,2026-09-14 00:33:43.078194,2026-09-14 00:33:43.859152,0 days 00:00:00.780958,0.8976978855420389,0.9704060843967265,0.06543357173773917,0.010928384162557302,3,11.383674503983345,850,0.00029804406837739047,0.23077076131164212,0.7117883968073123,,COMPLETE
4,0.4183648203870443,2026-09-14 00:33:43.982883,2026-09-14 00:33:44.823152,0 days 00:00:00.840269,0.6561412249055664,0.023952726309948533,0.36005895820808026,0.07576670344171597,5,2.401374716687341,650,0.5180462301305473,0.07289306546552299,0.9401919713543168,"{""colsample_bytree"": 0.6561412249055664, ""gamma"": 0.023952726309948533, ""huber_slope"": 0.36005895820808026, ""learning_rate"": 0.07576670344171597, ""max_depth"": 5, ""min_child_weight"": 2.401374716687341, ""n_estimators"": 650, ""reg_alpha"": 0.5180462301305473, ""reg_lambda"": 0.07289306546552299, ""subsample"": 0.9401919713543168}",COMPLETE
5,0.4278359754940649,2026-09-14 00:33:44.940793,2026-09-14 00:33:45.578985,0 days 00:00:00.638192,0.6397950365681279,0.29543780057296853,0.6402651028365336,0.032681478856034125,5,1.3727201935436915,300,7.034469109941576e-06,0.08827645056848904,0.6960545603355587,"{""colsample_bytree"": 0.6397950365681279, ""gamma"": 0.29543780057296853, ""huber_slope"": 0.6402651028365336, ""learning_rate"": 0.032681478856034125, ""max_depth"": 5, ""min_child_weight"": 1.3727201935436915, ""n_estimators"": 300, ""reg_alpha"": 7.034469109941576e-06, ""reg_lambda"": 0.08827645056848904, ""subsample"": 0.6960545603355587}",COMPLETE
6,0.48146093800556394,2026-09-14 00:33:45.698152,2026-09-14 00:33:46.340872,0 days 00:00:00.642720,0.7739052340413256,0.721124199884112,0.33134910393690864,0.024615081159666735,4,1.0670104243235277,250,0.08138258160054447,0.0015067055115840801,0.6585708209515683,"{""colsample_bytree"": 0.7739052340413256, ""gamma"": 0.721124199884112, ""huber_slope"": 0.33134910393690864, ""learning_rate"": 0.024615081159666735, ""max_depth"": 4, ""min_child_weight"": 1.0670104243235277, ""n_estimators"": 250, ""reg_alpha"": 0.08138258160054447, ""reg_lambda"": 0.0015067055115840801, ""subsample"": 0.6585708209515683}",COMPLETE
7,0.44164004824482045,2026-09-14 00:33:46.461565,2026-09-14 00:33:47.250116,0 days 00:00:00.788551,0.552819495037871,0.5256140074807693,0.6406309695688258,0.015228328425854818,4,5.935803512848037,650,0.057436100172521765,0.025143171224504435,0.8982743076881269,"{""colsample_bytree"": 0.552819495037871, ""gamma"": 0.5256140074807693, ""huber_slope"": 0.6406309695688258, ""learning_rate"": 0.015228328425854818, ""max_depth"": 4, ""min_child_weight"": 5.935803512848037, ""n_estimators"": 650, ""reg_alpha"": 0.057436100172521765, ""reg_lambda"": 0.025143171224504435, ""subsample"": 0.8982743076881269}",COMPLETE
8,0.42860596849152355,2026-09-14 00:33:47.368170,2026-09-14 00:33:48.222912,0 days 00:00:00.854742,0.491385707627615,0.021919807778600642,1.1744778832997786,0.059789020528248346,5,0.5789670928614297,300,0.0006244758817773212,0.10061769490616354,0.9240087113637134,"{""colsample_bytree"": 0.491385707627615, ""gamma"": 0.021919807778600642, ""huber_slope"": 1.1744778832997786, ""learning_rate"": 0.059789020528248346, ""max_depth"": 5, ""min_child_weight"": 0.5789670928614297, ""n_estimators"": 300, ""reg_alpha"": 0.0006244758817773212, ""reg_lambda"": 0.10061769490616354, ""subsample"": 0.9240087113637134}",COMPLETE
9,0.4140435043969081,2026-09-14 00:33:48.340311,2026-09-14 00:33:48.988657,0 days 00:00:00.648346,0.7218784688205924,0.04266102685285149,0.5291823235185761,0.030746747252552633,3,0.795919051847103,300,0.3476516285015504,0.06993746121594825,0.7944379092026745,"{""colsample_bytree"": 0.7218784688205924, ""gamma"": 0.04266102685285149, ""huber_slope"": 0.5291823235185761, ""learning_rate"": 0.030746747252552633, ""max_depth"": 3, ""min_child_weight"": 0.795919051847103, ""n_estimators"": 300, ""reg_alpha"": 0.3476516285015504, ""reg_lambda"": 0.06993746121594825, ""subsample"": 0.7944379092026745}",COMPLETE
