number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tweedie_variance_power,system_attrs_tpe:relative_params:0,state
0,0.4121336855659458,2026-09-14 00:33:29.452150,2026-09-14 00:33:30.600926,0 days 00:00:01.148776,0.5091178491782663,0.16049761003611573,0.04620576126567362,2,4.2435653054638145,900,0.004771988611456463,5.75539502015854,0.7678826508266694,1.1504070648727627,,COMPLETE
1,0.43311373497252276,2026-09-14 00:33:30.734742,2026-09-14 00:33:31.515819,0 days 00:00:00.781077,0.4843612204867837,0.028726371601051626,0.017217962608197225,5,0.8462203817913971,350,0.0014432565644081584,0.23408758868859256,0.8343308971806154,1.8679921381253821,,COMPLETE
2,0.4340247486730974,2026-09-14 00:33:31.641370,2026-09-14 00:33:32.317088,0 days 00:00:00.675718,0.4669103817801543,0.6611107476891982,0.009251911895396443,5,11.807592867373895,250,1.1697137851311815e-07,0.0035668919952859595,0.8074387225075983,1.259075742790901,,COMPLETE
3,0.4191021685934264,2026-09-14 00:33:32.438821,2026-09-14 00:33:33.576360,0 days 00:00:01.137539,0.8495714923818654,0.06292638959488284,0.012840326071591815,4,9.787227334610284,1000,0.059583564671040756,7.077090096846603,0.873649897537203,1.247078204939683,,COMPLETE
4,0.3922231961582148,2026-09-14 00:33:33.684906,2026-09-14 00:33:34.641982,0 days 00:00:00.957076,0.45543337572025,0.34317669461496636,0.11929863052756287,3,1.7253077876949905,1150,0.00084058615691709,14.874435371907452,0.8672797887624253,1.2805273025288628,"{""colsample_bytree"": 0.45543337572025, ""gamma"": 0.34317669461496636, ""learning_rate"": 0.11929863052756287, ""max_depth"": 3, ""min_child_weight"": 1.7253077876949905, ""n_estimators"": 1150, ""reg_alpha"": 0.00084058615691709, ""reg_lambda"": 14.874435371907452, ""subsample"": 0.8672797887624253, ""tweedie_variance_power"": 1.2805273025288628}",COMPLETE
5,0.4154882193546648,2026-09-14 00:33:34.767533,2026-09-14 00:33:35.427813,0 days 00:00:00.660280,0.4816492246228067,0.8282982813073205,0.05172977600933636,2,1.0002459902891025,250,1.6417048215676115,14.290997513600917,0.8948909918518325,1.4480211109703176,"{""colsample_bytree"": 0.4816492246228067, ""gamma"": 0.8282982813073205, ""learning_rate"": 0.05172977600933636, ""max_depth"": 2, ""min_child_weight"": 1.0002459902891025, ""n_estimators"": 250, ""reg_alpha"": 1.6417048215676115, ""reg_lambda"": 14.290997513600917, ""subsample"": 0.8948909918518325, ""tweedie_variance_power"": 1.4480211109703176}",COMPLETE
6,0.40424994935170194,2026-09-14 00:33:35.552032,2026-09-14 00:33:36.405764,0 days 00:00:00.853732,0.8047356066579319,0.319440243497655,0.11196650224210909,2,0.9035313584258484,800,2.8730202529679108e-05,17.11754635282444,0.9454813541357094,1.8476863442000167,"{""colsample_bytree"": 0.8047356066579319, ""gamma"": 0.319440243497655, ""learning_rate"": 0.11196650224210909, ""max_depth"": 2, ""min_child_weight"": 0.9035313584258484, ""n_estimators"": 800, ""reg_alpha"": 2.8730202529679108e-05, ""reg_lambda"": 17.11754635282444, ""subsample"": 0.9454813541357094, ""tweedie_variance_power"": 1.8476863442000167}",COMPLETE
7,0.4062840162852666,2026-09-14 00:33:36.511104,2026-09-14 00:33:37.583077,0 days 00:00:01.071973,0.5629250884137464,0.3845590210790483,0.014626662360287061,4,2.76749421842326,1200,0.002308293328089177,19.37229418423403,0.9701463865023708,1.2991691022532506,"{""colsample_bytree"": 0.5629250884137464, ""gamma"": 0.3845590210790483, ""learning_rate"": 0.014626662360287061, ""max_depth"": 4, ""min_child_weight"": 2.76749421842326, ""n_estimators"": 1200, ""reg_alpha"": 0.002308293328089177, ""reg_lambda"": 19.37229418423403, ""subsample"": 0.9701463865023708, ""tweedie_variance_power"": 1.2991691022532506}",COMPLETE
8,0.4050542982669129,2026-09-14 00:33:37.705574,2026-09-14 00:33:38.794220,0 days 00:00:01.088646,0.6005967795575586,0.10944618116916144,0.08739839057028648,4,3.1206343505835634,1200,1.2106011622638311e-05,18.902508706979845,0.8354804096455597,1.4115929459094978,"{""colsample_bytree"": 0.6005967795575586, ""gamma"": 0.10944618116916144, ""learning_rate"": 0.08739839057028648, ""max_depth"": 4, ""min_child_weight"": 3.1206343505835634, ""n_estimators"": 1200, ""reg_alpha"": 1.2106011622638311e-05, ""reg_lambda"": 18.902508706979845, ""subsample"": 0.8354804096455597, ""tweedie_variance_power"": 1.4115929459094978}",COMPLETE
9,0.446009946360925,2026-09-14 00:33:38.913690,2026-09-14 00:33:40.034855,0 days 00:00:01.121165,0.5079812708247327,0.34225893938088103,0.07349875888567037,2,1.2443957325493593,1150,0.003075237356890996,0.3273889415526974,0.7204663329026442,1.7546114023843349,"{""colsample_bytree"": 0.5079812708247327, ""gamma"": 0.34225893938088103, ""learning_rate"": 0.07349875888567037, ""max_depth"": 2, ""min_child_weight"": 1.2443957325493593, ""n_estimators"": 1150, ""reg_alpha"": 0.003075237356890996, ""reg_lambda"": 0.3273889415526974, ""subsample"": 0.7204663329026442, ""tweedie_variance_power"": 1.7546114023843349}",COMPLETE
