number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tweedie_variance_power,system_attrs_tpe:relative_params:0,state
0,0.028393477470860833,2026-09-14 00:35:27.710331,2026-09-14 00:35:28.370054,0 days 00:00:00.659723,0.9956412360461637,0.5588140317680798,0.011107012269853177,3,1.5233029634429536,600,7.550140931612477e-05,0.0011109968183657434,0.9741752660620366,1.2326679839628263,,COMPLETE
1,0.029955952468299612,2026-09-14 00:35:28.484571,2026-09-14 00:35:29.344239,0 days 00:00:00.859668,0.9053648488493482,0.29536894104998723,0.014238067966814366,2,5.494988850009436,1100,0.00022223088943003436,0.6031632912298087,0.8427039403410125,1.4503764444235971,,COMPLETE
2,0.028930588931746107,2026-09-14 00:35:29.457740,2026-09-14 00:35:30.127968,0 days 00:00:00.670228,0.9430865190246429,0.8421263594970344,0.024681903028283256,2,6.401697593945288,800,0.0025940542046698507,0.0027703951889467664,0.9493352448162944,1.2932030497777613,,COMPLETE
3,0.029182130471581733,2026-09-14 00:35:30.239239,2026-09-14 00:35:31.017707,0 days 00:00:00.778468,0.9327394171200047,0.9138179430486978,0.06176542638143698,3,9.809019134466626,950,0.021749923582243532,21.125167219387983,0.6714586921972389,1.1557258474583028,,COMPLETE
4,0.02887947303943865,2026-09-14 00:35:31.120337,2026-09-14 00:35:31.847530,0 days 00:00:00.727193,0.4909371887379143,0.4587191658036073,0.012303019781597608,2,2.5829828500736447,800,4.081946002424559e-05,0.5054079044642451,0.9774829059007641,1.2250803870008962,"{""colsample_bytree"": 0.4909371887379143, ""gamma"": 0.4587191658036073, ""learning_rate"": 0.012303019781597608, ""max_depth"": 2, ""min_child_weight"": 2.5829828500736447, ""n_estimators"": 800, ""reg_alpha"": 4.081946002424559e-05, ""reg_lambda"": 0.5054079044642451, ""subsample"": 0.9774829059007641, ""tweedie_variance_power"": 1.2250803870008962}",COMPLETE
5,0.02869325560373669,2026-09-14 00:35:31.955486,2026-09-14 00:35:32.640562,0 days 00:00:00.685076,0.8762283357188474,0.7380655457052077,0.09020785866756818,2,0.614452200227152,700,9.989993921704855e-06,1.6643856775730184,0.8928577706204983,1.138404318319664,"{""colsample_bytree"": 0.8762283357188474, ""gamma"": 0.7380655457052077, ""learning_rate"": 0.09020785866756818, ""max_depth"": 2, ""min_child_weight"": 0.614452200227152, ""n_estimators"": 700, ""reg_alpha"": 9.989993921704855e-06, ""reg_lambda"": 1.6643856775730184, ""subsample"": 0.8928577706204983, ""tweedie_variance_power"": 1.138404318319664}",COMPLETE
6,0.02966742415357734,2026-09-14 00:35:32.751307,2026-09-14 00:35:33.194944,0 days 00:00:00.443637,0.8255780885561972,0.4851932140953297,0.01460493505764083,3,0.7001802427375196,250,0.0086656091066129,0.9786492117660771,0.8396132232951882,1.4922250979865153,"{""colsample_bytree"": 0.8255780885561972, ""gamma"": 0.4851932140953297, ""learning_rate"": 0.01460493505764083, ""max_depth"": 3, ""min_child_weight"": 0.7001802427375196, ""n_estimators"": 250, ""reg_alpha"": 0.0086656091066129, ""reg_lambda"": 0.9786492117660771, ""subsample"": 0.8396132232951882, ""tweedie_variance_power"": 1.4922250979865153}",PRUNED
7,0.028737967281633418,2026-09-14 00:35:33.315374,2026-09-14 00:35:33.838188,0 days 00:00:00.522814,0.6241184766234275,0.9415122978499652,0.009498792986391986,2,1.2550318942378806,550,1.3224045421304518e-06,0.0010318420286639153,0.8315870033581085,1.3470513191722906,"{""colsample_bytree"": 0.6241184766234275, ""gamma"": 0.9415122978499652, ""learning_rate"": 0.009498792986391986, ""max_depth"": 2, ""min_child_weight"": 1.2550318942378806, ""n_estimators"": 550, ""reg_alpha"": 1.3224045421304518e-06, ""reg_lambda"": 0.0010318420286639153, ""subsample"": 0.8315870033581085, ""tweedie_variance_power"": 1.3470513191722906}",PRUNED
8,0.02980190627261925,2026-09-14 00:35:33.958357,2026-09-14 00:35:34.445508,0 days 00:00:00.487151,0.9598092021456116,0.5192224829399651,0.01922684834114342,3,2.072549823314904,550,2.573269750419689e-07,0.2710340910037326,0.7451741152564284,1.511389070874954,"{""colsample_bytree"": 0.9598092021456116, ""gamma"": 0.5192224829399651, ""learning_rate"": 0.01922684834114342, ""max_depth"": 3, ""min_child_weight"": 2.072549823314904, ""n_estimators"": 550, ""reg_alpha"": 2.573269750419689e-07, ""reg_lambda"": 0.2710340910037326, ""subsample"": 0.7451741152564284, ""tweedie_variance_power"": 1.511389070874954}",PRUNED
9,0.028106573114255847,2026-09-14 00:35:34.565361,2026-09-14 00:35:35.221486,0 days 00:00:00.656125,0.6165194822980892,0.38532961985157343,0.008102102757564345,2,1.8411910321422813,300,0.004247479158980928,0.002996136753208722,0.9639489913999881,1.1736238349770978,"{""colsample_bytree"": 0.6165194822980892, ""gamma"": 0.38532961985157343, ""learning_rate"": 0.008102102757564345, ""max_depth"": 2, ""min_child_weight"": 1.8411910321422813, ""n_estimators"": 300, ""reg_alpha"": 0.004247479158980928, ""reg_lambda"": 0.002996136753208722, ""subsample"": 0.9639489913999881, ""tweedie_variance_power"": 1.1736238349770978}",COMPLETE
