number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.22088471586309907,2026-09-14 00:34:09.351836,2026-09-14 00:34:10.070611,0 days 00:00:00.718775,0.7915451731426437,0.21797983426819334,0.20250167273051425,0.03271593416626409,4,3.2544538259693248,500,7.16162662647519e-07,0.017605083914598408,0.6664221129092031,,COMPLETE
1,0.26088852132166135,2026-09-14 00:34:10.193431,2026-09-14 00:34:10.929065,0 days 00:00:00.735634,0.9946578671005435,0.6962767028041135,0.19766749729167776,0.0320232866064305,3,15.39940635993206,1000,3.2605816172054143e-06,2.0657660608942083,0.9118334782948901,,COMPLETE
2,0.26714945770067616,2026-09-14 00:34:11.034224,2026-09-14 00:34:11.715514,0 days 00:00:00.681290,0.5279213936467744,0.23089545303974035,0.10197882587460408,0.015779370518904132,4,13.840463180659954,750,0.7573480398949657,0.1095703146116434,0.8482188691049872,,COMPLETE
3,0.21241290221158438,2026-09-14 00:34:11.838239,2026-09-14 00:34:12.489694,0 days 00:00:00.651455,0.6275200869359014,0.028324231866918126,0.07900835187502737,0.02489016015551382,2,2.164177771505193,550,0.20365301755748896,0.7039469985711042,0.9639024903483697,,COMPLETE
4,0.2406842136198443,2026-09-14 00:34:12.611403,2026-09-14 00:34:13.238230,0 days 00:00:00.626827,0.5693370226263392,0.4179285812043673,0.05986200446392137,0.04897127912396948,2,2.714721077493047,500,0.21239268367479822,0.0019343201458695241,0.863846350980664,"{""colsample_bytree"": 0.5693370226263392, ""gamma"": 0.4179285812043673, ""huber_slope"": 0.05986200446392137, ""learning_rate"": 0.04897127912396948, ""max_depth"": 2, ""min_child_weight"": 2.714721077493047, ""n_estimators"": 500, ""reg_alpha"": 0.21239268367479822, ""reg_lambda"": 0.0019343201458695241, ""subsample"": 0.863846350980664}",COMPLETE
5,0.24727328751854308,2026-09-14 00:34:13.365477,2026-09-14 00:34:13.921149,0 days 00:00:00.555672,0.857186187512331,0.41232496422199993,0.09233790320841151,0.008222281763347829,2,1.2109404007530495,250,0.00032964077424790653,0.2228751320932628,0.9199152155868789,"{""colsample_bytree"": 0.857186187512331, ""gamma"": 0.41232496422199993, ""huber_slope"": 0.09233790320841151, ""learning_rate"": 0.008222281763347829, ""max_depth"": 2, ""min_child_weight"": 1.2109404007530495, ""n_estimators"": 250, ""reg_alpha"": 0.00032964077424790653, ""reg_lambda"": 0.2228751320932628, ""subsample"": 0.9199152155868789}",COMPLETE
6,0.2658361171456335,2026-09-14 00:34:14.029764,2026-09-14 00:34:14.641466,0 days 00:00:00.611702,0.6729835074956936,0.9001765254696286,0.23172637464446721,0.014633375910893082,3,0.5588828418877557,600,0.8750652982535095,3.993001125838575,0.725613357351524,"{""colsample_bytree"": 0.6729835074956936, ""gamma"": 0.9001765254696286, ""huber_slope"": 0.23172637464446721, ""learning_rate"": 0.014633375910893082, ""max_depth"": 3, ""min_child_weight"": 0.5588828418877557, ""n_estimators"": 600, ""reg_alpha"": 0.8750652982535095, ""reg_lambda"": 3.993001125838575, ""subsample"": 0.725613357351524}",COMPLETE
7,0.26596091121863413,2026-09-14 00:34:14.762310,2026-09-14 00:34:15.611413,0 days 00:00:00.849103,0.6034543056330317,0.2228354807228465,0.08237386048321578,0.0298646403296142,2,1.062650070082424,1100,0.01116883373567271,11.821386322676906,0.6547173446127812,"{""colsample_bytree"": 0.6034543056330317, ""gamma"": 0.2228354807228465, ""huber_slope"": 0.08237386048321578, ""learning_rate"": 0.0298646403296142, ""max_depth"": 2, ""min_child_weight"": 1.062650070082424, ""n_estimators"": 1100, ""reg_alpha"": 0.01116883373567271, ""reg_lambda"": 11.821386322676906, ""subsample"": 0.6547173446127812}",COMPLETE
8,0.24131973228316417,2026-09-14 00:34:15.719267,2026-09-14 00:34:16.299886,0 days 00:00:00.580619,0.7388994675103829,0.41916997719076243,0.07288909726423834,0.011359618157963962,2,1.776888173937136,350,2.1485614043875624e-05,1.6909426213027599,0.7142012015629362,"{""colsample_bytree"": 0.7388994675103829, ""gamma"": 0.41916997719076243, ""huber_slope"": 0.07288909726423834, ""learning_rate"": 0.011359618157963962, ""max_depth"": 2, ""min_child_weight"": 1.776888173937136, ""n_estimators"": 350, ""reg_alpha"": 2.1485614043875624e-05, ""reg_lambda"": 1.6909426213027599, ""subsample"": 0.7142012015629362}",COMPLETE
9,0.23783082795236055,2026-09-14 00:34:16.426173,2026-09-14 00:34:17.252807,0 days 00:00:00.826634,0.689760874676781,0.09207712208901381,0.6629641934175483,0.0665261224316811,3,3.369235012176672,1050,1.6251368589942925,5.827252334953397,0.8081114640913444,"{""colsample_bytree"": 0.689760874676781, ""gamma"": 0.09207712208901381, ""huber_slope"": 0.6629641934175483, ""learning_rate"": 0.0665261224316811, ""max_depth"": 3, ""min_child_weight"": 3.369235012176672, ""n_estimators"": 1050, ""reg_alpha"": 1.6251368589942925, ""reg_lambda"": 5.827252334953397, ""subsample"": 0.8081114640913444}",COMPLETE
