number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tweedie_variance_power,system_attrs_tpe:relative_params:0,state
0,0.24264488445608437,2026-09-14 00:34:00.577686,2026-09-14 00:34:01.246969,0 days 00:00:00.669283,0.6414635599141554,0.7080511590587593,0.015630543978974554,3,3.300888405683014,250,1.280402559033186e-05,10.36997816616134,0.9131969070658411,1.822562178376558,,COMPLETE
1,0.2242902145442538,2026-09-14 00:34:01.366915,2026-09-14 00:34:02.128387,0 days 00:00:00.761472,0.46605070233434287,0.35211387023722307,0.008189872063007284,2,13.96007963789707,700,6.176446211042812e-05,0.08568373582707833,0.9547177731477446,1.583026141520537,,COMPLETE
2,0.22408579022728392,2026-09-14 00:34:02.244085,2026-09-14 00:34:02.873266,0 days 00:00:00.629181,0.4582989267945031,0.480688583986122,0.02440627238665575,2,1.6456853655255095,450,0.003065832245011573,0.7750890341005846,0.6740780052333526,1.6179357091337696,,COMPLETE
3,0.22891525884233888,2026-09-14 00:34:03.000486,2026-09-14 00:34:03.766923,0 days 00:00:00.766437,0.5966377339037363,0.8228312283881223,0.01671955291040144,5,10.730069552312207,850,0.017774509189997276,0.5213775491682413,0.9789175164889501,1.4821464306196517,,COMPLETE
4,0.2404776021205819,2026-09-14 00:34:03.889217,2026-09-14 00:34:04.594760,0 days 00:00:00.705543,0.45711916200942515,0.4044971423912904,0.010162026729761213,4,10.883956221956446,350,0.0003325773345468913,0.25716303678825936,0.6898343118028254,1.3903478443118447,"{""colsample_bytree"": 0.45711916200942515, ""gamma"": 0.4044971423912904, ""learning_rate"": 0.010162026729761213, ""max_depth"": 4, ""min_child_weight"": 10.883956221956446, ""n_estimators"": 350, ""reg_alpha"": 0.0003325773345468913, ""reg_lambda"": 0.25716303678825936, ""subsample"": 0.6898343118028254, ""tweedie_variance_power"": 1.3903478443118447}",COMPLETE
5,0.22878201175356397,2026-09-14 00:34:04.719394,2026-09-14 00:34:05.720610,0 days 00:00:01.001216,0.6886567219854273,0.605400250545889,0.01557826122239218,2,0.7869977203711931,1200,0.006773087017329585,1.2546415784602036,0.6777571924732448,1.677588286588455,"{""colsample_bytree"": 0.6886567219854273, ""gamma"": 0.605400250545889, ""learning_rate"": 0.01557826122239218, ""max_depth"": 2, ""min_child_weight"": 0.7869977203711931, ""n_estimators"": 1200, ""reg_alpha"": 0.006773087017329585, ""reg_lambda"": 1.2546415784602036, ""subsample"": 0.6777571924732448, ""tweedie_variance_power"": 1.677588286588455}",COMPLETE
6,0.23403252223883417,2026-09-14 00:34:05.844078,2026-09-14 00:34:06.564990,0 days 00:00:00.720912,0.8712258088768892,0.10768903151851988,0.02732678688392303,2,2.897706448136707,500,1.1551752818363115e-05,0.01791923030096405,0.6950409517949432,1.4710012845471814,"{""colsample_bytree"": 0.8712258088768892, ""gamma"": 0.10768903151851988, ""learning_rate"": 0.02732678688392303, ""max_depth"": 2, ""min_child_weight"": 2.897706448136707, ""n_estimators"": 500, ""reg_alpha"": 1.1551752818363115e-05, ""reg_lambda"": 0.01791923030096405, ""subsample"": 0.6950409517949432, ""tweedie_variance_power"": 1.4710012845471814}",COMPLETE
7,0.22811427337424098,2026-09-14 00:34:06.687884,2026-09-14 00:34:07.483341,0 days 00:00:00.795457,0.6577013961510607,0.28162356545901635,0.03325685436256419,2,1.7442041603793628,650,0.00012301731740162902,0.34344263871740077,0.7294087088443263,1.1104739776813115,"{""colsample_bytree"": 0.6577013961510607, ""gamma"": 0.28162356545901635, ""learning_rate"": 0.03325685436256419, ""max_depth"": 2, ""min_child_weight"": 1.7442041603793628, ""n_estimators"": 650, ""reg_alpha"": 0.00012301731740162902, ""reg_lambda"": 0.34344263871740077, ""subsample"": 0.7294087088443263, ""tweedie_variance_power"": 1.1104739776813115}",COMPLETE
8,0.2296311122179376,2026-09-14 00:34:07.609196,2026-09-14 00:34:08.267841,0 days 00:00:00.658645,0.5180719987382386,0.510476691159091,0.04480947471816703,4,3.1978250299378765,350,1.5254338027866057e-05,0.01074617057469835,0.6833960934494374,1.874662217795636,"{""colsample_bytree"": 0.5180719987382386, ""gamma"": 0.510476691159091, ""learning_rate"": 0.04480947471816703, ""max_depth"": 4, ""min_child_weight"": 3.1978250299378765, ""n_estimators"": 350, ""reg_alpha"": 1.5254338027866057e-05, ""reg_lambda"": 0.01074617057469835, ""subsample"": 0.6833960934494374, ""tweedie_variance_power"": 1.874662217795636}",COMPLETE
9,0.22835881573163774,2026-09-14 00:34:08.388445,2026-09-14 00:34:09.212301,0 days 00:00:00.823856,0.6948087822050937,0.1971631315504116,0.04114002262792392,2,1.0880587160223267,900,0.3892591235046396,0.043395063530064906,0.6794457202263783,1.5758039742532186,"{""colsample_bytree"": 0.6948087822050937, ""gamma"": 0.1971631315504116, ""learning_rate"": 0.04114002262792392, ""max_depth"": 2, ""min_child_weight"": 1.0880587160223267, ""n_estimators"": 900, ""reg_alpha"": 0.3892591235046396, ""reg_lambda"": 0.043395063530064906, ""subsample"": 0.6794457202263783, ""tweedie_variance_power"": 1.5758039742532186}",COMPLETE
