number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.06060696990446401,2026-09-14 00:34:38.889649,2026-09-14 00:34:39.720727,0 days 00:00:00.831078,0.5637790558834179,0.97871414538671,0.11037041672668076,0.037174805035434855,5,3.424590492357724,800,2.59206900764325,0.061551340714515256,0.9709185319317559,,COMPLETE
1,0.05909436776040435,2026-09-14 00:34:39.846233,2026-09-14 00:34:40.591089,0 days 00:00:00.744856,0.47596657520775687,0.01799841788398604,0.09302250412216988,0.08058075541602525,5,10.128654983141821,750,0.010224532785347587,1.308640698060635,0.7279280531376024,,COMPLETE
2,0.06603897094135373,2026-09-14 00:34:40.713086,2026-09-14 00:34:41.455421,0 days 00:00:00.742335,0.9879683453598693,0.2583959673517271,1.2871165727701088,0.10111857734953066,5,3.1745012376396655,750,0.14017645708454982,2.3720628514636086,0.676067909050236,,COMPLETE
3,0.05637402906757697,2026-09-14 00:34:41.570126,2026-09-14 00:34:42.129703,0 days 00:00:00.559577,0.6848568028859339,0.31414681303226577,0.422379181132785,0.009298806669838884,3,0.7434176616255527,350,1.5169648931721255e-07,0.013181826659440834,0.8050328848453023,,COMPLETE
4,0.05734501679907467,2026-09-14 00:34:42.244368,2026-09-14 00:34:42.943607,0 days 00:00:00.699239,0.6218150871886778,0.07758482682567877,0.5097281789937079,0.016565552772088193,5,2.117051826119328,600,2.850932997704616e-06,0.3817276667314029,0.7858905777763388,"{""colsample_bytree"": 0.6218150871886778, ""gamma"": 0.07758482682567877, ""huber_slope"": 0.5097281789937079, ""learning_rate"": 0.016565552772088193, ""max_depth"": 5, ""min_child_weight"": 2.117051826119328, ""n_estimators"": 600, ""reg_alpha"": 2.850932997704616e-06, ""reg_lambda"": 0.3817276667314029, ""subsample"": 0.7858905777763388}",COMPLETE
5,0.05170441379720464,2026-09-14 00:34:43.041891,2026-09-14 00:34:43.637747,0 days 00:00:00.595856,0.5514386523435507,0.180805137238587,0.29363956970732824,0.010409262416043594,3,0.9356199048784726,350,0.00011858009229324967,0.008402163920950964,0.8062471323924627,"{""colsample_bytree"": 0.5514386523435507, ""gamma"": 0.180805137238587, ""huber_slope"": 0.29363956970732824, ""learning_rate"": 0.010409262416043594, ""max_depth"": 3, ""min_child_weight"": 0.9356199048784726, ""n_estimators"": 350, ""reg_alpha"": 0.00011858009229324967, ""reg_lambda"": 0.008402163920950964, ""subsample"": 0.8062471323924627}",COMPLETE
6,0.05357910610873212,2026-09-14 00:34:43.742011,2026-09-14 00:34:44.373753,0 days 00:00:00.631742,0.4990173486456988,0.3597777435885383,0.6622276322895642,0.01379947309536659,2,1.0206045544317495,400,0.001165188441107828,1.814183848849663,0.667908711573983,"{""colsample_bytree"": 0.4990173486456988, ""gamma"": 0.3597777435885383, ""huber_slope"": 0.6622276322895642, ""learning_rate"": 0.01379947309536659, ""max_depth"": 2, ""min_child_weight"": 1.0206045544317495, ""n_estimators"": 400, ""reg_alpha"": 0.001165188441107828, ""reg_lambda"": 1.814183848849663, ""subsample"": 0.667908711573983}",COMPLETE
7,0.058005795440738146,2026-09-14 00:34:44.498241,2026-09-14 00:34:45.101661,0 days 00:00:00.603420,0.5476527531505153,0.5163073026999873,0.9363997238194707,0.00862327954861525,3,0.5774771942009264,1150,4.875315683690629e-06,0.0015749792440108424,0.8098373180823424,"{""colsample_bytree"": 0.5476527531505153, ""gamma"": 0.5163073026999873, ""huber_slope"": 0.9363997238194707, ""learning_rate"": 0.00862327954861525, ""max_depth"": 3, ""min_child_weight"": 0.5774771942009264, ""n_estimators"": 1150, ""reg_alpha"": 4.875315683690629e-06, ""reg_lambda"": 0.0015749792440108424, ""subsample"": 0.8098373180823424}",PRUNED
8,0.060081523872612515,2026-09-14 00:34:45.207126,2026-09-14 00:34:45.658971,0 days 00:00:00.451845,0.7805653264289221,0.6956554400439705,0.7695568766106156,0.03918823016008228,3,1.3599936376337876,500,0.00010723313017638433,0.106878114874637,0.8359673499772177,"{""colsample_bytree"": 0.7805653264289221, ""gamma"": 0.6956554400439705, ""huber_slope"": 0.7695568766106156, ""learning_rate"": 0.03918823016008228, ""max_depth"": 3, ""min_child_weight"": 1.3599936376337876, ""n_estimators"": 500, ""reg_alpha"": 0.00010723313017638433, ""reg_lambda"": 0.106878114874637, ""subsample"": 0.8359673499772177}",PRUNED
9,0.07170928367739375,2026-09-14 00:34:45.781165,2026-09-14 00:34:46.249985,0 days 00:00:00.468820,0.48134801661820126,0.28948123741202575,0.17103595588256498,0.039233011854443466,2,0.5855016175757083,800,0.0002953261741225998,0.0013762925262872348,0.8015460589305592,"{""colsample_bytree"": 0.48134801661820126, ""gamma"": 0.28948123741202575, ""huber_slope"": 0.17103595588256498, ""learning_rate"": 0.039233011854443466, ""max_depth"": 2, ""min_child_weight"": 0.5855016175757083, ""n_estimators"": 800, ""reg_alpha"": 0.0002953261741225998, ""reg_lambda"": 0.0013762925262872348, ""subsample"": 0.8015460589305592}",PRUNED
