number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tweedie_variance_power,system_attrs_tpe:relative_params:0,state
0,0.07564493619917884,2026-09-14 00:34:30.331647,2026-09-14 00:34:30.956507,0 days 00:00:00.624860,0.5777306803494198,0.7882141720134226,0.03629816516724763,4,8.451645635946992,600,3.0682870207292134e-07,0.00801192658163068,0.9796234270715367,1.224366639314201,,COMPLETE
1,0.05380322132332414,2026-09-14 00:34:31.058646,2026-09-14 00:34:31.712133,0 days 00:00:00.653487,0.9978270589867089,0.8201014356086689,0.02439025681166652,3,1.8489461601586563,650,1.3701876991808912,0.07203672318985715,0.9284099722902301,1.5714574149963272,,COMPLETE
2,0.05562686655048413,2026-09-14 00:34:31.817622,2026-09-14 00:34:32.744490,0 days 00:00:00.926868,0.7821136144723413,0.02584030726667297,0.010110656083034188,2,6.866038195354887,1150,2.1987918095623714e-07,0.002872214430279206,0.8116666583380634,1.7734728486217377,,COMPLETE
3,0.07250126958462245,2026-09-14 00:34:32.852449,2026-09-14 00:34:33.487720,0 days 00:00:00.635271,0.8769337941123774,0.8688886582807532,0.05263450562953112,2,15.839638655265416,450,5.336519125412055e-07,0.07655978573957001,0.8428104505385512,1.6630653043455421,,COMPLETE
4,0.06737380225178104,2026-09-14 00:34:33.596202,2026-09-14 00:34:33.992026,0 days 00:00:00.395824,0.8353583951508196,0.6317374677206353,0.013666508354204585,3,12.962901201555022,450,0.5840203003749428,0.10397744188177713,0.9084282598944321,1.4608942896608115,"{""colsample_bytree"": 0.8353583951508196, ""gamma"": 0.6317374677206353, ""learning_rate"": 0.013666508354204585, ""max_depth"": 3, ""min_child_weight"": 12.962901201555022, ""n_estimators"": 450, ""reg_alpha"": 0.5840203003749428, ""reg_lambda"": 0.10397744188177713, ""subsample"": 0.9084282598944321, ""tweedie_variance_power"": 1.4608942896608115}",PRUNED
5,0.04635228379235153,2026-09-14 00:34:34.090632,2026-09-14 00:34:34.821033,0 days 00:00:00.730401,0.47327077171843057,0.8647894550161941,0.024978285610797228,2,0.6215557777516866,600,0.1179045868359654,0.004915902722296567,0.8973388153573798,1.3070206787917211,"{""colsample_bytree"": 0.47327077171843057, ""gamma"": 0.8647894550161941, ""learning_rate"": 0.024978285610797228, ""max_depth"": 2, ""min_child_weight"": 0.6215557777516866, ""n_estimators"": 600, ""reg_alpha"": 0.1179045868359654, ""reg_lambda"": 0.004915902722296567, ""subsample"": 0.8973388153573798, ""tweedie_variance_power"": 1.3070206787917211}",COMPLETE
6,0.04196640134211677,2026-09-14 00:34:34.924508,2026-09-14 00:34:35.804133,0 days 00:00:00.879625,0.4810924826932733,0.6199122639359609,0.009566468520089499,2,0.7013015405729859,1000,0.189957104379716,0.009055085109314685,0.757281577198083,1.6237257525273172,"{""colsample_bytree"": 0.4810924826932733, ""gamma"": 0.6199122639359609, ""learning_rate"": 0.009566468520089499, ""max_depth"": 2, ""min_child_weight"": 0.7013015405729859, ""n_estimators"": 1000, ""reg_alpha"": 0.189957104379716, ""reg_lambda"": 0.009055085109314685, ""subsample"": 0.757281577198083, ""tweedie_variance_power"": 1.6237257525273172}",COMPLETE
7,0.04523496344004726,2026-09-14 00:34:35.920497,2026-09-14 00:34:36.842402,0 days 00:00:00.921905,0.7246324407786816,0.5536684614177388,0.008026217205745997,2,1.6223227959546036,950,0.0036082650815961095,0.045936597974911376,0.6529583630862968,1.382545227088463,"{""colsample_bytree"": 0.7246324407786816, ""gamma"": 0.5536684614177388, ""learning_rate"": 0.008026217205745997, ""max_depth"": 2, ""min_child_weight"": 1.6223227959546036, ""n_estimators"": 950, ""reg_alpha"": 0.0036082650815961095, ""reg_lambda"": 0.045936597974911376, ""subsample"": 0.6529583630862968, ""tweedie_variance_power"": 1.382545227088463}",COMPLETE
8,0.04524135212259584,2026-09-14 00:34:36.943465,2026-09-14 00:34:37.776183,0 days 00:00:00.832718,0.6908335422760449,0.8466853235146119,0.010119640952464511,4,0.6511129366397919,800,0.07648928167583113,0.002365177697486205,0.7970022920869915,1.6997359985474338,"{""colsample_bytree"": 0.6908335422760449, ""gamma"": 0.8466853235146119, ""learning_rate"": 0.010119640952464511, ""max_depth"": 4, ""min_child_weight"": 0.6511129366397919, ""n_estimators"": 800, ""reg_alpha"": 0.07648928167583113, ""reg_lambda"": 0.002365177697486205, ""subsample"": 0.7970022920869915, ""tweedie_variance_power"": 1.6997359985474338}",COMPLETE
9,0.04676036201339285,2026-09-14 00:34:37.897351,2026-09-14 00:34:38.746920,0 days 00:00:00.849569,0.6400888247099246,0.3046093463177629,0.013441245614552032,2,1.6020871370946386,950,0.015200034933862829,0.0024878154819212234,0.7483705744516591,1.7893501292342993,"{""colsample_bytree"": 0.6400888247099246, ""gamma"": 0.3046093463177629, ""learning_rate"": 0.013441245614552032, ""max_depth"": 2, ""min_child_weight"": 1.6020871370946386, ""n_estimators"": 950, ""reg_alpha"": 0.015200034933862829, ""reg_lambda"": 0.0024878154819212234, ""subsample"": 0.7483705744516591, ""tweedie_variance_power"": 1.7893501292342993}",COMPLETE
