date_month,n_rivers,q_total_obs_m3s,q_total_pred_m3s,q_total_climatology_m3s
2021-06-01,5,2.5061,1.7165750500340202,1.851605
2021-07-01,5,5.7078,2.260255655005878,1.239565
2021-08-01,5,3.1693,2.5659835035948584,1.396445
2021-09-01,5,6.1735,3.0397567974829323,2.267685
2021-10-01,5,2.4586,1.255061413445171,2.46888
2021-11-01,5,1.8679999999999999,1.317230375564961,1.934905
2021-12-01,5,1.6122,1.242612729579633,1.174545
2022-01-01,5,1.353,1.1025934149468388,1.63878
2022-02-01,5,1.3932,1.0940828103036933,0.85137
2022-03-01,5,0.90657,0.8212419344999643,0.62927
2022-04-01,5,0.8347,0.8450765015245488,0.675245
2022-05-01,5,1.3953,1.1262621333934386,0.88719
2022-06-01,5,6.6873000000000005,2.6658153624557936,1.851605
2022-07-01,5,1.7092999999999998,1.8121198901697513,1.239565
2022-08-01,5,1.986,1.4393897766508656,1.396445
2022-09-01,5,10.8946,3.963443604647331,2.267685
2022-10-01,5,12.8154,2.7585907198953397,2.46888
2022-11-01,5,4.4058,2.5238995524281322,1.934905
2022-12-01,5,3.9308000000000005,1.8491800895786772,1.174545
2023-01-01,5,1.4511,1.033098814333147,1.63878
2023-02-01,5,1.2593,0.9181943397269183,0.85137
2023-03-01,5,1.5413999999999999,1.0380618153049577,0.62927
2023-04-01,5,1.0526,1.0028142550688883,0.675245
2023-05-01,5,1.0821,1.0791884656756465,0.88719
2023-06-01,5,1.2376,1.4537996260481179,1.851605
2023-09-01,5,2.543,1.6717123601400827,2.267685
2023-10-01,5,4.5194,2.7137905290175706,2.46888
2023-11-01,5,9.1973,2.5861869728303986,1.934905
2023-12-01,5,1.6776,1.2901478465975875,1.174545
