tributario,feature,clasificacion,importance_normalized,feature_source
Quiscab,precip_difference_mm,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_abs_difference_mm,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_ratio_chirps_era,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,solar_mj_m2_sum_10d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmean_c_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmin_c_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmax_c_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wind_ms_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,rh_pct_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_difference_mm_mean_10d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_abs_difference_mm_mean_10d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_ratio_chirps_era_mean_10d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_source_ratio_10d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,solar_mj_m2_sum_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmean_c_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmin_c_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmax_c_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wind_ms_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,rh_pct_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_difference_mm_mean_30d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_abs_difference_mm_mean_30d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_ratio_chirps_era_mean_30d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_source_ratio_30d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,solar_mj_m2_sum_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmean_c_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmin_c_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmax_c_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wind_ms_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,rh_pct_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_difference_mm_mean_60d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_abs_difference_mm_mean_60d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_ratio_chirps_era_mean_60d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_source_ratio_60d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,solar_mj_m2_sum_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmean_c_mean_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmin_c_mean_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmax_c_mean_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wind_ms_mean_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,rh_pct_mean_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_difference_mm_mean_90d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_abs_difference_mm_mean_90d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_ratio_chirps_era_mean_90d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_source_ratio_90d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_consensus_mm,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,sin_doy_h1_q,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,cos_doy_h1_q,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,sin_doy_h2_q,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,cos_doy_h2_q,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_prev1d_mm,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_sum_3d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_max1d_3d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wet_days_3d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy10_days_3d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy25_days_3d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_sum_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_max1d_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wet_days_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy10_days_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy25_days_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_sum_14d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_max1d_14d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wet_days_14d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy10_days_14d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy25_days_14d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_sum_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_max1d_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wet_days_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy10_days_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy25_days_30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_sum_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_max1d_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wet_days_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy10_days_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy25_days_60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_sum_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_max1d_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wet_days_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy10_days_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,heavy25_days_90d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_api_hl7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_api_hl15d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_api_hl30d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_api_hl60d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmean_c_mean_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmin_c_mean_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,tmax_c_mean_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,rh_pct_mean_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,wind_ms_mean_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,solar_mj_m2_sum_7d,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_recent_ratio_7_30,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
Quiscab,precip_recent_ratio_14_60,COMPATIBLE_PROBABLE,,config:root.river_models.Quiscab.dev_features
San_Francisco,precip_difference_mm,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_abs_difference_mm,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_ratio_chirps_era,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,solar_mj_m2_sum_10d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,tmean_c_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,tmin_c_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,tmax_c_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,wind_ms_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,rh_pct_mean_10d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_difference_mm_mean_10d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_abs_difference_mm_mean_10d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_ratio_chirps_era_mean_10d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_source_ratio_10d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,solar_mj_m2_sum_30d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,tmean_c_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,tmin_c_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,tmax_c_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,wind_ms_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,rh_pct_mean_30d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_difference_mm_mean_30d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_abs_difference_mm_mean_30d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_ratio_chirps_era_mean_30d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_source_ratio_30d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,solar_mj_m2_sum_60d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,tmean_c_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,tmin_c_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,tmax_c_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,wind_ms_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,rh_pct_mean_60d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_difference_mm_mean_60d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_abs_difference_mm_mean_60d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_ratio_chirps_era_mean_60d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,precip_source_ratio_60d,BLOQUEADA_CROSS_SOURCE,,config:root.river_models.San_Francisco.dev_features
San_Francisco,solar_mj_m2_sum_90d,COMPATIBLE_PROBABLE,,config:root.river_models.San_Francisco.dev_features
