path,score,n_columns,date_columns,river_columns,flow_columns,all_columns
datos/processed/rivers_clean.csv,49,13,date,river,flow_lps | flow_m3s | flow_m3s_reported | flow_m3s_difference_reported_minus_lps,date | river | municipality | flow_lps | flow_m3s | flow_m3s_reported | flow_m3s_difference_reported_minus_lps | x | y | elevation_m | year | month | month_date
datos/processed/rivers_clean.pkl,49,13,date,river,flow_lps | flow_m3s | flow_m3s_reported | flow_m3s_difference_reported_minus_lps,date | river | municipality | flow_lps | flow_m3s | flow_m3s_reported | flow_m3s_difference_reported_minus_lps | x | y | elevation_m | year | month | month_date
datos/processed/lake_legacy.csv,47,46,Fecha,Río MSNM | Río Temperatura       °C | Río T. Ambiente        °C | Río Cambio Temp. °C | Río PH | Río Secchi            (cm) | Río TDS                (mg/L) | Río Sedimentos (mg/L),Río Caudal             (l/s) | Río Caudal                m3/s,Fecha | Temp. (°C) | Chl a (µg/l) | Ph (Unidad) | Turbidity (NTU) | DO (mg/L) | TDS (mg/l) | DBO (mg/l) | Sechi  (m) | NO3 (µg/L) | PO4 (µg/L) | NH4 (µg/L) | PT (µg/l) | NT (µg/l) | Río MSNM | Río Temperatura       °C | Río T. Ambiente        °C | Río Cambio Temp. °C | Río PH | Río Secchi            (cm) | Río TDS                (mg/L) | Río Sedimentos (mg/L) | Río O2 (mg/L) | Río O2% | Río Salinidad       % | Río Conductividad (µS/cm) | Río Caudal             (l/s) | Río Caudal                m3/s | Río Fosfato              (mg/L) | Río Nitratos              (mg/L) | Río Turbides     (FAU) | Río Coliformes Fecales (NMP) | Río DBO                   (mg/L) | Río Nitrogeno Total (kg/día) | Río Fosforo Total (Kg/día) | Río ICA | Clima Year | Clima Month | Clima Temp. Max. (°C) | Clima Temp. Min. (°C) | Clima Humedad (%) | Clima Precipitación (mm) | Clima Vel. Max. Viento (Km/h) | Clima Rad. Solar Max. (W/m2) | Clima Rad. UV Max. | Clima Norm. Fecha
datos/processed/lake_legacy.pkl,47,46,Fecha,Río MSNM | Río Temperatura       °C | Río T. Ambiente        °C | Río Cambio Temp. °C | Río PH | Río Secchi            (cm) | Río TDS                (mg/L) | Río Sedimentos (mg/L),Río Caudal             (l/s) | Río Caudal                m3/s,Fecha | Temp. (°C) | Chl a (µg/l) | Ph (Unidad) | Turbidity (NTU) | DO (mg/L) | TDS (mg/l) | DBO (mg/l) | Sechi  (m) | NO3 (µg/L) | PO4 (µg/L) | NH4 (µg/L) | PT (µg/l) | NT (µg/l) | Río MSNM | Río Temperatura       °C | Río T. Ambiente        °C | Río Cambio Temp. °C | Río PH | Río Secchi            (cm) | Río TDS                (mg/L) | Río Sedimentos (mg/L) | Río O2 (mg/L) | Río O2% | Río Salinidad       % | Río Conductividad (µS/cm) | Río Caudal             (l/s) | Río Caudal                m3/s | Río Fosfato              (mg/L) | Río Nitratos              (mg/L) | Río Turbides     (FAU) | Río Coliformes Fecales (NMP) | Río DBO                   (mg/L) | Río Nitrogeno Total (kg/día) | Río Fosforo Total (Kg/día) | Río ICA | Clima Year | Clima Month | Clima Temp. Max. (°C) | Clima Temp. Min. (°C) | Clima Humedad (%) | Clima Precipitación (mm) | Clima Vel. Max. Viento (Km/h) | Clima Rad. Solar Max. (W/m2) | Clima Rad. UV Max. | Clima Norm. Fecha
resultados\caudales\predicciones_caudal_por_rio_validacion_temporal.csv,46,7,date,river,flow_m3s,date | date_month | river | flow_m3s | pred_m3s | climatology_m3s | model_family
datos/processed/rivers_monthly.csv,40,10,,n_rivers_observed | q_total_5rivers_m3s | complete_5rivers,La_Catarata | Quiscab | San_Buenaventura | San_Francisco | Tzununa,month_date | La_Catarata | Quiscab | San_Buenaventura | San_Francisco | Tzununa | n_rivers_observed | q_sum_available_m3s | q_total_5rivers_m3s | complete_5rivers
datos/processed/rivers_monthly.pkl,40,10,,n_rivers_observed | q_total_5rivers_m3s | complete_5rivers,La_Catarata | Quiscab | San_Buenaventura | San_Francisco | Tzununa,month_date | La_Catarata | Quiscab | San_Buenaventura | San_Francisco | Tzununa | n_rivers_observed | q_sum_available_m3s | q_total_5rivers_m3s | complete_5rivers
resultados\caudales\caudal_estimado_mensual.csv,40,10,,n_rivers,Quiscab | San_Francisco | Tzununa | La_Catarata | San_Buenaventura,date_month | Quiscab | San_Francisco | Tzununa | La_Catarata | San_Buenaventura | q_pred_dev_m3s | q_pred_final_m3s | q_total_obs_m3s | n_rivers
resultados\caudales\caudal_estimado_mensual.pkl,40,10,,n_rivers,Quiscab | San_Francisco | Tzununa | La_Catarata | San_Buenaventura,date_month | Quiscab | San_Francisco | Tzununa | La_Catarata | San_Buenaventura | q_pred_dev_m3s | q_pred_final_m3s | q_total_obs_m3s | n_rivers
resultados\caudales\metricas_caudal_por_rio_validacion_temporal.csv,36,11,,river,highflow_MAE_m3s,model | n | MAE_m3s | RMSE_m3s | bias_m3s | highflow_MAE_m3s | R2 | NSE | Pearson_r | river | MAE_skill_vs_monthly_climatology
