month,observed_total_72f_m3s,predicted_total_72f_m3s,n_rivers,n_measurements_in_month,baseline_observed_total_m3s,baseline_predicted_total_m3s,baseline_climatology_m3s,observed_difference_72f_minus_baseline_m3s
2021-06-01,2.5061,1.5475954912744316,5,10.0,2.5061,1.7165750500340202,1.851605,0.0
2021-07-01,5.7078,2.174360419527294,5,10.0,5.7078,2.260255655005878,1.239565,0.0
2021-08-01,3.1693000000000007,1.8789444542296567,5,10.0,3.1693,2.5659835035948584,1.396445,8.881784197001252e-16
2021-09-01,6.1735,3.5104213469844066,5,10.0,6.1735,3.0397567974829323,2.267685,0.0
2021-10-01,2.4586,1.2413197264895797,5,10.0,2.4586,1.255061413445171,2.46888,0.0
2021-11-01,1.868,1.6128709814973425,5,10.0,1.868,1.317230375564961,1.934905,0.0
2021-12-01,1.6121999999999999,1.094460542211419,5,10.0,1.6122,1.242612729579633,1.174545,-2.220446049250313e-16
2022-01-01,1.353,1.2308632169158125,5,5.0,1.353,1.1025934149468388,1.63878,0.0
2022-02-01,1.3932,1.0702954014819943,5,5.0,1.3932,1.0940828103036933,0.85137,0.0
2022-03-01,0.90657,0.7748878113837401,5,5.0,0.90657,0.8212419344999643,0.62927,0.0
2022-04-01,0.8346999999999998,0.7715016133646857,5,5.0,0.8347,0.8450765015245488,0.675245,-2.220446049250313e-16
2022-05-01,1.3952999999999998,1.1486976927790098,5,5.0,1.3953,1.1262621333934386,0.88719,-2.220446049250313e-16
2022-06-01,6.6873000000000005,2.3473739211445106,5,5.0,6.6873000000000005,2.6658153624557936,1.851605,0.0
2022-07-01,1.7092999999999998,1.4791392856356536,5,5.0,1.7092999999999998,1.8121198901697515,1.239565,0.0
2022-08-01,1.986,1.4057311626962814,5,5.0,1.986,1.4393897766508656,1.396445,0.0
2022-09-01,10.8946,3.620786631904703,5,5.0,10.8946,3.963443604647331,2.267685,0.0
2022-10-01,12.8154,2.624876048108209,5,5.0,12.8154,2.75859071989534,2.46888,0.0
2022-11-01,4.4058,2.1686247897874,5,5.0,4.4058,2.523899552428132,1.934905,0.0
2022-12-01,3.9308,1.6442422794290774,5,5.0,3.930800000000001,1.8491800895786767,1.174545,-8.881784197001252e-16
2023-01-01,1.4511,1.0204588152326983,5,5.0,1.4511,1.033098814333147,1.63878,0.0
2023-02-01,1.2593,0.9387975491356901,5,5.0,1.2593,0.9181943397269184,0.85137,0.0
2023-03-01,1.5414,1.1315360213678736,5,5.0,1.5414,1.0380618153049577,0.62927,0.0
2023-04-01,1.0526000000000002,0.847267610201485,5,5.0,1.0526,1.0028142550688883,0.675245,2.220446049250313e-16
2023-05-01,1.0820999999999998,0.9968624369036254,5,5.0,1.0821,1.0791884656756463,0.88719,-2.220446049250313e-16
2023-06-01,1.2376,1.383129315014279,5,5.0,1.2376,1.453799626048118,1.851605,0.0
2023-09-01,2.543,1.584712327824679,5,5.0,2.543,1.6717123601400827,2.267685,0.0
2023-10-01,4.519400000000001,2.5783213320771505,5,5.0,4.5194,2.7137905290175706,2.46888,8.881784197001252e-16
2023-11-01,9.197299999999998,2.2218808379028188,5,5.0,9.1973,2.5861869728303986,1.934905,-1.7763568394002505e-15
2023-12-01,1.6775999999999998,1.188458272450876,5,5.0,1.6776,1.2901478465975875,1.174545,-2.220446049250313e-16
