month,river,observed_m3s,predicted_m3s,n_obs
2021-06-01,La_Catarata,0.0598,0.0280205347733973,2
2021-06-01,Quiscab,1.5011,1.013559103012085,2
2021-06-01,San_Buenaventura,0.0501,0.0317488117755128,2
2021-06-01,San_Francisco,0.6325,0.3270249128644072,2
2021-06-01,Tzununa,0.2626,0.1472421288490295,2
2021-07-01,La_Catarata,0.0664,0.0321449582593996,2
2021-07-01,Quiscab,4.9828,1.4787088632583618,2
2021-07-01,San_Buenaventura,0.0419,0.0434854114827768,2
2021-07-01,San_Francisco,0.3999,0.5004686189255521,2
2021-07-01,Tzununa,0.2168,0.1195525676012039,2
2021-08-01,La_Catarata,0.0386,0.0262461739501899,2
2021-08-01,Quiscab,2.2871,1.2337208986282349,2
2021-08-01,San_Buenaventura,0.0466,0.0343152498405129,2
2021-08-01,San_Francisco,0.6335,0.4876575021391456,2
2021-08-01,Tzununa,0.1635,0.0970046296715736,2
2021-09-01,La_Catarata,0.0599,0.0450124400006129,2
2021-09-01,Quiscab,3.8727,2.340752363204956,2
2021-09-01,San_Buenaventura,0.0877,0.0638376098104027,2
2021-09-01,San_Francisco,1.7148,0.8689659471558433,2
2021-09-01,Tzununa,0.4383999999999999,0.1918529868125915,2
2021-10-01,La_Catarata,0.0512,0.0214444603205503,2
2021-10-01,Quiscab,1.7317,0.8481380343437195,2
2021-10-01,San_Buenaventura,0.0359,0.0229059164379956,2
2021-10-01,San_Francisco,0.4702,0.2447035804877933,2
2021-10-01,Tzununa,0.1696,0.1041277348995208,2
2021-11-01,La_Catarata,0.0444,0.0201851397704317,2
2021-11-01,Quiscab,1.0898,1.2036168575286863,2
2021-11-01,San_Buenaventura,0.0467999999999999,0.0356105375218104,2
2021-11-01,San_Francisco,0.4839,0.2568551350781133,2
2021-11-01,Tzununa,0.2031,0.0966033115983009,2
2021-12-01,La_Catarata,0.0367,0.0095612023183653,2
2021-12-01,Quiscab,1.0607,0.8094973564147949,2
2021-12-01,San_Buenaventura,0.0089,0.0179301236958381,2
2021-12-01,San_Francisco,0.3267,0.1708580854827992,2
2021-12-01,Tzununa,0.1792,0.0866137742996215,2
2022-01-01,La_Catarata,0.0179,0.0086278053614376,1
2022-01-01,Quiscab,0.9708,0.9109012484550476,1
2022-01-01,San_Buenaventura,0.0104,0.0379768015033457,1
2022-01-01,San_Francisco,0.272,0.177538402419441,1
2022-01-01,Tzununa,0.0819,0.0958189591765403,1
2022-02-01,La_Catarata,0.0084,0.003848523250506,1
2022-02-01,Quiscab,1.048,0.8203964233398438,1
2022-02-01,San_Buenaventura,0.0026,0.0199771934300058,1
2022-02-01,San_Francisco,0.2241999999999999,0.1456507259229654,1
2022-02-01,Tzununa,0.11,0.0804225355386734,1
2022-03-01,La_Catarata,0.00057,0.0027843960951036,1
2022-03-01,Quiscab,0.6076,0.6049882173538208,1
2022-03-01,San_Buenaventura,0.0028,0.002296037926404,1
2022-03-01,San_Francisco,0.179,0.0917043699860385,1
2022-03-01,Tzununa,0.1166,0.0731147900223732,1
2022-04-01,La_Catarata,0.0064,0.0036366080424997,1
2022-04-01,Quiscab,0.615,0.5906538367271423,1
2022-04-01,San_Buenaventura,0.0039,0.0029231169652484,1
2022-04-01,San_Francisco,0.1173,0.094156513417496,1
2022-04-01,Tzununa,0.0920999999999999,0.0801315382122993,1
2022-05-01,La_Catarata,0.0465,0.0242046075661603,1
2022-05-01,Quiscab,0.8149,0.737190842628479,1
2022-05-01,San_Buenaventura,0.0655,0.0333598026836491,1
2022-05-01,San_Francisco,0.3618,0.2296037012804402,1
2022-05-01,Tzununa,0.1066,0.1243387386202812,1
2022-06-01,La_Catarata,0.1696,0.0461872435531557,1
2022-06-01,Quiscab,4.8821,1.347236394882202,1
2022-06-01,San_Buenaventura,0.1559,0.0724538096479318,1
2022-06-01,San_Francisco,0.8863,0.7506409425608094,1
2022-06-01,Tzununa,0.5933999999999999,0.130855530500412,1
2022-07-01,La_Catarata,0.0168,0.022272437862708,1
2022-07-01,Quiscab,1.2848,1.0549765825271606,1
2022-07-01,San_Buenaventura,0.04,0.021041163433277,1
2022-07-01,San_Francisco,0.206,0.2863532465406918,1
2022-07-01,Tzununa,0.1616999999999999,0.0944958552718162,1
2022-08-01,La_Catarata,0.0173,0.0188793006758925,1
2022-08-01,Quiscab,1.4283,1.012850642204285,1
2022-08-01,San_Buenaventura,0.031,0.0301718106557835,1
2022-08-01,San_Francisco,0.3464,0.2517509469172403,1
2022-08-01,Tzununa,0.163,0.0920784622430801,1
2022-09-01,La_Catarata,0.1856,0.0476383575917991,1
2022-09-01,Quiscab,6.4976,2.2897300720214844,1
2022-09-01,San_Buenaventura,0.174,0.0787944423324372,1
2022-09-01,San_Francisco,3.5336,0.9949100476243496,1
2022-09-01,Tzununa,0.5038,0.2097137123346328,1
2022-10-01,La_Catarata,0.6337,0.0356351715174064,1
2022-10-01,Quiscab,6.7543,1.8520667552948,1
2022-10-01,San_Buenaventura,0.5172,0.0585799581742539,1
2022-10-01,San_Francisco,4.3266,0.5008196145911694,1
2022-10-01,Tzununa,0.5836,0.1777745485305786,1
2022-11-01,La_Catarata,0.1074,0.0359987310783139,1
2022-11-01,Quiscab,2.4881,1.438935160636902,1
2022-11-01,San_Buenaventura,0.0501,0.0511699241870608,1
2022-11-01,San_Francisco,1.3982,0.5128730781913435,1
2022-11-01,Tzununa,0.362,0.129647895693779,1
2022-12-01,La_Catarata,0.0273,0.0132045962265705,1
2022-12-01,Quiscab,3.1883000000000004,1.2953917980194092,1
2022-12-01,San_Buenaventura,0.0050999999999999,0.040052829515772,1
2022-12-01,San_Francisco,0.4826999999999999,0.199139813663408,1
2022-12-01,Tzununa,0.2274,0.0964532420039177,1
2023-01-01,La_Catarata,0.0484,0.0084128523140721,1
2023-01-01,Quiscab,0.9825,0.7578070163726807,1
2023-01-01,San_Buenaventura,0.0175,0.0372544361639221,1
2023-01-01,San_Francisco,0.2608,0.1423927396138579,1
2023-01-01,Tzununa,0.1419,0.0745917707681655,1
2023-02-01,La_Catarata,0.013,0.0036603432170158,1
2023-02-01,Quiscab,0.8871,0.7320305109024048,1
2023-02-01,San_Buenaventura,0.0119,0.0041081034598841,1
2023-02-01,San_Francisco,0.2231,0.1191694426081928,1
2023-02-01,Tzununa,0.1242,0.0798291489481926,1
2023-03-01,La_Catarata,0.0139,0.0165228594107301,1
2023-03-01,Quiscab,1.1155,0.7918455004692078,1
2023-03-01,San_Buenaventura,0.0314,0.0398872533729376,1
2023-03-01,San_Francisco,0.2318,0.1598759201475071,1
2023-03-01,Tzununa,0.1488,0.1234044879674911,1
2023-04-01,La_Catarata,0.0039,0.0065886003767524,1
2023-04-01,Quiscab,0.7922,0.6280096173286438,1
2023-04-01,San_Buenaventura,0.0155,0.0051936958628785,1
2023-04-01,San_Francisco,0.1138,0.1317239971259739,1
2023-04-01,Tzununa,0.1272,0.0757516995072364,1
2023-05-01,La_Catarata,0.0188,0.0135171668318491,1
