model,n_rows,rh_below_0,rh_above_100,rh_min,rh_max,wind_below_0,wind_min,wind_max
ACCESS-CM2,12418,0,0,52.74686404785823,97.95146892109857,0,0.8060557581687886,10.412806510925291
ACCESS-ESM1-5,12418,0,0,51.37343724568686,97.90564802826428,0,0.5913099379487377,10.03927484105845
CMCC-ESM2,12418,0,0,47.54248259497471,97.96400585070334,0,0.5760899808237462,10.195085989321516
CNRM-CM6-1,12418,0,0,46.92632668917297,97.77357549615245,0,0.6968857919583555,10.112284863581424
CNRM-ESM2-1,12418,0,0,46.13622127595495,97.93903834441971,0,0.6065590987440015,10.889897356919253
CanESM5,12418,0,0,51.96369610979257,96.31683324594968,0,0.8453713098510367,10.336714572593817
EC-Earth3,12418,0,0,50.732889269219065,97.54503756663836,0,0.6331216070821376,9.20699243076512
GFDL-ESM4,12418,0,0,47.12924225603948,98.09737454607186,0,0.6174680756740883,10.61335747098662
GISS-E2-1-G,12418,0,0,48.29689672084454,97.58323923746744,0,0.6699066930781297,11.045351064921729
HadGEM3-GC31-LL,12418,0,0,49.26810415716119,97.62276604657616,0,0.6776953671799331,10.052618104903424
IPSL-CM6A-LR,12418,0,0,51.59225284597261,97.04824491407052,0,0.9387061377692092,10.978058439786317
MIROC6,12418,0,0,47.77687520928722,97.54534036605084,0,0.6853912619293713,11.095210143125774
MPI-ESM1-2-HR,12418,0,0,47.84644544841162,97.23032537574976,0,0.5785592211400225,10.44323131165218
MRI-ESM2-0,12418,0,0,47.020527949098685,98.84254868304144,0,0.7178261960790457,11.253846762610264
UKESM1-0-LL,12418,0,0,50.49400715228639,98.72295129494589,0,0.8442284549520316,10.645831149783945
