model,variable,quantile,obs_value,cmip_value,difference,relative_difference_pct
ACCESS-CM2,precip_consensus,0.01,0.001364441540446398,0.0,-0.001364441540446398,-100.0
ACCESS-CM2,precip_consensus,0.05,0.020303170461220998,0.0,-0.020303170461220998,-99.99999999999999
ACCESS-CM2,precip_consensus,0.1,0.06654387951424576,0.0,-0.06654387951424576,-100.0
ACCESS-CM2,precip_consensus,0.25,0.36593424518266227,0.12555705559742678,-0.2403771895852355,-65.68862924136744
ACCESS-CM2,precip_consensus,0.5,2.2381017066336617,2.5410780662644012,0.30297635963073954,13.537202475326627
ACCESS-CM2,precip_consensus,0.75,8.251458253782918,11.747073760202735,3.495615506419817,42.36360893927127
ACCESS-CM2,precip_consensus,0.9,14.360511428963337,18.898279355441954,4.537767926478617,31.59892980779579
ACCESS-CM2,precip_consensus,0.95,18.3865296573891,23.116922152961497,4.730392495572396,25.727489546518996
ACCESS-CM2,precip_consensus,0.99,27.626554028149616,31.637429312573836,4.01087528442422,14.518188842290664
ACCESS-CM2,tas,0.01,13.562005271069761,12.87999995330646,-0.6820053177633021,-5.0287940767737656
ACCESS-CM2,tas,0.05,14.648812302124492,14.48576846930501,-0.16304383281948276,-1.1130174205033454
ACCESS-CM2,tas,0.1,15.102207967988353,15.371389953946831,0.269181985958479,1.7824015304851786
ACCESS-CM2,tas,0.25,15.737775453943096,16.77058534048948,1.0328098865463833,6.562616740650045
ACCESS-CM2,tas,0.5,16.308847934518468,17.62701656153947,1.3181686270210022,8.082536745167845
ACCESS-CM2,tas,0.75,16.865925052617698,18.403394338472314,1.5374692858546162,9.115831364470525
ACCESS-CM2,tas,0.9,17.407313362279044,19.26352253898248,1.8562091767034339,10.663386922911178
ACCESS-CM2,tas,0.95,17.745614703974663,19.875868833781613,2.13025412980695,12.004397510838638
ACCESS-CM2,tas,0.99,18.484926735967406,20.93425348667501,2.4493267507076055,13.25040010000029
ACCESS-CM2,tasmin,0.01,9.542661946133531,5.403937598056503,-4.138724348077028,-43.37075306072165
ACCESS-CM2,tasmin,0.05,10.947149455496104,7.742177510912976,-3.2049719445831286,-29.276771616322883
ACCESS-CM2,tasmin,0.1,11.58470564339559,8.882771709838222,-2.7019339335573687,-23.323285172098732
ACCESS-CM2,tasmin,0.25,12.685621447575494,10.699731487003202,-1.9858899605722922,-15.654652543268506
ACCESS-CM2,tasmin,0.5,13.742193880351806,12.422649512786055,-1.3195443675657508,-9.602137613939485
ACCESS-CM2,tasmin,0.75,14.416768534718585,13.469810135638149,-0.9469583990804367,-6.568451153252293
ACCESS-CM2,tasmin,0.9,14.858966332105167,14.175999092143767,-0.6829672399613997,-4.596330758794036
ACCESS-CM2,tasmin,0.95,15.083673829122157,14.567369079589866,-0.5163047495322903,-3.4229376435829386
ACCESS-CM2,tasmin,0.99,15.500298562545993,15.296423956865844,-0.2038746056801486,-1.315294701308394
ACCESS-CM2,tasmax,0.01,17.143873053540084,18.964479315085512,1.8206062615454286,10.619573860933873
ACCESS-CM2,tasmax,0.05,18.276754090956164,20.2460648500203,1.969310759064136,10.774948052940127
ACCESS-CM2,tasmax,0.1,18.767814756936303,20.85298363524059,2.0851688783042874,11.11034451964441
ACCESS-CM2,tasmax,0.25,19.459682347173867,21.79518034054284,2.3354979933689712,12.001727220938712
ACCESS-CM2,tasmax,0.5,20.219715939076544,22.925519999519747,2.705804060443203,13.382008276456428
ACCESS-CM2,tasmax,0.75,21.15149426054363,24.163081710065022,3.011587449521393,14.2381782224212
ACCESS-CM2,tasmax,0.9,22.202173256976607,25.469230243286823,3.267056986310216,14.715032391180923
ACCESS-CM2,tasmax,0.95,22.940708978444693,26.425131025470694,3.4844220470260012,15.188815874435255
ACCESS-CM2,tasmax,0.99,24.19964496694552,28.251783719088888,4.052138752143367,16.744620665626353
ACCESS-CM2,rh,0.01,54.24143437771188,59.32897800549783,5.087543627785948,9.379441539762173
ACCESS-CM2,rh,0.05,60.72498947629099,64.42743380812348,3.7024443318324884,6.097068708884738
ACCESS-CM2,rh,0.1,64.51737287922357,67.70224417597869,3.1848712967551194,4.936455336948071
ACCESS-CM2,rh,0.25,71.44038562554204,73.96264650522033,2.5222608796782993,3.530581277792707
