model,n_rows,start,end,missing_dates,extra_dates,duplicate_dates
ACCESS-CM2,12418,1981-01-01,2014-12-31,0,0,0
ACCESS-ESM1-5,12418,1981-01-01,2014-12-31,0,0,0
CMCC-ESM2,12418,1981-01-01,2014-12-31,0,0,0
CNRM-CM6-1,12418,1981-01-01,2014-12-31,0,0,0
CNRM-ESM2-1,12418,1981-01-01,2014-12-31,0,0,0
CanESM5,12418,1981-01-01,2014-12-31,0,0,0
EC-Earth3,12418,1981-01-01,2014-12-31,0,0,0
GFDL-ESM4,12418,1981-01-01,2014-12-31,0,0,0
GISS-E2-1-G,12418,1981-01-01,2014-12-31,0,0,0
HadGEM3-GC31-LL,12418,1981-01-01,2014-12-31,0,0,0
IPSL-CM6A-LR,12418,1981-01-01,2014-12-31,0,0,0
MIROC6,12418,1981-01-01,2014-12-31,0,0,0
MPI-ESM1-2-HR,12418,1981-01-01,2014-12-31,0,0,0
MRI-ESM2-0,12418,1981-01-01,2014-12-31,0,0,0
UKESM1-0-LL,12418,1981-01-01,2014-12-31,0,0,0
