scenario,year,class,pixels_total,area_total_km2,pixels_intersect_current,area_intersect_current_km2
ssp245,2030,0,2558959,1023.5836,285318,114.1272
ssp245,2030,1,222,0.0888,222,0.0888
ssp245,2030,2,0,0.0,0,0.0
ssp245,2030,3,4821,1.9284,4816,1.9264
ssp245,2030,4,0,0.0,0,0.0
ssp245,2030,5,7,0.0028,7,0.0028
ssp245,2030,6,1442,0.5768,412,0.1648
ssp245,2030,7,16998,6.7992,14283,5.7132
ssp245,2050,0,2558959,1023.5836,285318,114.1272
ssp245,2050,1,190,0.076,190,0.076
ssp245,2050,2,4821,1.9284,4816,1.9264
ssp245,2050,3,0,0.0,0,0.0
ssp245,2050,4,16,0.0064,16,0.0064
ssp245,2050,5,23,0.0092,23,0.0092
ssp245,2050,6,1442,0.5768,412,0.1648
ssp245,2050,7,16998,6.7992,14283,5.7132
ssp585,2030,0,2558959,1023.5836,285318,114.1272
ssp585,2030,1,220,0.088,220,0.088
ssp585,2030,2,0,0.0,0,0.0
ssp585,2030,3,4821,1.9284,4816,1.9264
ssp585,2030,4,0,0.0,0,0.0
ssp585,2030,5,9,0.0036,9,0.0036
ssp585,2030,6,1442,0.5768,412,0.1648
ssp585,2030,7,16998,6.7992,14283,5.7132
ssp585,2050,0,2558959,1023.5836,285318,114.1272
ssp585,2050,1,157,0.0628,157,0.0628
ssp585,2050,2,0,0.0,0,0.0
ssp585,2050,3,4821,1.9284,4816,1.9264
ssp585,2050,4,0,0.0,0,0.0
ssp585,2050,5,72,0.0288,72,0.0288
ssp585,2050,6,1442,0.5768,412,0.1648
ssp585,2050,7,16998,6.7992,14283,5.7132
