component_id,pixels,area_km2,row_centroid,col_centroid,azimuth_deg,sector_30deg,touches_shore_band
8,109,0.0436,531.6238532110092,740.954128440367,356.02540358268595,12,True
66,95,0.038,996.8526315789474,1114.6315789473683,122.00000657926824,5,True
40,67,0.0268,912.9850746268656,506.7164179104478,241.00968401049994,9,True
62,65,0.026,975.3384615384615,523.1692307692308,229.34693120542448,8,True
85,38,0.0152,1125.921052631579,464.1578947368421,219.8298072955059,8,True
61,37,0.0148,965.2972972972973,1173.1351351351352,114.74409031279947,4,True
24,35,0.014,589.4571428571429,539.1142857142858,310.1421245056646,11,True
4,31,0.0124,501.7741935483871,920.8064516129032,30.927031895170728,2,True
76,29,0.0116,1049.6206896551723,1088.896551724138,129.7876404820529,5,True
9,29,0.0116,530.7586206896551,689.3448275862069,344.27701806666914,12,True
42,23,0.0092,917.5217391304348,920.3913043478261,131.45845504769932,5,True
36,22,0.0088,859.0,1169.1363636363637,101.6923648777057,4,True
87,21,0.0084,1217.3809523809523,440.2857142857143,215.59810044947682,8,True
80,21,0.0084,1087.4761904761904,497.85714285714283,219.6532646558002,8,True
31,20,0.008,701.9,278.9,278.5468756236967,10,True
45,17,0.0068,934.8823529411765,511.8235294117647,236.7904355665466,8,True
70,16,0.0064,1028.625,1085.5,127.86033813507288,5,True
23,14,0.0056,587.5714285714286,559.8571428571429,313.26634916093366,11,True
55,13,0.0052,952.6153846153846,1179.923076923077,112.94916769144072,4,True
37,13,0.0052,890.4615384615385,1182.1538461538462,105.36241320004234,4,True
71,11,0.0044,1029.6363636363637,535.9090909090909,220.94161297557895,8,True
14,10,0.004,551.7,647.0,333.49677980759185,12,True
73,9,0.0036,1040.6666666666667,1041.6666666666667,133.2229631124328,5,True
63,6,0.0024,963.3333333333334,1124.3333333333333,117.33374378292535,4,True
60,6,0.0024,954.5,631.0,215.06542586842207,8,True
30,6,0.0024,640.5,397.6666666666667,290.32217307887976,10,True
39,6,0.0024,899.6666666666666,499.8333333333333,244.002812481543,9,True
89,6,0.0024,1236.6666666666667,447.5,213.840224934907,8,True
49,5,0.002,937.0,946.6,130.82596131758942,5,True
33,5,0.002,774.4,1171.2,90.07337789234788,4,True
86,5,0.002,1154.6,437.8,220.045519888276,8,True
18,4,0.0016,572.0,1010.5,51.38180864513538,2,True
34,4,0.0016,801.75,337.75,266.2026195958943,9,False
75,4,0.0016,1042.5,521.0,221.39484128127012,8,True
58,4,0.0016,954.5,528.5,231.7692456267019,8,True
20,4,0.0016,584.5,1031.5,55.32238865733029,2,True
11,4,0.0016,531.5,926.0,34.76210021948043,2,True
51,3,0.0012,938.6666666666666,987.3333333333334,125.67520910701387,5,True
47,3,0.0012,933.0,926.0,133.4102718781707,5,True
19,3,0.0012,582.3333333333334,521.0,308.9695752293877,11,True
64,3,0.0012,966.0,1159.0,115.58835994614361,4,True
38,3,0.0012,890.6666666666666,890.3333333333334,131.38532977577154,5,True
25,3,0.0012,627.6666666666666,440.0,294.7057693023504,10,True
88,3,0.0012,1233.6666666666667,441.0,214.56567667125447,8,True
79,2,0.0008,1064.0,584.5,210.84862262324023,8,True
65,2,0.0008,972.5,1124.0,118.47478028418959,4,True
78,2,0.0008,1061.5,1080.0,131.75417949613808,5,True
13,2,0.0008,543.5,943.5,38.87418135241131,2,True
59,2,0.0008,953.0,626.5,216.23805560353253,8,True
6,2,0.0008,520.5,921.5,32.86834522043131,2,True
67,2,0.0008,1008.5,540.0,222.86782526183072,8,False
27,2,0.0008,631.5,1086.0,66.55009303160591,3,True
2,2,0.0008,490.5,883.5,23.923946983353005,1,True
