sector,azimuth_lo,azimuth_hi,lake_pixels,lake_area_km2,missing_bathy_pixels,missing_bathy_area_km2,missing_fraction_pct
1,0,30,19453,7.7812,4,0.0016,0.020562381123734128
2,30,60,24901,9.9604,51,0.0204,0.20481105176498937
3,60,90,32401,12.9604,3,0.0012,0.009258973488472579
4,90,120,48136,19.2544,109,0.0436,0.22644174837959116
5,120,150,21951,8.7804,186,0.0744,0.8473418067514008
6,150,180,4597,1.8388,1,0.0004,0.021753317380900587
7,180,210,7287,2.9148,6,0.0024,0.08233841086867023
8,210,240,32673,13.0692,226,0.0904,0.6917026290821168
9,240,270,30085,12.034,68,0.0272,0.2260262589330231
10,270,300,47034,18.8136,32,0.0128,0.06803588893141133
11,300,330,20446,8.1784,57,0.0228,0.2787831360657341
12,330,360,16094,6.4376,148,0.0592,0.9195973654778178
