sector,azimuth_lo,azimuth_hi,overlap_transition_pixels,direct_compatible_pixels,direct_compatible_pct,residual_median_abs_m,shallow_amsclae_pixels,local_supported_pixels,local_supported_pct_shallow
1,0,30,187,6,3.2085561497326203,13.4512939453125,677,0,0.0
2,30,60,241,25,10.37344398340249,7.7413330078125,684,0,0.0
3,60,90,194,14,7.216494845360825,12.3427734375,852,0,0.0
4,90,120,128,6,4.6875,11.0010986328125,605,0,0.0
5,120,150,569,104,18.27768014059754,4.8905029296875,3963,222,5.601816805450416
6,150,180,35,2,5.714285714285714,6.7659912109375,442,0,0.0
7,180,210,115,27,23.47826086956522,4.029541015625,816,17,2.0833333333333335
8,210,240,1436,220,15.32033426183844,6.15093994140625,6983,86,1.2315623657453816
9,240,270,678,169,24.926253687315633,3.0015869140625,2076,4,0.1926782273603083
10,270,300,971,213,21.936148300720905,3.5802001953125,3763,4,0.10629816635663035
11,300,330,124,7,5.645161290322581,15.4281005859375,397,0,0.0
12,330,360,60,0,0.0,16.72454833984375,216,0,0.0
