date,nivel_final_m
2026-07-30,1552.45
2026-06-11,1552.61
2026-06-21,1552.65
2026-08-19,1552.68
2026-04-22,1552.7
2026-07-11,1552.72
2026-08-09,1552.74
2026-07-21,1552.74
2026-03-14,1552.76
2010-02-06,1552.76
2026-07-01,1552.77
2026-08-29,1552.77
2010-04-26,1552.78
2026-03-04,1552.8
2026-06-01,1552.81
2010-03-17,1552.82
2026-02-22,1552.84
2009-03-15,1552.84
2010-05-16,1552.85
2026-05-02,1552.87
2009-02-14,1552.88
2026-05-12,1552.91
2026-04-12,1552.92
2026-05-22,1552.94
2009-04-04,1552.95
2026-02-12,1552.95
2026-04-03,1552.96
2009-12-08,1552.98
2009-03-25,1552.98
2009-04-14,1552.98
2010-05-06,1552.99
2010-03-27,1553.01
2010-02-25,1553.01
2009-01-15,1553.03
2010-01-17,1553.03
2009-05-14,1553.03
2009-07-03,1553.05
2009-01-25,1553.07
2009-03-06,1553.09
2010-01-27,1553.11
2010-04-06,1553.13
2026-02-02,1553.14
2009-05-24,1553.15
2009-04-24,1553.2
2009-02-24,1553.2
2010-01-07,1553.21
2025-05-20,1553.21
2025-04-01,1553.21
2025-08-08,1553.24
2010-04-16,1553.24
2009-05-04,1553.26
2025-08-17,1553.28
2025-12-05,1553.28
2009-09-10,1553.28
2009-10-20,1553.29
2009-09-30,1553.29
2025-04-20,1553.3
2025-07-29,1553.31
2025-07-19,1553.31
2025-09-06,1553.31
2010-03-07,1553.31
2009-12-28,1553.32
2009-07-22,1553.33
2009-06-03,1553.34
2009-02-04,1553.34
2026-01-23,1553.34
2025-05-30,1553.36
2025-04-30,1553.36
2009-10-10,1553.36
2025-06-09,1553.39
2025-06-29,1553.41
2025-05-10,1553.41
2009-08-31,1553.42
2010-06-15,1553.42
2025-04-11,1553.43
2025-08-27,1553.44
2025-03-02,1553.46
2025-11-15,1553.47
2025-11-25,1553.47
2024-04-09,1553.48
2025-07-09,1553.49
2025-06-19,1553.49
2024-06-17,1553.5
2009-07-12,1553.5
2025-11-05,1553.51
2024-04-19,1553.51
2025-09-16,1553.52
2024-05-08,1553.53
2026-01-13,1553.56
2009-08-11,1553.56
2025-10-06,1553.56
2024-04-29,1553.57
