reference_date,nivel_final_m,delta_vs_1552_450_m,priority,search_start,search_end
2026-07-30,1552.45,0.0,B_LOW_BAND,2026-07-25,2026-08-04
2026-06-11,1552.61,0.15999999999985448,B_LOW_BAND,2026-06-06,2026-06-16
2026-06-21,1552.65,0.20000000000004547,B_LOW_BAND,2026-06-16,2026-06-26
2026-08-19,1552.68,0.2300000000000182,B_LOW_BAND,2026-08-14,2026-08-24
2026-04-22,1552.7,0.25,B_LOW_BAND,2026-04-17,2026-04-27
2026-07-11,1552.72,0.2699999999999818,B_LOW_BAND,2026-07-06,2026-07-16
2026-08-09,1552.74,0.2899999999999636,B_LOW_BAND,2026-08-04,2026-08-14
2010-02-06,1552.76,0.30999999999994543,C_SECONDARY_LOW,2010-02-01,2010-02-11
2026-03-14,1552.76,0.30999999999994543,C_SECONDARY_LOW,2026-03-09,2026-03-19
2026-07-01,1552.77,0.31999999999993634,C_SECONDARY_LOW,2026-06-26,2026-07-06
2026-08-29,1552.77,0.31999999999993634,C_SECONDARY_LOW,2026-08-24,2026-09-03
2010-04-26,1552.78,0.32999999999992724,C_SECONDARY_LOW,2010-04-21,2010-05-01
2026-03-04,1552.8,0.34999999999990905,C_SECONDARY_LOW,2026-02-27,2026-03-09
2026-06-01,1552.81,0.35999999999989996,C_SECONDARY_LOW,2026-05-27,2026-06-06
2010-03-17,1552.82,0.36999999999989086,C_SECONDARY_LOW,2010-03-12,2010-03-22
2009-03-15,1552.84,0.38999999999987267,C_SECONDARY_LOW,2009-03-10,2009-03-20
2026-02-22,1552.84,0.38999999999987267,C_SECONDARY_LOW,2026-02-17,2026-02-27
2010-05-16,1552.85,0.3999999999998636,C_SECONDARY_LOW,2010-05-11,2010-05-21
2026-05-02,1552.87,0.4199999999998454,C_SECONDARY_LOW,2026-04-27,2026-05-07
2009-02-14,1552.88,0.43000000000006366,C_SECONDARY_LOW,2009-02-09,2009-02-19
2026-05-12,1552.91,0.4600000000000364,C_SECONDARY_LOW,2026-05-07,2026-05-17
2026-04-12,1552.92,0.4700000000000273,C_SECONDARY_LOW,2026-04-07,2026-04-17
2026-05-22,1552.94,0.4900000000000091,C_SECONDARY_LOW,2026-05-17,2026-05-27
2009-04-04,1552.95,0.5,C_SECONDARY_LOW,2009-03-30,2009-04-09
2026-02-12,1552.95,0.5,C_SECONDARY_LOW,2026-02-07,2026-02-17
2009-03-25,1552.98,0.5299999999999727,C_SECONDARY_LOW,2009-03-20,2009-03-30
2009-04-14,1552.98,0.5299999999999727,C_SECONDARY_LOW,2009-04-09,2009-04-19
2009-12-08,1552.98,0.5299999999999727,C_SECONDARY_LOW,2009-12-03,2009-12-13
2010-05-06,1552.99,0.5399999999999636,C_SECONDARY_LOW,2010-05-01,2010-05-11
2010-02-25,1553.01,0.5599999999999454,C_SECONDARY_LOW,2010-02-20,2010-03-02
2010-03-27,1553.01,0.5599999999999454,C_SECONDARY_LOW,2010-03-22,2010-04-01
2009-01-15,1553.03,0.5799999999999272,C_SECONDARY_LOW,2009-01-10,2009-01-20
2009-05-14,1553.03,0.5799999999999272,C_SECONDARY_LOW,2009-05-09,2009-05-19
2010-01-17,1553.03,0.5799999999999272,C_SECONDARY_LOW,2010-01-12,2010-01-22
2009-07-03,1553.05,0.599999999999909,C_SECONDARY_LOW,2009-06-28,2009-07-08
2009-01-25,1553.07,0.6199999999998909,C_SECONDARY_LOW,2009-01-20,2009-01-30
2010-01-27,1553.11,0.6599999999998545,C_SECONDARY_LOW,2010-01-22,2010-02-01
2010-04-06,1553.13,0.6800000000000637,C_SECONDARY_LOW,2010-04-01,2010-04-11
2026-02-02,1553.14,0.6900000000000546,C_SECONDARY_LOW,2026-01-28,2026-02-07
2009-05-24,1553.15,0.7000000000000455,C_SECONDARY_LOW,2009-05-19,2009-05-29
2009-02-24,1553.2,0.75,C_SECONDARY_LOW,2009-02-19,2009-03-01
2009-04-24,1553.2,0.75,C_SECONDARY_LOW,2009-04-19,2009-04-29
2010-01-07,1553.21,0.7599999999999909,C_SECONDARY_LOW,2010-01-02,2010-01-12
2025-04-01,1553.21,0.7599999999999909,C_SECONDARY_LOW,2025-03-27,2025-04-06
2025-05-20,1553.21,0.7599999999999909,C_SECONDARY_LOW,2025-05-15,2025-05-25
2010-04-16,1553.24,0.7899999999999636,C_SECONDARY_LOW,2010-04-11,2010-04-21
2025-08-08,1553.24,0.7899999999999636,C_SECONDARY_LOW,2025-08-03,2025-08-13
