sector,azimuth_lo,azimuth_hi,domain_pixels,observed_direct_pixels,amsclae_supported_pixels,unknown_pixels,known_pct
1,0,30,725,231,0,494,31.862068965517242
2,30,60,792,317,0,475,40.025252525252526
3,60,90,900,240,0,660,26.666666666666668
4,90,120,775,214,0,561,27.612903225806452
5,120,150,4298,788,203,3307,23.057235923685436
6,150,180,448,40,0,408,8.928571428571429
7,180,210,840,135,17,688,18.095238095238095
8,210,240,7424,1762,83,5579,24.851831896551722
9,240,270,2217,778,4,1435,35.27289129454218
10,270,300,3919,1111,4,2804,28.451135493748406
11,300,330,724,407,0,317,56.21546961325967
12,330,360,428,158,0,270,36.91588785046729
