lake_level_m,wet_corridor_pixels,wet_corridor_area_km2,delta_area_vs_anchor_km2,interpretation
1552.45,0,0.0,-1.9284,direct_observed_transition_only
1552.74,4565,1.826,-0.1024,direct_observed_transition_only
1552.76,4710,1.884,-0.0444,direct_observed_transition_only
1552.77,4821,1.9284,0.0,direct_observed_transition_only
1552.8,4907,1.9628,0.0344,direct_observed_transition_only
1552.84,4944,1.9776,0.0492,direct_observed_transition_only
1552.95,4970,1.988,0.0596,direct_observed_transition_only
1552.96,4984,1.9936,0.0652,direct_observed_transition_only
1553.14,5005,2.002,0.0736,direct_observed_transition_only
1553.21,5010,2.004,0.0756,direct_observed_transition_only
1553.34,5031,2.0124,0.084,direct_observed_transition_only
1553.43,5079,2.0316,0.1032,direct_observed_transition_only
1553.46,5095,2.038,0.1096,direct_observed_transition_only
1553.53,5106,2.0424,0.114,direct_observed_transition_only
1553.56,5115,2.046,0.1176,direct_observed_transition_only
1553.58,5123,2.0492,0.1208,direct_observed_transition_only
1553.61,5139,2.0556,0.1272,direct_observed_transition_only
1553.62,5145,2.058,0.1296,direct_observed_transition_only
1553.63,5148,2.0592,0.1308,direct_observed_transition_only
1553.64,5191,2.0764,0.148,direct_observed_transition_only
1553.66,5213,2.0852,0.1568,direct_observed_transition_only
1553.67,5228,2.0912,0.1628,direct_observed_transition_only
1553.72,5371,2.1484,0.22,direct_observed_transition_only
1553.81,5474,2.1896,0.2612,direct_observed_transition_only
1553.86,5487,2.1948,0.2664,direct_observed_transition_only
1553.87,5490,2.196,0.2676,direct_observed_transition_only
1553.9,5517,2.2068,0.2784,direct_observed_transition_only
1553.94,5614,2.2456,0.3172,direct_observed_transition_only
1553.99,5856,2.3424,0.414,direct_observed_transition_only
1554.02,5907,2.3628,0.4344,direct_observed_transition_only
1554.05,6181,2.4724,0.544,direct_observed_transition_only
