scenario,year,sector,azimuth_lo,azimuth_hi,new_exposed_pixels,new_exposed_area_km2,robust_new_exposed_pixels,robust_new_exposed_area_km2,unknown_pixels,unknown_area_km2
ssp245,2030,1,0,30,151,0.0604,0,0.0,494,0.1976
ssp245,2030,2,30,60,226,0.0904,0,0.0,475,0.19
ssp245,2030,3,60,90,198,0.0792,0,0.0,660,0.264
ssp245,2030,4,90,120,173,0.0692,0,0.0,561,0.2244
ssp245,2030,5,120,150,517,0.2068,0,0.0,3307,1.3228
ssp245,2030,6,150,180,18,0.0072,0,0.0,408,0.1632
ssp245,2030,7,180,210,86,0.0344,0,0.0,688,0.2752
ssp245,2030,8,210,240,1394,0.5576,0,0.0,5579,2.2316
ssp245,2030,9,240,270,635,0.254,0,0.0,1435,0.574
ssp245,2030,10,270,300,975,0.39,0,0.0,2804,1.1216
ssp245,2030,11,300,330,333,0.1332,0,0.0,317,0.1268
ssp245,2030,12,330,360,122,0.0488,0,0.0,270,0.108
ssp245,2050,1,0,30,151,0.0604,151,0.0604,494,0.1976
ssp245,2050,2,30,60,226,0.0904,226,0.0904,475,0.19
ssp245,2050,3,60,90,198,0.0792,198,0.0792,660,0.264
ssp245,2050,4,90,120,173,0.0692,173,0.0692,561,0.2244
ssp245,2050,5,120,150,540,0.216,524,0.2096,3307,1.3228
ssp245,2050,6,150,180,18,0.0072,18,0.0072,408,0.1632
ssp245,2050,7,180,210,86,0.0344,86,0.0344,688,0.2752
ssp245,2050,8,210,240,1403,0.5612,1396,0.5584,5579,2.2316
ssp245,2050,9,240,270,635,0.254,635,0.254,1435,0.574
ssp245,2050,10,270,300,975,0.39,975,0.39,2804,1.1216
ssp245,2050,11,300,330,333,0.1332,333,0.1332,317,0.1268
ssp245,2050,12,330,360,122,0.0488,122,0.0488,270,0.108
ssp585,2030,1,0,30,151,0.0604,0,0.0,494,0.1976
ssp585,2030,2,30,60,226,0.0904,0,0.0,475,0.19
ssp585,2030,3,60,90,198,0.0792,0,0.0,660,0.264
ssp585,2030,4,90,120,173,0.0692,0,0.0,561,0.2244
ssp585,2030,5,120,150,518,0.2072,0,0.0,3307,1.3228
ssp585,2030,6,150,180,18,0.0072,0,0.0,408,0.1632
ssp585,2030,7,180,210,86,0.0344,0,0.0,688,0.2752
ssp585,2030,8,210,240,1395,0.558,0,0.0,5579,2.2316
ssp585,2030,9,240,270,635,0.254,0,0.0,1435,0.574
ssp585,2030,10,270,300,975,0.39,0,0.0,2804,1.1216
ssp585,2030,11,300,330,333,0.1332,0,0.0,317,0.1268
ssp585,2030,12,330,360,122,0.0488,0,0.0,270,0.108
ssp585,2050,1,0,30,151,0.0604,0,0.0,494,0.1976
ssp585,2050,2,30,60,226,0.0904,0,0.0,475,0.19
ssp585,2050,3,60,90,198,0.0792,0,0.0,660,0.264
ssp585,2050,4,90,120,173,0.0692,0,0.0,561,0.2244
ssp585,2050,5,120,150,565,0.226,0,0.0,3307,1.3228
ssp585,2050,6,150,180,18,0.0072,0,0.0,408,0.1632
ssp585,2050,7,180,210,86,0.0344,0,0.0,688,0.2752
ssp585,2050,8,210,240,1411,0.5644,0,0.0,5579,2.2316
ssp585,2050,9,240,270,635,0.254,0,0.0,1435,0.574
ssp585,2050,10,270,300,975,0.39,0,0.0,2804,1.1216
ssp585,2050,11,300,330,333,0.1332,0,0.0,317,0.1268
ssp585,2050,12,330,360,122,0.0488,0,0.0,270,0.108
