candidate,mapping,future_compatible,formula_column,daily_n,daily_mae,daily_rmse,daily_bias,daily_r2_nse,daily_pearson_r,monthly_total_n,monthly_total_mae,monthly_total_rmse,monthly_total_bias,monthly_total_r2_nse,monthly_total_pearson_r,annual_total_n,annual_total_mae,annual_total_rmse,annual_total_bias,annual_total_r2_nse,annual_total_pearson_r,monthly_climatology_n,monthly_climatology_mae,monthly_climatology_rmse,monthly_climatology_bias,monthly_climatology_r2_nse,monthly_climatology_pearson_r,annual_mean_obs_mm,annual_mean_pred_mm,annual_mean_bias_mm,annual_mean_relative_bias_pct,obs_trend_mm_decade,pred_trend_mm_decade,trend_difference_mm_decade,rolling_30d_mae_mm,rolling_90d_mae_mm,rolling_365d_mae_mm,abs_annual_mean_relative_bias_pct
EQUILIBRIUM_OPEN_WATER_PROXY,AFFINE,True,evap_equilibrium_proxy_mm_day,3652,0.49137100205927814,0.6294039172445729,0.026949000486725685,0.3417968993912641,0.5856654056456851,120,14.125296389123987,17.02110859788828,0.8201479148126848,0.2472910602576026,0.5028569997154959,10,20.484410995302845,23.619915114347457,9.841774977752198,-0.5309113970280279,0.13373948726232399,12,13.432172108849217,15.375246090126968,0.8201479148126841,0.24500961952700484,0.5000722766113782,1248.876891802093,1258.7186667798455,9.841774977752493,0.7880500505979495,53.95024009027055,6.04646171507524,-47.90377837519531,13.806307107331236,35.80940477564297,25.984569322833465,0.7880500505979495
PRIESTLEY_TAYLOR_OPEN_WATER_PROXY,AFFINE,True,evap_priestley_taylor_proxy_mm_day,3652,0.49137100205927814,0.6294039172445729,0.02694900048672576,0.3417968993912641,0.5856654056456853,120,14.125296389123987,17.021108597888283,0.8201479148126868,0.2472910602576024,0.5028569997154959,10,20.48441099530287,23.619915114347478,9.841774977752266,-0.5309113970280306,0.13373948726232404,12,13.432172108849217,15.37524609012697,0.8201479148126888,0.24500961952700473,0.500072276611378,1248.876891802093,1258.7186667798455,9.841774977752493,0.7880500505979495,53.95024009027055,6.046461715075245,-47.9037783751953,13.806307107331236,35.80940477564297,25.984569322833476,0.7880500505979495
TRANSPARENT_COMBINATION_PT_PLUS_AERO,CALIBRATED_ON_1981_2004,True,intercept + a*PriestleyTaylor + b*AeroVPDWind,3652,0.49137100205928014,0.6294039172445727,0.026949000486718503,0.3417968993912647,0.5856654056456851,120,14.125296389124058,17.021108597888272,0.8201479148124665,0.24729106025760328,0.5028569997154954,10,20.484410995301822,23.619915114346384,9.841774977749628,-0.5309113970278887,0.13373948726232113,12,13.432172108849253,15.375246090126957,0.8201479148124662,0.24500961952700584,0.5000722766113778,1248.876891802093,1258.7186667798428,9.841774977749765,0.788050050597731,53.95024009027055,6.046461715075555,-47.90377837519499,13.806307107331307,35.8094047756431,25.984569322832943,0.788050050597731
RADIATION_ENERGY_PROXY,AFFINE,True,radiation_energy_proxy_mm_day,3652,0.4943521653814232,0.6278467298997081,0.020485711179758708,0.34504974742318617,0.5880031544392554,120,14.284517276788142,17.12331351798805,0.6234484769039901,0.23822449151470193,0.4934892743800417,10,19.843912458832893,23.01974902380329,7.481381722847891,-0.45410095584521004,0.0773642723881239,12,13.600899184217004,15.502908657064289,0.6234484769039929,0.23242001236424525,0.4866474421601476,1248.876891802093,1256.3582735249413,7.481381722848255,0.5990487751000692,53.95024009027055,4.464668773945647,-49.4855713163249,13.954349555116254,36.266735715009574,26.35860997215289,0.5990487751000692
EQUILIBRIUM_OPEN_WATER_PROXY,SCALE,True,evap_equilibrium_proxy_mm_day,3652,0.5205154092988246,0.6598466816311185,-0.009700706992801048,0.27658565780385935,0.5856654056456853,120,14.744586244527605,17.5212750418938,-0.2952248494809117,0.20240430176441893,0.47340002686870974,10,19.730834533122994,24.858707926341232,-3.542698193770934,-0.6957057569127063,0.13502019123306783,12,14.146458569800522,15.922678803776588,-0.29522484948091215,0.1902899384535659,0.4647242544867604,1248.876891802093,1245.334193608322,-3.5426981937710025,-0.2836707298394313,53.95024009027055,8.507177793983177,-45.44306229628737,14.5794776341234,37.77726386764595,26.972999662131947,0.2836707298394313
PRIESTLEY_TAYLOR_OPEN_WATER_PROXY,SCALE,True,evap_priestley_taylor_proxy_mm_day,3652,0.5205154092988247,0.6598466816311185,-0.009700706992801317,0.27658565780385935,0.5856654056456851,120,14.744586244527609,17.5212750418938,-0.2952248494809205,0.20240430176441893,0.4734000268687097,10,19.730834533123062,24.858707926341292,-3.5426981937710478,-0.6957057569127145,0.13502019123306644,12,14.146458569800524,15.922678803776588,-0.29522484948091804,0.1902899384535659,0.4647242544867603,1248.876891802093,1245.334193608322,-3.5426981937710025,-0.2836707298394313,53.95024009027055,8.5071777939829,-45.44306229628765,14.579477634123402,37.777263867645964,26.972999662131965,0.2836707298394313
RADIATION_ENERGY_PROXY,SCALE,True,radiation_energy_proxy_mm_day,3652,0.5167927376443213,0.6496906178924263,-0.01102538091123061,0.29868321829872924,0.5880031544392552,120,14.751931094901062,17.472192293013787,-0.3355390923984515,0.2068666888807983,0.4671275029496596,10,19.70132391596305,24.51427040364018,-4.026469108781453,-0.6490405523249478,0.07896490780023253,12,14.052713711455503,15.900581436961993,-0.3355390923984487,0.19253579732654835,0.454773586631821,1248.876891802093,1244.8504226933117,-4.026469108781384,-0.32240720724452726,53.95024009027055,5.9432246183026205,-48.007015471967925,14.559582816653185,37.82297859443649,27.162740684747238,0.32240720724452726
PM_REFERENCE_DEMAND_PROXY,AFFINE,True,eto_pm_reference_proxy_mm_day,3652,0.52404064895146,0.6626062256019586,0.03343574826512583,0.2705222249163004,0.521995241586047,120,15.177879798808913,18.245698058359654,1.0175612722019958,0.13508713684274976,0.3718206477062662,10,22.378806821826515,25.388235051770977,12.210735266423967,-0.7687172530013373,0.12476158227721836,12,14.42346399612648,16.52884416738089,1.0175612722019949,0.1274662447104551,0.3628570974749522,1248.876891802093,1261.0876270685171,12.21073526642408,0.9777373051401683,53.95024009027055,6.935638773640482,-47.01460131663006,14.765665696088037,38.46917867618988,28.50410811972625,0.9777373051401683
AERO_VPD_WIND_INDEX,AFFINE,True,aero_vpd_wind_index,3652,0.6466948800862424,0.7765059340328588,0.033115631110332035,-0.0018220786235805253,-5.518944131740296e-16,120,15.536875377286375,18.717644965502117,1.0078190401244356,0.08976443666417488,0.3911143363314564,10,18.061300253662715,22.69444749701137,12.093828481493233,-0.41329433960325956,-0.04638709426270929,12,13.966434115302116,16.705530710072406,1.0078190401244373,0.10871248902202069,0.4312392696258249,1248.876891802093,1260.9707202835866,12.093828481493574,0.9683763516548481,53.95024009027055,0.41852392056989624,-53.53171616970065,15.07344952185951,38.60391581516093,28.83840648694114,0.9683763516548481
PM_REFERENCE_DEMAND_PROXY,RAW,True,eto_pm_reference_proxy_mm_day,3652,0.546962074668433,0.7113390545531104,0.0625891668166119,0.1592742535474967,0.5219952415860469,120,15.761960144352141,19.4322009465505,1.9047969767855557,0.01894043917900823,0.3282028518991768,10,30.7539237547172,35.80737870248357,22.857563721426686,-2.518345218956995,0.12649157971079825,12,15.16375843925568,17.717478633146587,1.9047969767855537,-0.002538598489797428,0.30958160941339624,1248.876891802093,1271.73445552352,22.857563721426914,1.8302495523353077,53.95024009027055,10.818790006815075,-43.131450083455476,15.44334987067825,40.546904047085484,34.94420911249023,1.8302495523353077
PM_REFERENCE_DEMAND_PROXY,SCALE,True,eto_pm_reference_proxy_mm_day,3652,0.5648574003239337,0.7040810497597868,-0.005843288223071057,0.17634307955403394,0.521995241586047,120,16.35238953771901,19.273559894321213,-0.17783073825546267,0.03489344705013264,0.3282028518991771,10,20.709119200344777,27.327330578317977,-2.1339688590655896,-1.049216349331345,0.12649157971079622,12,15.4767878259865,17.55465987025714,-0.1778307382554646,0.015802844856627307,0.30958160941339635,1248.876891802093,1246.7429229430277,-2.1339688590653623,-0.17087103405253237,53.95024009027055,10.606184189804413,-43.34405590046613,16.022615178771535,41.73432496330709,29.882933425075443,0.17087103405253237
EQUILIBRIUM_OPEN_WATER_PROXY,RAW,True,evap_equilibrium_proxy_mm_day,3652,0.8768268247050205,1.1128250591190134,0.8431937159842773,-1.0575710190901804,0.5856654056456851,120,25.661195423121505,31.4984441458981,25.661195423121505,-1.577683513563859,0.4734000268687098,10,307.93434507745803,309.1829642196351,307.93434507745803,-261.31583273770326,0.13502019123306833,12,25.66119542312151,30.580224383593386,25.66119542312151,-1.9866106016438145,0.4647242544867604,1248.876891802093,1556.8112368795512,307.93434507745815,24.656901500765045,53.95024009027055,10.634952490488903,-43.31528759978164,25.236333621486956,75.29261709715466,306.73616861339514,24.656901500765045
AERO_VPD_WIND_INDEX,SCALE,True,aero_vpd_wind_index,3652,1.6367991331225793,1.8452570485898974,-0.5641668392587166,-4.657372650851463,-0.26176627433208405,120,46.761099939722804,51.18486296992646,-17.169477474773608,-5.8066665998205345,-0.7004237899769927,10,206.03372969728326,214.95011685121767,-206.03372969728326,-125.78525903713154,0.0944471880791319,12,44.795122361940024,48.28431346287258,-17.16947747477361,-6.445766084255047,-0.809570945193605,1248.876891802093,1042.8431621048098,-206.0337296972832,-16.49752117680571,53.95024009027055,28.715242706659275,-25.234997383611272,45.54538148762787,120.88431447722105,207.95044774835858,16.49752117680571
PRIESTLEY_TAYLOR_OPEN_WATER_PROXY,RAW,True,evap_priestley_taylor_proxy_mm_day,3652,1.9537106392765244,2.129695073964491,1.9515478276728953,-6.535913303281784,0.5856654056456854,120,59.39210555551178,62.63776783196878,59.39210555551178,-9.193514249755212,0.47340002686870986,10,712.7052666661414,713.4400055965101,712.7052666661414,-1395.716642624617,0.13502019123306722,12,59.39210555551178,62.105025620917445,59.39210555551178,-11.318299454819972,0.4647242544867604,1248.876891802093,1961.5821584682344,712.7052666661414,57.067695890963954,53.95024009027055,13.400040138015727,-40.55019995225482,58.518258574792085,175.26203659181695,710.8670323050587,57.067695890963954
AERO_VPD_WIND_INDEX,RAW,True,aero_vpd_wind_index,3652,2.7049025770262074,2.8600220927701407,-2.7049025770262074,-12.590637119249875,-0.2617662743320842,120,82.31920176083092,86.31354828262164,-82.31920176083092,-18.35571994933041,-0.7004237899769922,10,987.8304211299712,988.1017674935141,-987.8304211299712,-2678.14823553807,0.09444718807913174,12,82.31920176083094,85.77098380046728,-82.31920176083094,-22.495140688218275,-0.8095709451936053,1248.876891802093,261.04647067212204,-987.830421129971,-79.09750173250146,53.95024009027055,7.188053808529871,-46.762186281740675,81.41403483703937,245.46283557095265,987.3629358396951,79.09750173250146
