candidate,base,mapping,uses_energy,uses_vpd_wind
EQUILIBRIUM_OPEN_WATER_PROXY__RAW,EQUILIBRIUM_OPEN_WATER_PROXY,RAW,True,False
EQUILIBRIUM_OPEN_WATER_PROXY__SCALE,EQUILIBRIUM_OPEN_WATER_PROXY,SCALE,True,False
EQUILIBRIUM_OPEN_WATER_PROXY__AFFINE,EQUILIBRIUM_OPEN_WATER_PROXY,AFFINE,True,False
PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__RAW,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY,RAW,True,False
PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__SCALE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY,SCALE,True,False
PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__AFFINE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY,AFFINE,True,False
PM_REFERENCE_DEMAND_PROXY__RAW,PM_REFERENCE_DEMAND_PROXY,RAW,True,True
PM_REFERENCE_DEMAND_PROXY__SCALE,PM_REFERENCE_DEMAND_PROXY,SCALE,True,True
PM_REFERENCE_DEMAND_PROXY__AFFINE,PM_REFERENCE_DEMAND_PROXY,AFFINE,True,True
RADIATION_ENERGY_PROXY__RAW,RADIATION_ENERGY_PROXY,RAW,True,False
RADIATION_ENERGY_PROXY__SCALE,RADIATION_ENERGY_PROXY,SCALE,True,False
RADIATION_ENERGY_PROXY__AFFINE,RADIATION_ENERGY_PROXY,AFFINE,True,False
AERO_VPD_WIND_INDEX__RAW,AERO_VPD_WIND_INDEX,RAW,True,True
AERO_VPD_WIND_INDEX__SCALE,AERO_VPD_WIND_INDEX,SCALE,True,True
AERO_VPD_WIND_INDEX__AFFINE,AERO_VPD_WIND_INDEX,AFFINE,True,True
TRANSPARENT_COMBINATION_PT_PLUS_AERO,TRANSPARENT_COMBINATION_PT_PLUS_AERO,CALIBRATED_ON_1981_2004,True,True
