candidate,base,mapping,uses_vpd_wind,n_cal,cal_mae,cal_rmse,cal_bias,cal_nse,cal_pearson_r,cal_weighted_mae,cal_weighted_rmse,cal_weighted_bias,cal_skill_vs_original_wmae,train_precip_scale,train_evap_scale,train_qin_scale,train_net_unresolved_m_per_day,evap_scale_at_bound,invariant_max_diff,selected
AERO_VPD_WIND_INDEX__AFFINE,AERO_VPD_WIND_INDEX,AFFINE,True,96,0.3533623266999821,0.41282462715173557,0.34578288257960094,-0.8035200672246803,0.7009248402023006,0.3160163691054292,0.36546801511585386,0.3049639540101436,-0.29255307047453005,1.2230242194191652,1.401875934805686,0.45263290492593417,-0.002317468842335054,False,0.0,True
RADIATION_ENERGY_PROXY__RAW,RADIATION_ENERGY_PROXY,RAW,False,96,0.45624249662646105,0.5316869166919512,0.45261709687167456,-1.9915876498339693,0.5363069379881433,0.42205883666567257,0.48878721025982075,0.41774958802045337,-0.7262822391049075,1.2465488785010501,2.2830372149929925,2.0342096194665815e-11,0.007795671693549739,False,0.0,False
PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__RAW,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY,RAW,False,96,0.4629841048912245,0.5381029907057634,0.45959205192768593,-2.064224607495278,0.5328274917480913,0.42891370379650195,0.4950574511293265,0.4248242938217745,-0.7543196460997728,1.2530176549096046,2.392067718899399,2.7196569194044316e-11,0.006526935735710113,False,0.0,False
AERO_VPD_WIND_INDEX__RAW,AERO_VPD_WIND_INDEX,RAW,True,96,0.3940975199979467,0.45612104975407,0.3899956529070086,-1.201658795702535,0.6657653632382173,0.35721905645988405,0.41058385251228,0.3512573370107236,-0.46107807505755294,1.1026747646800032,2.9999999999999996,1.0702482768146769e-06,-0.003757545702090562,True,0.0,False
RADIATION_ENERGY_PROXY__AFFINE,RADIATION_ENERGY_PROXY,AFFINE,False,96,0.39826528126091415,0.46387386431562405,0.39309813381350506,-1.2771392676610867,0.6343736013316503,0.36281070450719277,0.41879563443572,0.3553881545257162,-0.4839487316410118,1.2510815269924789,2.999999999999911,3.819477547772009e-07,0.003758852397387646,True,0.0,False
PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__AFFINE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY,AFFINE,False,96,0.4046420126378128,0.47058788678884056,0.3999723363232685,-1.3435340734109116,0.6288005409214962,0.3691673840802474,0.4255410410400322,0.362470832583501,-0.509948478816872,1.2540435423849619,2.999999999999995,1.1809704355346504e-08,0.0037948127579083145,True,0.0,False
TRANSPARENT_COMBINATION_PT_PLUS_AERO,TRANSPARENT_COMBINATION_PT_PLUS_AERO,CALIBRATED_ON_1981_2004,True,96,0.40464201270270905,0.47058788683802805,0.3999723363838541,-1.3435340739008206,0.6288005411477816,0.36916738412110794,0.42554104106913093,0.3624708326162344,-0.5099484789839976,1.2540435436515074,2.999999999999995,1.1795880059925804e-08,0.0037948127508129134,True,0.0,False
EQUILIBRIUM_OPEN_WATER_PROXY__AFFINE,EQUILIBRIUM_OPEN_WATER_PROXY,AFFINE,False,96,0.40464201268974637,0.4705878869409551,0.3999723364114682,-1.3435340749259765,0.628800539536296,0.36916738424556766,0.4255410412985976,0.36247083280965947,-0.509948479493056,1.2540435368233256,2.999999999999995,1.1845158380411128e-08,0.0037948127898425692,True,0.0,False
PM_REFERENCE_DEMAND_PROXY__AFFINE,PM_REFERENCE_DEMAND_PROXY,AFFINE,True,96,0.4113247839663193,0.4772246407546321,0.40714347234121107,-1.4101024470888572,0.6251313020559639,0.3758612037840341,0.43248185959895585,0.3698559435669186,-0.5373271783311553,1.2284455308338906,2.9999999999996474,9.557757985254305e-07,0.0039440140470315055,True,0.0,False
RADIATION_ENERGY_PROXY__SCALE,RADIATION_ENERGY_PROXY,SCALE,False,96,0.42224942253738834,0.4917980894467989,0.4181621826653199,-1.559549062885103,0.5961585409113775,0.387115023512146,0.44763285354126564,0.38164828541512313,-0.5833569434515975,1.249167656927087,2.9999999999998277,1.6635120237235226e-19,0.0037629838492370233,True,0.0,False
EQUILIBRIUM_OPEN_WATER_PROXY__SCALE,EQUILIBRIUM_OPEN_WATER_PROXY,SCALE,False,96,0.436228370820866,0.5071816472235916,0.4327964492651451,-1.7221800321363374,0.5786851930285032,0.4012963054311375,0.4632385799510395,0.39680218777936505,-0.6413604561795794,1.2533596347259324,2.9999999930172225,5.988010568181598e-15,0.0038080202758503804,True,0.0,False
