scenario,year,quantile,level_m,level_change_vs_2026_m,area_bounds_status,water_area_lower_bound_km2,water_area_upper_bound_km2,certain_exposed_area_km2,uncertain_area_km2,storage_loss_vs_2026_km3,volume_raw_km3,mean_water_depth_raw_m
ssp245,2030,p05,1551.225733575015,-1.5442664249849258,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.086,120.088,1.9352,9.002,0.1870699512175839,24.543372125439955,202.9804013379869
ssp245,2030,p50,1552.348610031073,-0.4213899689273148,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.092,120.094,1.9292,9.002,0.0511204258805584,24.67932165077698,203.5802945423206
ssp245,2030,p95,1554.0239062558508,1.2539062558507794,NOT_VALID_LEVEL_ABOVE_2026_ANCHOR,,,0.0,9.002,-0.1524441471576096,24.88288622381515,204.37602097737204
ssp245,2050,p05,1544.4745564340274,-8.295443565972619,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.044,120.046,1.9772,9.002,0.9970066055531142,23.733435471104425,199.4778007041429
ssp245,2050,p50,1550.3365020596582,-2.4334979403417947,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.0792,120.0812,1.942,9.002,0.2944844750466622,24.43595760161088,202.49761097880585
ssp245,2050,p95,1551.839102663566,-0.9308973364338726,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.0884,120.0904,1.9328,9.002,0.1128512627512208,24.61759081390632,203.3070660367371
ssp245,2090,p05,1525.5466782680155,-27.22332173198447,VALID_FOR_DECLINE_FROM_CURRENT_MASK,110.6376,119.7572,2.266,9.1196,3.198762106171724,21.53167997048581,189.141821146659
ssp245,2090,p50,1542.6391564663215,-10.130843533678444,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.0348,120.0368,1.9864,9.002,1.2148833982394969,23.51555867841804,198.53572290038952
ssp245,2090,p95,1552.5232655348132,-0.2467344651868188,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.0932,120.0952,1.928,9.002,0.029943165267813,24.70049891138973,203.67308886609487
ssp585,2030,p05,1550.764842172001,-2.005157827999028,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.082,120.084,1.9392,9.002,0.2427700205085585,24.48767205614898,202.7288347879696
ssp585,2030,p50,1552.293234566714,-0.4767654332861184,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.0912,120.0932,1.93,9.002,0.0578329967148292,24.67260907994271,203.5495516223487
ssp585,2030,p95,1553.5025736984253,0.7325736984253126,NOT_VALID_LEVEL_ABOVE_2026_ANCHOR,,,0.0,9.002,-0.0890093558382254,24.819451432495764,204.09743118511625
ssp585,2050,p05,1540.105100681882,-12.664899318117932,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.022,120.024,1.9992,9.002,1.5140078744383594,23.21643420221918,197.2804390530935
ssp585,2050,p50,1548.1447400878528,-4.625259912147158,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.066,120.068,1.9552,9.002,0.5583137314313937,24.172128345226145,201.30242971422533
ssp585,2050,p95,1552.8101514045268,0.0401514045267958,NOT_VALID_LEVEL_ABOVE_2026_ANCHOR,,,0.0,9.002,-0.0048746144357814,24.73531669109332,203.7318551115294
ssp585,2090,p05,1511.9267681902936,-40.84323180970637,VALID_FOR_DECLINE_FROM_CURRENT_MASK,108.1876,117.3344,4.6888,9.1468,4.72521446745758,20.00522760919996,181.45459953747215
ssp585,2090,p50,1530.1243554409712,-22.645644559028824,VALID_FOR_DECLINE_FROM_CURRENT_MASK,111.0032,120.0052,2.018,9.002,2.6749976362302483,22.05544444042729,191.7849845557301
ssp585,2090,p95,1554.5059061772022,1.735906177202196,NOT_VALID_LEVEL_ABOVE_2026_ANCHOR,,,0.0,9.002,-0.2111608718361246,24.941602948493664,204.6266661938859
