scenario,year,quantile,reference,H0_m,level_m,relative_level_m,wet_pixels_raw,area_raw_km2,anchor_area_raw_km2,delta_area_vs_anchor_km2,area_anchor_adjusted_km2,area_loss_vs_current_km2,volume_raw_km3,anchor_volume_raw_km3,delta_volume_vs_anchor_km3,storage_loss_vs_anchor_km3,volume_published_anchored_km3,mean_water_depth_m
ssp245,2030,p05,primary_temporal_2014_median,1557.56,1551.225733575015,-6.3342664249848895,2167992,120.9149847160479,121.39992921404699,-0.4849444979990949,121.53825550200091,0.4849444979990949,24.543372125439955,24.73044207665754,-0.18706995121758396,0.18706995121758396,24.68820875538329,202.9804013379869
ssp245,2030,p05,sensitivity_temporal_2014_min,1557.31,1551.225733575015,-6.0842664249848895,2169283,120.98698740114472,121.46892016793139,-0.4819327667866702,121.54126723321333,0.4819327667866702,24.573609847316785,24.760800589577972,-0.18719074226118693,0.18719074226118693,24.71844647726012,203.10952752167032
ssp245,2030,p05,sensitivity_temporal_2014_max,1558.09,1551.225733575015,-6.864266424984862,2165428,120.77198325625841,121.19909136041908,-0.42710810416066636,121.59609189583934,0.42710810416066636,24.479325028562283,24.6661567403527,-0.18683171179041835,0.18683171179041835,24.624161658505617,202.69042843008677
ssp245,2030,p50,primary_temporal_2014_median,1557.56,1552.3486100310727,-5.2113899689272785,2173577,121.22647580533196,121.39992921404699,-0.17345340871503367,121.84974659128497,0.17345340871503367,24.67932165077698,24.73044207665754,-0.05112042588055843,0.05112042588055843,24.824158280720315,203.5802945423206
ssp245,2030,p50,sensitivity_temporal_2014_min,1557.31,1552.3486100310727,-4.9613899689272785,2175839,121.35263387945201,121.46892016793139,-0.1162862884793725,121.90691371152063,0.1162862884793725,24.709639301255905,24.760800589577972,-0.05116128832206712,0.05116128832206712,24.854475931199243,203.61848368121704
ssp245,2030,p50,sensitivity_temporal_2014_max,1558.09,1552.3486100310727,-5.741389968927251,2170954,121.0801837503289,121.19909136041908,-0.11890761009017581,121.90429238990983,0.11890761009017581,24.61510950958558,24.6661567403527,-0.051047230767121476,0.051047230767121476,24.759946139528918,203.29593784184124
ssp245,2030,p95,primary_temporal_2014_median,1557.56,1554.0239062558508,-3.536093744149184,2182973,121.75051703629221,121.39992921404699,0.3505878222452168,122.37378782224522,-0.3505878222452168,24.88288622381515,24.73044207665754,0.15244414715760968,-0.15244414715760968,25.027722853758487,204.37602097737204
ssp245,2030,p95,sensitivity_temporal_2014_min,1557.31,1554.0239062558508,-3.286093744149184,2184246,121.82151581098489,121.46892016793139,0.35259564305350466,122.37579564305351,-0.35259564305350466,24.91333278453221,24.760800589577972,0.15253219495423664,-0.15253219495423664,25.058169414475547,204.5068362405463
ssp245,2030,p95,sensitivity_temporal_2014_max,1558.09,1554.0239062558508,-4.066093744149157,2180341,121.6037230260871,121.19909136041908,0.40463166566802045,122.42783166566802,-0.40463166566802045,24.81839742941824,24.6661567403527,0.15224068906553967,-0.15224068906553967,24.96323405936158,204.09241437529064
ssp245,2050,p05,primary_temporal_2014_median,1557.56,1544.4745564340274,-13.085443565972582,2133259,118.97782804566236,121.39992921404699,-2.4221011683846285,119.60109883161537,2.4221011683846285,23.733435471104425,24.73044207665754,-0.9970066055531142,0.9970066055531142,23.87827210104776,199.47780070414294
ssp245,2050,p05,sensitivity_temporal_2014_min,1557.31,1544.4745564340274,-12.835443565972582,2134583,119.05167123316677,121.46892016793139,-2.417248934764615,119.60595106523539,2.417248934764615,23.763189041880096,24.760800589577972,-0.9976115476978755,0.9976115476978755,23.908025671823435,199.60399375947506
ssp245,2050,p05,sensitivity_temporal_2014_max,1558.09,1544.4745564340274,-13.615443565972555,2130402,118.81848515540551,121.19909136041908,-2.3806062050135637,119.64259379498644,2.3806062050135637,23.67042011113588,24.6661567403527,-0.9957366292168217,0.9957366292168217,23.815256741079214,199.21496289215247
ssp245,2050,p50,primary_temporal_2014_median,1557.56,1550.3365020596582,-7.223497940341758,2163650,120.67281921744961,121.39992921404699,-0.7271099965973775,121.29609000340263,0.7271099965973775,24.435957601610877,24.73044207665754,-0.2944844750466622,0.2944844750466622,24.58079423155421,202.49761097880582
ssp245,2050,p50,sensitivity_temporal_2014_min,1557.31,1550.3365020596582,-6.973497940341758,2164901,120.74259099053724,121.46892016793139,-0.7263291773941489,121.29687082260585,0.7263291773941489,24.46613444234084,24.760800589577972,-0.29466614723713036,0.29466614723713036,24.610971072284176,202.6305236754302
ssp245,2050,p50,sensitivity_temporal_2014_max,1558.09,1550.3365020596582,-7.753497940341731,2161025,120.5264156168461,121.19909136041908,-0.6726757435729809,121.35052425642702,0.6726757435729809,24.372040651699596,24.6661567403527,-0.2941160886531051,0.2941160886531051,24.516877281642937,202.21327023594895
ssp245,2050,p95,primary_temporal_2014_median,1557.56,1551.839102663566,-5.720897336433836,2171054,121.08576103035189,121.39992921404699,-0.31416818369510224,121.7090318163049,0.31416818369510224,24.617590813906318,24.73044207665754,-0.11285126275122082,0.11285126275122082,24.762427443849656,203.3070660367371
ssp245,2050,p95,sensitivity_temporal_2014_min,1557.31,1551.839102663566,-5.470897336433836,2172323,121.15653671384366,121.46892016793139,-0.3123834540877226,121.71081654591228,0.3123834540877226,24.64787127205094,24.760800589577972,-0.11292931752703339,0.11292931752703339,24.79270790199428,203.43822909255056
ssp245,2050,p95,sensitivity_temporal_2014_max,1558.09,1551.839102663566,-6.250897336433809,2168427,120.93924588414791,121.19909136041908,-0.25984547627116683,121.76335452372884,0.25984547627116683,24.553453718758117,24.6661567403527,-0.11270302159458367,0.11270302159458367,24.698290348701452,203.02304301019672
ssp245,2090,p05,primary_temporal_2014_median,1557.56,1525.5466782680155,-32.01332173198443,2041117,113.83881068687779,121.39992921404699,-7.561118527169199,114.4620814728308,7.561118527169199,21.531679970485815,24.73044207665754,-3.198762106171724,3.198762106171724,21.676516600429157,189.141821146659
ssp245,2090,p05,sensitivity_temporal_2014_min,1557.31,1525.5466782680155,-31.763321731984433,2042237,113.9012762231353,121.46892016793139,-7.567643944796089,114.45555605520391,7.567643944796089,21.56014742048323,24.760800589577972,-3.2006531690947426,3.2006531690947426,21.704984050426564,189.28802323730238
ssp245,2090,p05,sensitivity_temporal_2014_max,1558.09,1525.5466782680155,-32.543321731984406,2038793,113.70919469914347,121.19909136041908,-7.489896661275608,114.5333033387244,7.489896661275608,21.47137951370996,24.6661567403527,-3.194777226642742,3.194777226642742,21.616216143653293,188.82711789947885
ssp245,2090,p50,primary_temporal_2014_median,1557.56,1542.6391564663215,-14.920843533678408,2123705,118.44497471226578,121.39992921404699,-2.9549545017812164,119.06824549821879,2.9549545017812164,23.515558678418042,24.73044207665754,-1.2148833982394969,1.2148833982394969,23.660395308361377,198.53572290038952
ssp245,2090,p50,sensitivity_temporal_2014_min,1557.31,1542.6391564663215,-14.670843533678408,2124965,118.51524844055547,121.46892016793139,-2.9536717273759194,119.06952827262408,2.9536717273759194,23.54517873208213,24.760800589577972,-1.2156218574958402,1.2156218574958402,23.690015362025466,198.66792705490428
ssp245,2090,p50,sensitivity_temporal_2014_max,1558.09,1542.6391564663215,-15.45084353367838,2120266,118.2531720522751,121.19909136041908,-2.9459193081439707,119.07728069185603,2.9459193081439707,23.4528414388812,24.6661567403527,-1.2133153014715,1.2133153014715,23.59767806882454,198.32737703233548
ssp245,2090,p95,primary_temporal_2014_median,1557.56,1552.5232655348132,-5.0367344651867825,2174451,121.2752212327329,121.39992921404699,-0.12470798131408856,121.89849201868591,0.12470798131408856,24.700498911389726,24.73044207665754,-0.029943165267813043,0.029943165267813043,24.84533554133306,203.67308886609487
ssp245,2090,p95,sensitivity_temporal_2014_min,1557.31,1552.5232655348132,-4.7867344651867825,2176707,121.40104467005159,121.46892016793139,-0.06787549787979685,121.9553245021202,0.06787549787979685,24.730838514493094,24.760800589577972,-0.029962075084878137,0.029962075084878137,24.875675144436432,203.71190858948137
ssp245,2090,p95,sensitivity_temporal_2014_max,1558.09,1552.5232655348132,-5.566734465186755,2171841,121.12965422413284,121.19909136041908,-0.06943713628623982,121.95376286371376,0.06943713628623982,24.636261224259517,24.6661567403527,-0.02989551609318397,0.02989551609318397,24.78109785420286,203.38753034557246
ssp585,2030,p05,primary_temporal_2014_median,1557.56,1550.764842172001,-6.795157827998992,2165756,120.79027673473382,121.39992921404699,-0.6096524793131692,121.41354752068683,0.6096524793131692,24.48767205614898,24.73044207665754,-0.24277002050855856,0.24277002050855856,24.63250868609232,202.72883478796962
ssp585,2030,p05,sensitivity_temporal_2014_min,1557.31,1550.764842172001,-6.545157827998992,2166974,120.85820800541384,121.46892016793139,-0.6107121625175438,121.41248783748246,0.6107121625175438,24.5178781337567,24.760800589577972,-0.24292245582127237,0.24292245582127237,24.66271476370004,202.864816038464
ssp585,2030,p05,sensitivity_temporal_2014_max,1558.09,1550.764842172001,-7.325157827998964,2163105,120.64242304132432,121.19909136041908,-0.5566683190947543,121.46653168090525,0.5566683190947543,24.42369154391898,24.6661567403527,-0.2424651964337201,0.2424651964337201,24.568528173862322,202.44695794573852
ssp585,2030,p50,primary_temporal_2014_median,1557.56,1552.2932345667139,-5.266765433286082,2173314,121.2118075588715,121.39992921404699,-0.18812165517549317,121.83507834482451,0.18812165517549317,24.67260907994271,24.73044207665754,-0.05783299671482922,0.05783299671482922,24.817445709886048,203.5495516223487
ssp585,2030,p50,sensitivity_temporal_2014_min,1557.31,1552.2932345667139,-5.016765433286082,2174545,121.28046387595452,121.46892016793139,-0.18845629197686264,121.83474370802314,0.18845629197686264,24.702920708977484,24.760800589577972,-0.05787988060048832,0.05787988060048832,24.847757338920818,203.68425317241196
