feature,importance
wind_ms_mean_10d,0.06219556850286525
wind_ms_lag_14d,0.0228873738666317
wind_ms_lag_1d,0.020876527466862374
wind_ms_lag_7d,0.02006502792502394
wind_ms_lag_30d,0.0200611561041848
PHYS_evap_m,0.019681696760711357
cos_doy_h3,0.01933971430234428
sin_doy_h3,0.01841994805136383
dewpoint_c_lag_7d,0.016675728737420376
tmean_c_lag_7d,0.016227121313421494
tmean_c_lag_1d,0.01613508916229951
dewpoint_c_lag_30d,0.015897377314115946
PHYS_q_in_final_equiv_m,0.015790778084048367
rh_pct_lag_7d,0.015569049459109901
vpd_kpa_lag_1d,0.01527553525053271
chirps_precip_mm_max1d_10d,0.014970037064480394
tmax_c_mean_30d,0.014835589880305547
tmax_c_mean_10d,0.01468551350285807
rh_pct_lag_14d,0.014288080054812646
tmean_c_lag_14d,0.013768539830129765
chirps_precip_mm_std_10d,0.013578331377916366
dewpoint_c_lag_14d,0.013407833922038278
dewpoint_c_lag_3d,0.013380481300853635
rh_pct_lag_30d,0.01294857257678387
wind_ms_lag_3d,0.012864575897989838
vpd_kpa_lag_7d,0.012850725361489533
vpd_kpa_lag_14d,0.012740605109211793
tmean_c_lag_30d,0.0125514576440676
rh_pct_lag_1d,0.012503374046507837
wind_ms_mean_30d,0.012482705572875391
dewpoint_c_lag_1d,0.01247222842669089
vpd_kpa_lag_30d,0.012200719147766687
sin_doy_h1,0.01192870958763879
chirps_precip_mm_sum_10d,0.011902458664840767
wind_ms_mean_90d,0.011452946576084755
sin_doy_h2,0.011328920951674292
tmean_c_lag_3d,0.011188786844255094
cos_doy_h2,0.011183498582588158
vpd_kpa_lag_3d,0.011160295271618086
tmean_c_mean_10d,0.011111419788428495
tmin_c_mean_10d,0.010733818599756851
solar_mj_m2_sum_30d,0.01073039900521855
rh_pct_lag_3d,0.010476386895090853
PHYS_delta_balance_calibrated_final_m,0.010450686612307386
wind_ms_mean_60d,0.009918959777906055
tmin_c_mean_90d,0.009646204369378068
solar_mj_m2_sum_10d,0.00934117088007601
tmax_c_mean_90d,0.00912887752985163
dewpoint_c_mean_10d,0.009106397285779146
tmax_c_mean_60d,0.008905192953277158
PHYS_p_consensus_m,0.008756832684673836
rh_pct_mean_10d,0.008719257633856777
chirps_precip_mm_max1d_60d,0.008621441790020626
vpd_kpa_mean_90d,0.00855275480970335
solar_mj_m2_sum_90d,0.008364306754583153
vpd_kpa_mean_10d,0.0081590876856368
vpd_kpa_mean_60d,0.008081679541146981
chirps_precip_mm_std_90d,0.007939611339575794
chirps_precip_mm_std_30d,0.007814040143580869
chirps_precip_mm_wetdays_90d,0.007404394583082159
chirps_precip_mm_sum_30d,0.007227433399284979
rh_pct_mean_60d,0.007156828529743215
solar_mj_m2_sum_60d,0.00714297237938641
chirps_precip_mm_max1d_30d,0.007127844870783829
dewpoint_c_mean_90d,0.007124707035341594
tmean_c_mean_90d,0.006967347995852889
chirps_precip_mm_max1d_90d,0.006960920412534066
cos_doy_h1,0.006951836826537231
vpd_kpa_mean_30d,0.006820758536411171
tmean_c_mean_30d,0.00681663864815339
rh_pct_mean_90d,0.006631892375328898
chirps_precip_mm_wetdays_60d,0.006561244795256357
tmin_c_mean_30d,0.006523989166818029
chirps_precip_mm_std_60d,0.006381858028532515
chirps_precip_mm_api_hl60d,0.0061542300387840915
chirps_precip_mm_sum_60d,0.00595135769916717
rh_pct_mean_30d,0.005868831245082416
chirps_precip_mm_sum_90d,0.005764809215507855
tmean_c_mean_60d,0.005691473552282347
chirps_precip_mm_heavy10_days_60d,0.0056629840300225776
tmin_c_mean_60d,0.005623303029592326
chirps_precip_mm_heavy10_days_30d,0.005619423214469328
dewpoint_c_mean_30d,0.005518621351892192
chirps_precip_mm_api_hl15d,0.005423014937803998
dewpoint_c_mean_60d,0.005310325719905549
chirps_precip_mm_heavy10_days_90d,0.0048750888917375515
chirps_precip_mm_api_hl7d,0.004567104105847456
chirps_precip_mm_api_hl30d,0.0043416736735880325
chirps_precip_mm_wetdays_30d,0.004150339225573091
chirps_precip_mm_heavy25_days_90d,0.0025372136475963385
chirps_precip_mm_wetdays_10d,0.0025364765953075985
days_since_previous_obs,0.0017928494813685303
chirps_precip_mm_heavy25_days_60d,0.0009639744588905297
chirps_precip_mm_heavy10_days_10d,0.0009565921115341183
chirps_precip_mm_heavy25_days_30d,0.0004026566318481721
chirps_precip_mm_heavy25_days_10d,0.00015578398288967814
