feature,mean_abs_shap_m,mean_shap_m
chirps_precip_mm_sum_10d,0.0,0.0
solar_mj_m2_sum_10d,0.0,0.0
wind_ms_lag_30d,0.0,0.0
wind_ms_lag_14d,0.0,0.0
wind_ms_lag_7d,0.0,0.0
wind_ms_lag_3d,0.0,0.0
wind_ms_lag_1d,0.0,0.0
dewpoint_c_lag_30d,0.0,0.0
dewpoint_c_lag_14d,0.0,0.0
dewpoint_c_lag_7d,0.0,0.0
dewpoint_c_lag_3d,0.0,0.0
dewpoint_c_lag_1d,0.0,0.0
tmean_c_lag_30d,0.0,0.0
tmean_c_lag_14d,0.0,0.0
tmean_c_lag_7d,0.0,0.0
tmean_c_lag_3d,0.0,0.0
tmean_c_lag_1d,0.0,0.0
chirps_precip_mm_heavy25_days_90d,0.0,0.0
chirps_precip_mm_heavy10_days_90d,0.0,0.0
chirps_precip_mm_wetdays_90d,0.0,0.0
chirps_precip_mm_std_90d,0.0,0.0
chirps_precip_mm_max1d_90d,0.0,0.0
vpd_kpa_mean_90d,0.0,0.0
rh_pct_lag_1d,0.0,0.0
rh_pct_lag_3d,0.0,0.0
rh_pct_lag_7d,0.0,0.0
sin_doy_h1,0.0,0.0
PHYS_q_in_final_equiv_m,0.0,0.0
PHYS_evap_m,0.0,0.0
PHYS_p_consensus_m,0.0,0.0
days_since_previous_obs,0.0,0.0
cos_doy_h3,0.0,0.0
sin_doy_h3,0.0,0.0
cos_doy_h2,0.0,0.0
sin_doy_h2,0.0,0.0
cos_doy_h1,0.0,0.0
chirps_precip_mm_api_hl60d,0.0,0.0
rh_pct_lag_14d,0.0,0.0
chirps_precip_mm_api_hl30d,0.0,0.0
chirps_precip_mm_api_hl15d,0.0,0.0
chirps_precip_mm_api_hl7d,0.0,0.0
vpd_kpa_lag_30d,0.0,0.0
vpd_kpa_lag_14d,0.0,0.0
vpd_kpa_lag_7d,0.0,0.0
vpd_kpa_lag_3d,0.0,0.0
vpd_kpa_lag_1d,0.0,0.0
rh_pct_lag_30d,0.0,0.0
rh_pct_mean_90d,0.0,0.0
wind_ms_mean_90d,0.0,0.0
dewpoint_c_mean_90d,0.0,0.0
chirps_precip_mm_heavy10_days_10d,0.0,0.0
rh_pct_mean_30d,0.0,0.0
wind_ms_mean_30d,0.0,0.0
dewpoint_c_mean_30d,0.0,0.0
tmax_c_mean_30d,0.0,0.0
tmin_c_mean_30d,0.0,0.0
tmean_c_mean_30d,0.0,0.0
solar_mj_m2_sum_30d,0.0,0.0
chirps_precip_mm_sum_30d,0.0,0.0
chirps_precip_mm_heavy25_days_10d,0.0,0.0
chirps_precip_mm_wetdays_10d,0.0,0.0
chirps_precip_mm_max1d_30d,0.0,0.0
chirps_precip_mm_std_10d,0.0,0.0
chirps_precip_mm_max1d_10d,0.0,0.0
vpd_kpa_mean_10d,0.0,0.0
rh_pct_mean_10d,0.0,0.0
wind_ms_mean_10d,0.0,0.0
dewpoint_c_mean_10d,0.0,0.0
tmax_c_mean_10d,0.0,0.0
tmin_c_mean_10d,0.0,0.0
tmean_c_mean_10d,0.0,0.0
vpd_kpa_mean_30d,0.0,0.0
chirps_precip_mm_std_30d,0.0,0.0
tmax_c_mean_90d,0.0,0.0
vpd_kpa_mean_60d,0.0,0.0
tmin_c_mean_90d,0.0,0.0
tmean_c_mean_90d,0.0,0.0
solar_mj_m2_sum_90d,0.0,0.0
chirps_precip_mm_sum_90d,0.0,0.0
chirps_precip_mm_heavy25_days_60d,0.0,0.0
chirps_precip_mm_heavy10_days_60d,0.0,0.0
chirps_precip_mm_wetdays_60d,0.0,0.0
chirps_precip_mm_std_60d,0.0,0.0
chirps_precip_mm_max1d_60d,0.0,0.0
rh_pct_mean_60d,0.0,0.0
chirps_precip_mm_wetdays_30d,0.0,0.0
wind_ms_mean_60d,0.0,0.0
dewpoint_c_mean_60d,0.0,0.0
tmax_c_mean_60d,0.0,0.0
tmin_c_mean_60d,0.0,0.0
tmean_c_mean_60d,0.0,0.0
solar_mj_m2_sum_60d,0.0,0.0
chirps_precip_mm_sum_60d,0.0,0.0
chirps_precip_mm_heavy25_days_30d,0.0,0.0
chirps_precip_mm_heavy10_days_30d,0.0,0.0
PHYS_delta_balance_calibrated_final_m,0.0,0.0
