number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_tpe:relative_params:0,state
0,0.9502217417632186,2026-09-14 00:48:01.097090,2026-09-14 00:48:03.101692,0 days 00:00:02.004602,14,0.4869700110586035,0.9208188474514666,2,19,500,,COMPLETE
1,0.8875393601352806,2026-09-14 00:48:03.234351,2026-09-14 00:48:05.281606,0 days 00:00:02.047255,6,0.48122614863708285,0.9817952500434661,11,24,600,,COMPLETE
2,0.9275478721685889,2026-09-14 00:48:05.373478,2026-09-14 00:48:08.572964,0 days 00:00:03.199486,8,0.8369224804492037,0.963465103132435,7,17,800,,COMPLETE
3,0.8641297080125458,2026-09-14 00:48:08.664761,2026-09-14 00:48:13.493478,0 days 00:00:04.828717,10,0.7880483618445175,0.6827565485373461,8,9,1400,,COMPLETE
4,0.8909929809139825,2026-09-14 00:48:13.588663,2026-09-14 00:48:16.201329,0 days 00:00:02.612666,4,0.6157359227554274,0.8160137856726624,9,18,800,,COMPLETE
5,0.8466529345745344,2026-09-14 00:48:16.296017,2026-09-14 00:48:20.424543,0 days 00:00:04.128526,10,0.40066008190390867,0.7038952241022448,11,4,1400,"{""max_depth"": 10, ""max_features"": 0.40066008190390867, ""max_samples"": 0.7038952241022448, ""min_samples_leaf"": 11, ""min_samples_split"": 4, ""n_estimators"": 1400}",COMPLETE
6,1.1687701802264583,2026-09-14 00:48:20.523738,2026-09-14 00:48:22.345998,0 days 00:00:01.822260,10,0.5250638505581678,0.8830460569713418,2,6,1000,"{""max_depth"": 10, ""max_features"": 0.5250638505581678, ""max_samples"": 0.8830460569713418, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 1000}",PRUNED
7,0.8271353081713534,2026-09-14 00:48:22.437344,2026-09-14 00:48:24.577575,0 days 00:00:02.140231,8,0.338050126330406,0.7333408004158052,12,4,700,"{""max_depth"": 8, ""max_features"": 0.338050126330406, ""max_samples"": 0.7333408004158052, ""min_samples_leaf"": 12, ""min_samples_split"": 4, ""n_estimators"": 700}",COMPLETE
8,0.9383464575758246,2026-09-14 00:48:24.670678,2026-09-14 00:48:25.905563,0 days 00:00:01.234885,8,0.5441670172159228,0.6572011037447368,10,8,500,"{""max_depth"": 8, ""max_features"": 0.5441670172159228, ""max_samples"": 0.6572011037447368, ""min_samples_leaf"": 10, ""min_samples_split"": 8, ""n_estimators"": 500}",PRUNED
9,0.8565140418744085,2026-09-14 00:48:25.996063,2026-09-14 00:48:28.123478,0 days 00:00:02.127415,8,0.579000214842653,0.6103914490404183,5,11,600,"{""max_depth"": 8, ""max_features"": 0.579000214842653, ""max_samples"": 0.6103914490404183, ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 600}",COMPLETE
