number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.7562565730227826,2026-09-14 00:47:32.696957,2026-09-14 00:47:33.331745,0 days 00:00:00.634788,0.49359671220172163,0.9016725176148133,0.27252399296554375,0.044803926826840625,6,4.550475813202184,600,2.3780150503717912e-06,7.5504986209563665,0.6624074561769746,,COMPLETE
1,0.5308135575343287,2026-09-14 00:47:33.463747,2026-09-14 00:47:33.785345,0 days 00:00:00.321598,0.5100427059120604,0.6479175279631737,0.05855939072248697,0.060534484680010825,6,1.094334266006264,200,9.345744384425808e-05,0.22356209648036382,0.6727299868828402,,COMPLETE
2,0.47612914126486977,2026-09-14 00:47:33.901789,2026-09-14 00:47:34.919697,0 days 00:00:01.017908,0.8711055768358081,0.8886218532930636,0.023738121231167874,0.011996621453406362,2,1.9315397754283634,900,1.9647681005457057e-05,0.20058106556780586,0.7824279936868144,,COMPLETE
3,0.6483989299093529,2026-09-14 00:47:35.054419,2026-09-14 00:47:35.784671,0 days 00:00:00.730252,0.8850384088698766,1.0263495397682354,0.10143333294303855,0.0060758085133366885,2,16.563097558837168,900,9.39767277253127e-05,0.002737095165771331,0.9862528132298237,,COMPLETE
4,0.5235185277992994,2026-09-14 00:47:35.892766,2026-09-14 00:47:36.248471,0 days 00:00:00.355705,0.7975133706123891,0.8200654190149195,0.039552862824753815,0.005542561258655853,4,14.313829500644555,300,0.00010446972133751495,0.21301372721189435,0.7035119926400067,,COMPLETE
5,0.6815733475571767,2026-09-14 00:47:36.352409,2026-09-14 00:47:37.403798,0 days 00:00:01.051389,0.9531245410138701,0.0678409333658071,0.06640926942455805,0.08342309693146736,5,13.568664419006934,1400,3.7426280304822406e-06,0.007541175343530674,0.8391599915244341,,COMPLETE
6,0.796358170097954,2026-09-14 00:47:37.520247,2026-09-14 00:47:38.266166,0 days 00:00:00.745919,0.7256176498949491,0.11182596551965623,0.7622230409479378,0.05986629236379361,3,1.8642761165079123,700,8.180564870796601e-06,3.9042098517777197,0.7123738038749523,,COMPLETE
7,0.6988336021013779,2026-09-14 00:47:38.393365,2026-09-14 00:47:38.924295,0 days 00:00:00.530930,0.7422688323564249,0.3627942041302564,0.10004936246888281,0.021734199267948513,3,0.9810712096843889,1300,2.340302326181559e-05,0.008724336507931712,0.8003655460928483,"{""colsample_bytree"": 0.7422688323564249, ""gamma"": 0.3627942041302564, ""huber_slope"": 0.10004936246888281, ""learning_rate"": 0.021734199267948513, ""max_depth"": 3, ""min_child_weight"": 0.9810712096843889, ""n_estimators"": 1300, ""reg_alpha"": 2.340302326181559e-05, ""reg_lambda"": 0.008724336507931712, ""subsample"": 0.8003655460928483}",PRUNED
8,0.5796611129212613,2026-09-14 00:47:39.050293,2026-09-14 00:47:39.484909,0 days 00:00:00.434616,0.8723415409787558,0.02339219948768445,0.02222808074226625,0.0072684745753281415,3,1.8619082407363663,700,3.237780630707602e-06,1.245474897496745,0.9322694568091301,"{""colsample_bytree"": 0.8723415409787558, ""gamma"": 0.02339219948768445, ""huber_slope"": 0.02222808074226625, ""learning_rate"": 0.0072684745753281415, ""max_depth"": 3, ""min_child_weight"": 1.8619082407363663, ""n_estimators"": 700, ""reg_alpha"": 3.237780630707602e-06, ""reg_lambda"": 1.245474897496745, ""subsample"": 0.9322694568091301}",PRUNED
9,0.5346325661913492,2026-09-14 00:47:39.605970,2026-09-14 00:47:40.108651,0 days 00:00:00.502681,0.9218732511796511,0.7386491223594253,0.03955043761603788,0.020076522227873806,2,2.3016722908905125,400,2.887818519364705e-06,0.054772329774647674,0.6468445663259459,"{""colsample_bytree"": 0.9218732511796511, ""gamma"": 0.7386491223594253, ""huber_slope"": 0.03955043761603788, ""learning_rate"": 0.020076522227873806, ""max_depth"": 2, ""min_child_weight"": 2.3016722908905125, ""n_estimators"": 400, ""reg_alpha"": 2.887818519364705e-06, ""reg_lambda"": 0.054772329774647674, ""subsample"": 0.6468445663259459}",COMPLETE
10,0.6763700888254618,2026-09-14 00:47:40.211576,2026-09-14 00:47:40.460265,0 days 00:00:00.248689,0.6724721673851469,1.337813295032867,0.22253531873056642,0.00544818322296675,2,4.466987795633972,400,8.567474768400398e-06,0.023021275110505408,0.8445766289931147,"{""colsample_bytree"": 0.6724721673851469, ""gamma"": 1.337813295032867, ""huber_slope"": 0.22253531873056642, ""learning_rate"": 0.00544818322296675, ""max_depth"": 2, ""min_child_weight"": 4.466987795633972, ""n_estimators"": 400, ""reg_alpha"": 8.567474768400398e-06, ""reg_lambda"": 0.023021275110505408, ""subsample"": 0.8445766289931147}",PRUNED
11,0.5230041876650299,2026-09-14 00:47:40.585715,2026-09-14 00:47:41.475579,0 days 00:00:00.889864,0.9765034550292614,0.9509643708801102,0.038704421369245054,0.010255955286453743,4,2.1117748690636127,1000,1.8422642298014794e-06,0.2843091644328124,0.8387224488146036,"{""colsample_bytree"": 0.9765034550292614, ""gamma"": 0.9509643708801102, ""huber_slope"": 0.038704421369245054, ""learning_rate"": 0.010255955286453743, ""max_depth"": 4, ""min_child_weight"": 2.1117748690636127, ""n_estimators"": 1000, ""reg_alpha"": 1.8422642298014794e-06, ""reg_lambda"": 0.2843091644328124, ""subsample"": 0.8387224488146036}",COMPLETE
12,0.5480756100432972,2026-09-14 00:47:41.594593,2026-09-14 00:47:42.517123,0 days 00:00:00.922530,0.9489022297986309,0.6251996336763361,0.04843353738132002,0.00565644057023598,4,2.409507108984399,1000,7.930290125640809e-06,0.298209819769691,0.8261432522786589,"{""colsample_bytree"": 0.9489022297986309, ""gamma"": 0.6251996336763361, ""huber_slope"": 0.04843353738132002, ""learning_rate"": 0.00565644057023598, ""max_depth"": 4, ""min_child_weight"": 2.409507108984399, ""n_estimators"": 1000, ""reg_alpha"": 7.930290125640809e-06, ""reg_lambda"": 0.298209819769691, ""subsample"": 0.8261432522786589}",COMPLETE
13,0.5197608494684435,2026-09-14 00:47:42.640395,2026-09-14 00:47:43.869552,0 days 00:00:01.229157,0.8983995341863013,0.7383173846704529,0.03605297088689844,0.013017111742161162,2,1.3077412259885732,1200,1.5689958742618837e-06,0.12695906183239294,0.8598069922724652,"{""colsample_bytree"": 0.8983995341863013, ""gamma"": 0.7383173846704529, ""huber_slope"": 0.03605297088689844, ""learning_rate"": 0.013017111742161162, ""max_depth"": 2, ""min_child_weight"": 1.3077412259885732, ""n_estimators"": 1200, ""reg_alpha"": 1.5689958742618837e-06, ""reg_lambda"": 0.12695906183239294, ""subsample"": 0.8598069922724652}",COMPLETE
