model,scenario,horizon,level_mean_m,level_end_m,change_mean_vs_anchor_m,change_end_vs_anchor_m,cum_P_end_m,cum_E_end_m,cum_Q_end_m,cum_S_end_m
ACCESS-CM2,ssp245,2030,1551.2545972240346,1551.2074137951204,-1.5154027759654127,-1.562586204879608,-0.9761445394592285,0.0004685898560410377,-0.7193273676783832,0.13241711240192763
ACCESS-CM2,ssp245,2050,1550.2677168108828,1550.2407904750394,-2.502283189117179,-2.5292095249606064,0.6892057054371221,-0.02749540631843045,-3.323336936481312,0.13241711240194207
ACCESS-CM2,ssp245,2090,1546.7599403397621,1547.0611408630418,-6.010059660237857,-5.708859136958154,2.812560726936722,0.24166462160613367,-8.895501597902998,0.13241711240197093
ACCESS-CM2,ssp585,2030,1553.1359075694209,1553.4014430534967,0.36590756942086955,0.6314430534966959,0.8894997895663612,0.08037142797184145,-0.4708452764433214,0.13241711240192763
ACCESS-CM2,ssp585,2050,1547.4312454560638,1547.3270016096424,-5.3387545439361475,-5.442998390357616,-1.6628885480483349,-0.1683778196912796,-3.7441491350198257,0.13241711240194207
ACCESS-CM2,ssp585,2090,1533.5325755527201,1533.4438849879934,-19.237424447279864,-19.32611501200654,-9.387385499023917,1.173774300274834,-11.244920925659166,0.13241711240197093
ACCESS-ESM1-5,ssp245,2030,1551.2548563572514,1551.5021128628443,-1.515143642748626,-1.2678871371556397,-0.8813002223665415,0.0774385338564376,-0.5964425610475577,0.13241711240192763
ACCESS-ESM1-5,ssp245,2050,1548.2452931397581,1548.3880218003726,-4.524706860241849,-4.381978199627383,-1.558057768152467,0.17485027616255175,-3.1311878200394068,0.13241711240194207
ACCESS-ESM1-5,ssp245,2090,1539.4009004550326,1539.3339451055135,-13.369099544967412,-13.43605489448646,-5.852711611065399,1.362526480542889,-9.078286876365905,0.13241711240197093
ACCESS-ESM1-5,ssp585,2030,1552.4113809448538,1552.483221618175,-0.3586190551461641,-0.28677838182488813,0.042901638666235385,0.0803525157507228,-0.5424496486437926,0.13241711240192763
ACCESS-ESM1-5,ssp585,2050,1549.9277324852137,1549.8997663531045,-2.842267514786272,-2.8702336468954854,-0.4893785294894982,0.4518074294559778,-2.9650796592637643,0.13241711240194207
ACCESS-ESM1-5,ssp585,2090,1523.6846648594712,1523.275218664391,-29.08533514052874,-29.494781335608877,-23.38964235422915,5.5377410964827085,-11.775297190264316,0.13241711240197093
CMCC-ESM2,ssp245,2030,1554.4366875479195,1554.500534091574,1.6666875479195369,1.7305340915740999,1.3412549834419814,-0.02425738260616997,0.28111937833641204,0.13241711240192763
CMCC-ESM2,ssp245,2050,1550.3365020596582,1550.3904512015029,-2.4334979403417947,-2.379548798497126,-0.09347190823487479,-0.008034271153091984,-2.4104597315110823,0.13241711240194207
CMCC-ESM2,ssp245,2090,1547.7036953046982,1547.8625119510532,-5.066304695301824,-4.907488048946789,2.1412928710343344,1.0516227167500352,-8.232820749133069,0.13241711240197093
