year,water_both_km2,exposed_both_km2,scenario_difference_km2,uncertain_km2
2027,111.09320000000001,0.3004,1.6276000000000002,9.002
2028,111.09280000000001,1.9280000000000002,0.0004,9.002
2029,111.0912,1.9300000000000002,0.0,9.002
2030,111.0912,1.9292,0.0008,9.002
2031,111.08840000000001,1.9320000000000002,0.0008,9.002
2032,111.08840000000001,1.9320000000000002,0.0008,9.002
2033,111.08840000000001,1.9320000000000002,0.0008,9.002
2034,111.08760000000001,1.9308,0.0028,9.002
2035,111.0852,1.9328,0.0032,9.002
2036,111.086,1.9320000000000002,0.0032,9.002
2037,111.08640000000001,1.9332,0.0016,9.002
2038,111.0848,1.9336,0.0028,9.002
2039,111.08120000000001,1.9332,0.0068000000000000005,9.002
2040,111.08040000000001,1.9320000000000002,0.0088,9.002
2041,111.08040000000001,1.9320000000000002,0.0088,9.002
2042,111.08040000000001,1.9332,0.0076,9.002
2043,111.0788,1.9336,0.0088,9.002
2044,111.0768,1.9380000000000002,0.0064,9.002
2045,111.0772,1.9420000000000002,0.002,9.002
2046,111.0784,1.9420000000000002,0.0008,9.002
2047,111.07440000000001,1.9412,0.0056,9.002
2048,111.06920000000001,1.9412,0.0108,9.002
2049,111.06840000000001,1.9420000000000002,0.0108,9.002
2050,111.066,1.9420000000000002,0.0132,9.002
