scenario,year,level_p05_m,level_p50_m,level_p95_m,n_models,level_source,delta_p50_vs_2026_m,uncertainty_width_p95_p05_m
ssp245,2027,1552.3277500864735,1552.6965004835279,1553.0526733481463,15,annual_mean_by_model_then_ensemble_quantile,-0.07349951647211128,0.7249232616727568
ssp245,2028,1551.892399069565,1552.5049073808239,1553.670280854123,15,annual_mean_by_model_then_ensemble_quantile,-0.26509261917613003,1.7778817845578487
ssp245,2029,1551.5230823389093,1552.2687240565365,1553.9705514004397,15,annual_mean_by_model_then_ensemble_quantile,-0.5012759434634972,2.4474690615304553
ssp245,2030,1551.225733575015,1552.348610031073,1554.0239062558508,15,frozen_key_horizon,-0.42138996892708747,2.7981726808357053
ssp245,2031,1550.9178233722266,1551.9765067065928,1554.1620761793508,15,annual_mean_by_model_then_ensemble_quantile,-0.7934932934072094,3.2442528071242123
ssp245,2032,1550.3412407690214,1551.867939966115,1554.2599473416324,15,annual_mean_by_model_then_ensemble_quantile,-0.9020600338849363,3.918706572610972
ssp245,2033,1549.9270711604963,1552.0102947151895,1554.4746903708356,15,annual_mean_by_model_then_ensemble_quantile,-0.7597052848104795,4.547619210339235
ssp245,2034,1549.6991073661743,1552.1834287818324,1554.8488869626015,15,annual_mean_by_model_then_ensemble_quantile,-0.5865712181675917,5.149779596427152
ssp245,2035,1549.3559018331935,1551.8864238677027,1554.8325172406117,15,annual_mean_by_model_then_ensemble_quantile,-0.8835761322973212,5.476615407418194
ssp245,2036,1548.8689709239945,1551.9329422315413,1554.5687726579345,15,annual_mean_by_model_then_ensemble_quantile,-0.8370577684586351,5.699801733939921
ssp245,2037,1548.6882336898589,1551.682542192588,1553.9707207530732,15,annual_mean_by_model_then_ensemble_quantile,-1.0874578074119654,5.282487063214376
ssp245,2038,1548.4087922546933,1551.484400732945,1553.6041535572924,15,annual_mean_by_model_then_ensemble_quantile,-1.2855992670549767,5.195361302599167
ssp245,2039,1548.3802690713596,1551.8018483396274,1553.372506668381,15,annual_mean_by_model_then_ensemble_quantile,-0.9681516603725413,4.992237597021358
ssp245,2040,1548.1254747549337,1551.9762826163985,1553.3052090482872,15,annual_mean_by_model_then_ensemble_quantile,-0.7937173836014608,5.1797342933534765
ssp245,2041,1547.6494801749525,1551.9970629971529,1553.1553298099643,15,annual_mean_by_model_then_ensemble_quantile,-0.7729370028471294,5.505849635011828
ssp245,2042,1547.5370917059274,1551.7881373752164,1553.1888542553704,15,annual_mean_by_model_then_ensemble_quantile,-0.9818626247836164,5.651762549442992
ssp245,2043,1547.4439074296738,1551.4696517889674,1552.9972104096416,15,annual_mean_by_model_then_ensemble_quantile,-1.3003482110325422,5.553302979967839
ssp245,2044,1547.326490550171,1550.923551373627,1553.1970424234676,15,annual_mean_by_model_then_ensemble_quantile,-1.8464486263728759,5.870551873296563
ssp245,2045,1546.9381659675557,1550.4192709859988,1552.9020340563025,15,annual_mean_by_model_then_ensemble_quantile,-2.3507290140012174,5.963868088746722
ssp245,2046,1546.3992905333644,1550.3414030420836,1552.7105489321148,15,annual_mean_by_model_then_ensemble_quantile,-2.4285969579163975,6.311258398750397
ssp245,2047,1545.765757806312,1550.5441575885502,1552.4788485906524,15,annual_mean_by_model_then_ensemble_quantile,-2.2258424114497757,6.713090784340466
ssp245,2048,1545.2011119980473,1550.513262074261,1552.1396144073633,15,annual_mean_by_model_then_ensemble_quantile,-2.2567379257388893,6.9385024093160155
ssp245,2049,1544.6395477956394,1550.3948263365642,1551.835664856604,15,annual_mean_by_model_then_ensemble_quantile,-2.3751736634358167,7.196117060964525
ssp245,2050,1544.4745564340274,1550.3365020596582,1551.839102663566,15,frozen_key_horizon,-2.4334979403417947,7.364546229538746
ssp585,2027,1552.3877247201249,1552.5389676323387,1553.1394832993035,15,annual_mean_by_model_then_ensemble_quantile,-0.23103236766132795,0.7517585791786132
ssp585,2028,1551.954062268825,1552.4678015484399,1553.4080698925268,15,annual_mean_by_model_then_ensemble_quantile,-0.30219845156011615,1.4540076237017274
ssp585,2029,1551.3099426927186,1552.2156457172698,1553.4846315329983,15,annual_mean_by_model_then_ensemble_quantile,-0.5543542827301735,2.174688840279714
ssp585,2030,1550.764842172001,1552.293234566714,1553.5025736984253,15,frozen_key_horizon,-0.47676543328589105,2.7377315264243407
ssp585,2031,1550.3762595202015,1551.9063293243737,1553.964101115317,15,annual_mean_by_model_then_ensemble_quantile,-0.8636706756262811,3.5878415951153784
ssp585,2032,1550.2077442608709,1551.9883216242044,1553.5430352340065,15,annual_mean_by_model_then_ensemble_quantile,-0.7816783757955363,3.3352909731356704
ssp585,2033,1550.3001179071077,1551.8711304955589,1553.4143366816945,15,annual_mean_by_model_then_ensemble_quantile,-0.8988695044411088,3.1142187745867886
ssp585,2034,1550.177340037265,1551.5137072806656,1553.3700472385317,15,annual_mean_by_model_then_ensemble_quantile,-1.2562927193343967,3.192707201266785
ssp585,2035,1549.4745577241883,1551.1684489573454,1553.2306297574708,15,annual_mean_by_model_then_ensemble_quantile,-1.6015510426545916,3.7560720332824076
ssp585,2036,1549.0183722703823,1551.2288179651096,1553.1716708637803,15,annual_mean_by_model_then_ensemble_quantile,-1.5411820348904257,4.153298593397949
ssp585,2037,1548.3930286044006,1551.2999435227625,1553.4649726433042,15,annual_mean_by_model_then_ensemble_quantile,-1.4700564772374491,5.071944038903666
ssp585,2038,1547.884761131407,1551.1475521115228,1553.3116241708342,15,annual_mean_by_model_then_ensemble_quantile,-1.6224478884771543,5.4268630394271895
ssp585,2039,1547.0999325260236,1550.6712574932342,1553.124478795462,15,annual_mean_by_model_then_ensemble_quantile,-2.0987425067658023,6.0245462694383605
ssp585,2040,1546.6814411096625,1550.6063408074613,1552.890274372264,15,annual_mean_by_model_then_ensemble_quantile,-2.1636591925387165,6.208833262601502
ssp585,2041,1546.2070951370133,1550.6109421316078,1552.6909413787625,15,annual_mean_by_model_then_ensemble_quantile,-2.1590578683922104,6.483846241749234
ssp585,2042,1546.0241438312987,1550.6437389354592,1552.7683316636956,15,annual_mean_by_model_then_ensemble_quantile,-2.126261064540813,6.744187832396847
ssp585,2043,1545.5651099633405,1550.1845852652673,1552.6474528253577,15,annual_mean_by_model_then_ensemble_quantile,-2.5854147347326943,7.082342862017185
ssp585,2044,1544.5010159694618,1549.716859646231,1552.6185267779988,15,annual_mean_by_model_then_ensemble_quantile,-3.053140353769095,8.117510808536963
ssp585,2045,1543.9260717700986,1549.765100322435,1552.5624899932377,15,annual_mean_by_model_then_ensemble_quantile,-3.0048996775649357,8.636418223139117
ssp585,2046,1543.1906089772012,1550.004914026328,1552.522131031842,15,annual_mean_by_model_then_ensemble_quantile,-2.7650859736720577,9.3315220546408
ssp585,2047,1542.4390140938908,1549.3500969301422,1552.4610403201702,15,annual_mean_by_model_then_ensemble_quantile,-3.41990306985781,10.022026226279422
ssp585,2048,1541.4935342138913,1548.724806617491,1552.5041707401379,15,annual_mean_by_model_then_ensemble_quantile,-4.045193382509069,11.010636526246572
ssp585,2049,1540.5321694023535,1548.4058549383956,1552.6238829449035,15,annual_mean_by_model_then_ensemble_quantile,-4.364145061604404,12.091713542549996
ssp585,2050,1540.105100681882,1548.1447400878528,1552.8101514045268,15,frozen_key_horizon,-4.625259912147158,12.705050722644728
