horizon,requested_lead_days,origin_position,target_position,origin_date,target_date,actual_lead_days,origin_level_m,observed_level_m,physical_level_m,frozen_level_m,interval_weight
1obs,,0,0,2024-01-10 22:18:00,2024-01-20 20:16:00,9.915277777777778,1553.9,1554.22,1553.8474188002906,1553.9,0.8294657312466271
1obs,,1,1,2024-01-20 20:16:00,2024-01-30 18:15:00,9.915972222222223,1554.22,1554.2,1554.1722715184537,1554.22,1.624306472919419
1obs,,2,2,2024-01-30 18:15:00,2024-02-09 16:13:00,9.915277777777778,1554.2,1554.11,1554.1521329728512,1554.2,1.624306472919419
1obs,,3,3,2024-02-09 16:13:00,2024-02-19 14:12:00,9.915972222222223,1554.11,1554.16,1554.0648704022365,1554.11,1.624306472919419
1obs,,4,4,2024-02-19 14:12:00,2024-02-29 12:10:00,9.915277777777778,1554.16,1554.0,1554.1042088455952,1554.16,1.446588235294117
1obs,,5,5,2024-02-29 12:10:00,2024-03-10 10:09:00,9.915972222222223,1554.0,1553.76,1553.9586285333571,1554.0,1.229108356657337
1obs,,6,6,2024-03-10 10:09:00,2024-03-20 08:07:00,9.915277777777778,1553.76,1553.68,1553.7141392703695,1553.76,1.229108356657337
1obs,,7,7,2024-03-20 08:07:00,2024-03-30 06:06:00,9.915972222222223,1553.68,1553.6,1553.6325632696655,1553.68,1.361080363072836
1obs,,8,8,2024-03-30 06:06:00,2024-04-09 04:04:00,9.915277777777778,1553.6,1553.48,1553.5601437634039,1553.6,0.809799789251844
1obs,,9,9,2024-04-09 04:04:00,2024-04-19 02:03:00,9.915972222222223,1553.48,1553.51,1553.4152421494412,1553.48,0.6863905325443787
1obs,,10,10,2024-04-19 02:03:00,2024-04-29 00:01:00,9.915277777777778,1553.51,1553.57,1553.484909325165,1553.51,1.1166000726480205
1obs,,11,11,2024-04-29 00:01:00,2024-05-08 22:00:00,9.915972222222223,1553.57,1553.53,1553.5093684771757,1553.57,1.2442825339000203
1obs,,12,12,2024-05-08 22:00:00,2024-05-18 19:58:00,9.915277777777778,1553.53,1553.87,1553.50775536059,1553.53,1.2442825339000203
1obs,,13,13,2024-05-18 19:58:00,2024-05-28 17:57:00,9.915972222222223,1553.87,1553.72,1553.8114741419574,1553.87,1.5180246913580246
1obs,,14,14,2024-05-28 17:57:00,2024-06-07 15:55:00,9.915277777777778,1553.72,1553.6,1553.7195451052382,1553.72,1.5521332996718
1obs,,15,15,2024-06-07 15:55:00,2024-06-17 13:54:00,9.915972222222223,1553.6,1553.5,1553.8804629340561,1553.6,1.110549132947977
1obs,,16,16,2024-06-17 13:54:00,2024-06-27 11:53:00,9.915972222222223,1553.5,1553.81,1553.742500831353,1553.5,1.0755773268019597
1obs,,17,17,2024-06-27 11:53:00,2024-07-07 09:51:00,9.915277777777778,1553.81,1553.72,1553.8917879103296,1553.81,1.361080363072836
1obs,,18,18,2024-07-07 09:51:00,2024-07-17 07:50:00,9.915972222222223,1553.72,1553.67,1553.7212610984725,1553.72,0.7518649871591047
1obs,,19,19,2024-07-17 07:50:00,2024-07-27 05:48:00,9.915277777777778,1553.67,1553.72,1553.653473787065,1553.67,0.6726477024070019
1obs,,20,20,2024-07-27 05:48:00,2024-08-06 03:47:00,9.915972222222223,1553.72,1554.05,1553.725690763954,1553.72,1.1031760272743585
1obs,,21,21,2024-08-06 03:47:00,2024-08-16 01:45:00,9.915277777777778,1554.05,1553.9,1554.0360922142156,1554.05,1.4215028901734106
1obs,,22,22,2024-08-16 01:45:00,2024-08-25 23:44:00,9.915972222222223,1553.9,1554.0,1553.8674663962172,1553.9,1.3318890814558055
1obs,,23,23,2024-08-25 23:44:00,2024-09-04 21:42:00,9.915277777777778,1554.0,1553.93,1554.0501033308722,1554.0,1.1813989239046885
1obs,,24,24,2024-09-04 21:42:00,2024-10-04 15:38:00,29.747222222222224,1553.93,1554.24,1554.1278615852511,1553.93,1.3503184713375795
1obs,,25,25,2024-10-04 15:38:00,2024-10-14 13:36:00,9.915277777777778,1554.24,1554.21,1554.247709544964,1554.24,1.624306472919419
1obs,,26,26,2024-10-14 13:36:00,2024-10-24 11:35:00,9.915972222222223,1554.21,1553.87,1554.2845636987236,1554.21,0.8634831460674157
1obs,,27,27,2024-10-24 11:35:00,2024-11-03 09:33:00,9.915277777777778,1553.87,1553.76,1553.8483817484077,1553.87,0.5929783950617283
1obs,,28,28,2024-11-03 09:33:00,2024-11-13 07:32:00,9.915972222222223,1553.76,1553.77,1553.7345415803377,1553.76,0.4269444444444444
1obs,,29,29,2024-11-13 07:32:00,2024-11-23 05:30:00,9.915277777777778,1553.77,1554.07,1553.8168862897626,1553.77,0.5556258472661545
1obs,,30,30,2024-11-23 05:30:00,2024-12-03 03:29:00,9.915972222222223,1554.07,1554.13,1554.0025609708453,1554.07,1.624306472919419
1obs,,31,31,2024-12-03 03:29:00,2024-12-13 01:27:00,9.915277777777778,1554.13,1554.23,1554.064228741875,1554.13,1.624306472919419
1obs,,32,32,2024-12-13 01:27:00,2024-12-22 23:26:00,9.915972222222223,1554.23,1553.87,1554.1697257887788,1554.23,1.5150320354854612
1obs,,33,33,2024-12-22 23:26:00,2025-01-01 21:25:00,9.915972222222223,1553.87,1553.94,1553.8487960560835,1553.87,1.1031760272743585
1obs,,34,34,2025-01-01 21:25:00,2025-01-11 19:23:00,9.915277777777778,1553.94,1554.02,1553.8850813756817,1553.94,1.121897810218978
1obs,,35,35,2025-01-11 19:23:00,2025-01-21 17:22:00,9.915972222222223,1554.02,1553.99,1553.9563071397642,1554.02,1.452741020793951
1obs,,36,36,2025-01-21 17:22:00,2025-01-31 15:20:00,9.915277777777778,1553.99,1553.86,1553.935755746423,1553.99,1.5505674653215638
1obs,,37,37,2025-01-31 15:20:00,2025-02-10 13:19:00,9.915972222222223,1553.86,1553.64,1553.812937365039,1553.86,1.5869901910170363
1obs,,38,38,2025-02-10 13:19:00,2025-02-20 11:17:00,9.915277777777778,1553.64,1553.62,1553.6102850605625,1553.64,1.5180246913580246
1obs,,39,39,2025-02-20 11:17:00,2025-03-02 09:16:00,9.915972222222223,1553.62,1553.46,1553.565124087836,1553.62,1.0475379110581022
1obs,,40,40,2025-03-02 09:16:00,2025-03-12 07:14:00,9.915277777777778,1553.46,1553.66,1553.4007389877445,1553.46,1.0
1obs,,41,41,2025-03-12 07:14:00,2025-04-01 03:11:00,19.83125,1553.66,1553.21,1553.5667712670815,1553.66,1.279766860949209
1obs,,42,42,2025-04-01 03:11:00,2025-04-11 01:10:00,9.915972222222223,1553.21,1553.43,1553.1739704212066,1553.21,1.4136583122556907
1obs,,43,43,2025-04-11 01:10:00,2025-04-20 23:08:00,9.915277777777778,1553.43,1553.3,1553.3718762202143,1553.43,1.3815730337078653
1obs,,44,44,2025-04-20 23:08:00,2025-04-30 21:07:00,9.915972222222223,1553.3,1553.36,1553.2539461227157,1553.3,1.329009943795936
1obs,,45,45,2025-04-30 21:07:00,2025-05-10 19:05:00,9.915277777777778,1553.36,1553.41,1553.3406052989105,1553.36,1.1166000726480205
1obs,,46,46,2025-05-10 19:05:00,2025-05-20 17:04:00,9.915972222222223,1553.41,1553.21,1553.3690108031283,1553.41,0.9291219585915067
1obs,,47,47,2025-05-20 17:04:00,2025-05-30 15:02:00,9.915277777777778,1553.21,1553.36,1553.1641757788934,1553.21,1.2332998996990976
1obs,,48,48,2025-05-30 15:02:00,2025-06-09 13:01:00,9.915972222222223,1553.36,1553.39,1553.4263491814133,1553.36,1.5869901910170363
1obs,,49,49,2025-06-09 13:01:00,2025-06-19 10:59:00,9.915277777777778,1553.39,1553.49,1553.4888747486727,1553.39,1.5521332996718
1obs,,50,50,2025-06-19 10:59:00,2025-06-29 08:58:00,9.915972222222223,1553.49,1553.41,1553.5663057539157,1553.49,1.5521332996718
1obs,,51,51,2025-06-29 08:58:00,2025-07-09 06:57:00,9.915972222222223,1553.41,1553.49,1553.3706247177147,1553.41,1.5180246913580246
1obs,,52,52,2025-07-09 06:57:00,2025-07-19 04:55:00,9.915277777777778,1553.49,1553.31,1553.4058869957382,1553.49,1.4520547945205475
1obs,,53,53,2025-07-19 04:55:00,2025-07-29 02:54:00,9.915972222222223,1553.31,1553.31,1553.2693261264758,1553.31,1.4215028901734106
1obs,,54,54,2025-07-29 02:54:00,2025-08-08 00:52:00,9.915277777777778,1553.31,1553.24,1553.2802850595228,1553.31,1.452741020793951
1obs,,55,55,2025-08-08 00:52:00,2025-08-17 22:51:00,9.915972222222223,1553.24,1553.28,1553.2132930925259,1553.24,1.452741020793951
1obs,,56,56,2025-08-17 22:51:00,2025-08-27 20:49:00,9.915277777777778,1553.28,1553.44,1553.2466332584877,1553.28,1.5172754195459033
1obs,,57,57,2025-08-27 20:49:00,2025-09-06 18:48:00,9.915972222222223,1553.44,1553.31,1553.4591748515104,1553.44,1.483232810615199
1obs,,58,58,2025-09-06 18:48:00,2025-09-16 16:46:00,9.915277777777778,1553.31,1553.52,1553.4013918098494,1553.31,1.483232810615199
1obs,,59,59,2025-09-16 16:46:00,2025-09-26 14:45:00,9.915972222222223,1553.52,1553.64,1553.6279947518792,1553.52,1.624306472919419
1obs,,60,60,2025-09-26 14:45:00,2025-10-06 12:43:00,9.915277777777778,1553.64,1553.56,1553.7260355227015,1553.64,1.5505674653215638
1obs,,61,61,2025-10-06 12:43:00,2025-10-16 10:42:00,9.915972222222223,1553.56,1553.73,1553.621796111316,1553.56,1.4846655397247046
1obs,,62,62,2025-10-16 10:42:00,2025-10-26 08:40:00,9.915277777777778,1553.73,1553.57,1553.7724700038466,1553.73,1.358674033149171
1obs,,63,63,2025-10-26 08:40:00,2025-11-05 06:39:00,9.915972222222223,1553.57,1553.51,1553.5278266919993,1553.57,1.254437869822485
1obs,,64,64,2025-11-05 06:39:00,2025-11-15 04:37:00,9.915277777777778,1553.51,1553.47,1553.4562631671715,1553.51,1.204309500489716
1obs,,65,65,2025-11-15 04:37:00,2025-11-25 02:36:00,9.915972222222223,1553.47,1553.47,1553.4287072945458,1553.47,1.325
1obs,,66,66,2025-11-25 02:36:00,2025-12-05 00:34:00,9.915277777777778,1553.47,1553.28,1553.4058166025327,1553.47,0.997889952929719
1obs,,67,67,2025-12-05 00:34:00,2025-12-14 22:33:00,9.915972222222223,1553.28,1553.61,1553.237376248025,1553.28,0.997889952929719
1obs,,68,68,2025-12-14 22:33:00,2025-12-24 20:32:00,9.915972222222223,1553.61,1553.63,1553.606521690043,1553.61,1.5521332996718
1obs,,69,69,2025-12-24 20:32:00,2026-01-03 18:30:00,9.915277777777778,1553.63,1553.58,1553.5755262438674,1553.63,1.5180246913580246
1obs,,70,70,2026-01-03 18:30:00,2026-01-13 16:29:00,9.915972222222223,1553.58,1553.56,1553.5160618556529,1553.58,1.4846655397247046
1obs,,71,71,2026-01-13 16:29:00,2026-01-23 14:27:00,9.915277777777778,1553.56,1553.34,1553.5012846910788,1553.56,1.5172754195459033
1obs,,72,72,2026-01-23 14:27:00,2026-02-02 12:26:00,9.915972222222223,1553.34,1553.14,1553.2925735422082,1553.34,1.5172754195459033
1obs,,73,73,2026-02-02 12:26:00,2026-02-12 10:24:00,9.915277777777778,1553.14,1552.95,1553.0834909617804,1553.14,1.303370786516854
1obs,,74,74,2026-02-12 10:24:00,2026-02-22 08:23:00,9.915972222222223,1552.95,1552.84,1552.8995081363303,1552.95,0.8045014394137662
1obs,,75,75,2026-02-22 08:23:00,2026-03-04 06:21:00,9.915277777777778,1552.84,1552.8,1552.7963035037383,1552.84,0.8590191420986445
1obs,,76,76,2026-03-04 06:21:00,2026-03-14 04:20:00,9.915972222222223,1552.8,1552.76,1552.7542601264174,1552.8,1.303370786516854
1obs,,77,77,2026-03-14 04:20:00,2026-04-03 00:17:00,19.83125,1552.76,1552.96,1552.7248547832376,1552.76,1.329009943795936
1obs,,78,78,2026-04-03 00:17:00,2026-04-12 22:15:00,9.915277777777778,1552.96,1552.92,1552.908577541933,1552.96,1.5180246913580246
1obs,,79,79,2026-04-12 22:15:00,2026-04-22 20:14:00,9.915972222222223,1552.92,1552.7,1552.8615360182796,1552.92,0.9634853471242751
