parameter,factor,parameter_value,weighted_MAE_m,weighted_bias_m,R2,skill_vs_frozen,final_level_m
precip_scale,0.8,1.0230524293219057,0.7209487437048365,-0.7209487437048365,-2.025099988111729,-0.42840148783301824,1551.167402241083
precip_scale,0.9,1.1509339829871437,0.4177723442703887,-0.4147025286102569,-0.012605333306659805,0.17227591650312235,1551.7291639139448
precip_scale,1.0,1.278815536652382,0.16278604070782676,-0.10845631351480206,0.7962552613300076,0.6774752369348693,1552.2909255868074
precip_scale,1.1,1.4066970903176201,0.29208955839032674,0.19778990157901188,0.401481795796935,0.42128873456218074,1552.8526872596674
precip_scale,1.2,1.5345786439828581,0.592756416701367,0.5040361166745235,-1.1969257299098914,-0.17441656557688123,1553.4144489325306
evap_scale,0.8,1.8185570982793289,0.7486979772688183,0.6834703061306873,-2.6315018716227336,-0.4833804955018981,1553.8615664694419
evap_scale,0.9,2.045876735564245,0.3689812520665689,0.287506996307968,0.08450849535410943,0.2689447425541839,1553.0762460281244
evap_scale,1.0,2.273196372849161,0.16278604070782676,-0.10845631351480206,0.7962552613300076,0.6774752369348693,1552.2909255868074
evap_scale,1.1,2.5005160101340773,0.5068395438779103,-0.5044196233379102,-0.4962615736962228,-0.004191164613799536,1551.5056051454894
evap_scale,1.2,2.727835647418993,0.9003829331615967,-0.9003829331615967,-3.793042009731293,-0.7839108987670655,1550.7202847041708
qin_scale,0.8,0.6065772969595461,0.2235826537862593,-0.20596803033889802,0.6688657568249822,0.5570201098058937,1552.114711023716
qin_scale,0.9,0.6823994590794894,0.18612106163933564,-0.15721217192643072,0.7476169161290653,0.6312420214556448,1552.2028183052623
qin_scale,1.0,0.7582216211994326,0.16278604070782676,-0.10845631351480206,0.7962552613300076,0.6774752369348693,1552.2909255868074
qin_scale,1.1,0.8340437833193759,0.14976154087533297,-0.05970045510260627,0.8147807924297725,0.7032804208698756,1552.3790328683538
qin_scale,1.2,0.9098659454393191,0.15100022167131538,-0.010944596691691977,0.8031935094278104,0.7008262471059556,1552.4671401498977
net_unresolved_m_per_day,0.8,-0.00021173212660193874,0.15424547876431846,-0.08188934113550377,0.8112366189469165,0.6943964834084353,1552.3418374956257
net_unresolved_m_per_day,0.9,-0.00023819864242718107,0.15817357319609843,-0.09517282732544854,0.8048556283845085,0.6866138275959435,1552.3163815412154
net_unresolved_m_per_day,1.0,-0.0002646651582524234,0.16278604070782676,-0.10845631351480206,0.7962552613300076,0.6774752369348693,1552.2909255868074
net_unresolved_m_per_day,1.1,-0.0002911316740776658,0.16800547309534278,-0.12173979970496698,0.7854355177825563,0.6671340787692286,1552.2654696323982
net_unresolved_m_per_day,1.2,-0.00031759818990290806,0.17392393472504863,-0.13502328589411533,0.7723963977433658,0.6554079477906085,1552.24001367799
